,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
16,"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:ADJ-GEN'","???? ????? ????? ???
","???? ????? ????? ???
",R:ADJ-GEN,g,a
17,"Orig: [4, 5, ['???']], Cor: [4, 5, ['???']], Type: 'R:VERB-GEN'","?? ???? ?? ? ??? ????
","?? ???? ?? ? ??? ????
",R:VERB-GEN,a,a
18,"Orig: [3, 4, ['????']], Cor: [3, 4, ['???']], Type: 'R:VERB-GEN'","???? ?? ???? ?????
","???? ?? ???? ????
",R:VERB-GEN,g,a
19,"Orig: [1, 2, ['???']], Cor: [1, 2, ['??']], Type: 'R:ADJ-GEN'","??? ??? ????? ???????
","??? ?? ????? ????????
",R:ADJ-GEN,g,a
20,"Orig: [3, 4, ['??????']], Cor: [3, 4, ['???????']], Type: 'R:SPELL'","??? ??? ????? ???????
","??? ?? ????? ????????
",R:SPELL,g,a
21,"Orig: [4, 5, ['????']], Cor: [4, 5, ['????']], Type: 'R:VERB-GEN'","???? ?? ?? ?????? ?????
","???? ?? ?? ?????? ?????
",R:VERB-GEN,g,a
22,"Orig: [0, 1, ['?????']], Cor: [0, 1, ['?????']], Type: 'R:PRON-GEN'","????? ???? ?? ?????? ?? ????
","????? ???? ?? ?????? ?? ????
",R:PRON-GEN,g,a
23,"Orig: [4, 5, ['??']], Cor: [4, 5, ['??']], Type: 'R:VERB-GEN'","????? ???? ?? ?????? ?? ????
","????? ???? ?? ?????? ?? ????
",R:VERB-GEN,g,a
24,"Orig: [3, 4, ['?????']], Cor: [3, 4, ['?????']], Type: 'R:VERB-GEN'","?? ?????? ? ??????
","?? ?????? ? ??????
",R:VERB-GEN,g,a
25,"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:VERB-GEN'","????-?? ????? ????? ????? ???
","????-?? ????? ????? ????? ????
",R:VERB-GEN,g,a
26,"Orig: [3, 4, ['?????']], Cor: [3, 4, ['?????']], Type: 'R:VERB-GEN'","????-?? ????? ????? ????? ???
","????-?? ????? ????? ????? ????
",R:VERB-GEN,a,a
27,"Orig: [4, 5, ['??']], Cor: [4, 5, ['???']], Type: 'R:VERB-NUM'","????-?? ????? ????? ????? ???
","????-?? ????? ????? ????? ????
",R:VERB-GEN,a,a
28,"Orig: [4, 5, ['????']], Cor: [4, 5, ['????']], Type: 'R:VERB'","?? ????? ??? ??? ???? ????????? ???
","?? ????? ??? ??? ???? ????????? ???
",R:VERB-GEN,a,a
29,"Orig: [4, 5, ['???']], Cor: [4, 5, ['??']], Type: 'R:VERB-GEN'","??? ?? ????? ? ????
","??? ?? ????? ? ???
",R:VERB-GEN,b,a
30,"Orig: [0, 1, ['????????']], Cor: [0, 1, ['????????']], Type: 'R:PRON'","???????? ??? ????? ???
","???????? ??? ????? ???
",R:PRON-GEN,a,a
31,"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:ADJ-GEN'","???????? ??? ????? ???
","???????? ??? ????? ???
",R:ADJ-GEN,g,a
32,"Orig: [4, 5, ['???']], Cor: [4, 5, ['???']], Type: 'R:VERB-GEN'","??????? ?? ???? ????? ??? ???
","??????? ?? ???? ????? ??? ???
",R:VERB-GEN,g,a
33,"Orig: [2, 3, ['????\u200c??????']], Cor: [2, 3, ['??????????']], Type: 'R:SPELL'","???? ?????? ??????????? ?????
","???? ?????? ?????????? ?????
",,,
34,"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:VERB-GEN'","???? ?????? ??????????? ?????
","???? ?????? ?????????? ?????
",R:VERB-GEN,g,a
35,"Orig: [5, 6, ['????']], Cor: [5, 6, ['??']], Type: 'R:VERB-GEN'","??????? ?? ???????????? ?? ???? ?????
","??????? ?? ???????????? ?? ???? ???
",R:VERB-GEN,g,a
36,"Orig: [3, 4, ['???????']], Cor: [3, 4, ['??????']], Type: 'R:ADJ'","?? ????? ???? ??????? ???
","?? ????? ???? ?????? ???
",R:ADJ-GEN,a,a
37,"Orig: [4, 5, ['??????']], Cor: [4, 5, ['?????']], Type: 'R:VERB-GEN'","???? ?? ?? ????? ???????
","???? ?? ?? ????? ??????
",R:VERB-GEN,g,a
38,"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:PRON-GEN'","????? ???? ??? ??? ?? ???? ???
","????? ???? ??? ??? ?? ?? ???
",R:PRON-GEN,g,a
39,"Orig: [5, 6, ['????']], Cor: [5, 6, ['??']], Type: 'R:VERB-GEN'","????? ???? ??? ??? ?? ???? ???
","????? ???? ??? ??? ?? ?? ???
",R:VERB-GEN,g,a
40,"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON-GEN'","???? ???? ?? ??? ???
","???? ???? ?? ?? ???
",R:PRON-GEN,g,a
41,"Orig: [3, 4, ['???']], Cor: [3, 4, ['??']], Type: 'R:VERB-GEN'","???? ???? ?? ??? ???
","???? ???? ?? ?? ???
",R:VERB-GEN,b,a
42,"Orig: [4, 5, ['??????']], Cor: [4, 5, ['????????']], Type: 'R:NOUN-NUM'","?? ??????? ?? ?? ?????? ???? ???????
","?? ??????? ?? ?? ???????? ???? ????????
",R:NOUN-NUM,g,a
43,"Orig: [6, 7, ['??????']], Cor: [6, 7, ['???????']], Type: 'R:VERB-GEN'","?? ??????? ?? ?? ?????? ???? ???????
","?? ??????? ?? ?? ???????? ???? ????????
",R:VERB-GEN,g,a
44,"Orig: [3, 4, ['???']], Cor: [3, 4, ['???']], Type: 'R:VERB-GEN'","???? ???? ??? ??? ???
","???? ???? ??? ??? ???
",R:VERB-GEN,a,a
45,"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON-GEN'","???? ???? ?? ????
","???? ???? ?? ?? ???
",R:PRON-GEN,g,a
46,"Orig: [3, 4, ['???']], Cor: [3, 5, ['??', '??']], Type: 'R:VERB-GEN'","???? ???? ?? ????
","???? ???? ?? ?? ???
",R:VERB-GEN,a,a
47,"Orig: [4, 5, ['???']], Cor: [4, 5, ['????????']], Type: 'R:NOUN'","??????? ????? ????? ?? ??? ????
","??????? ????? ????? ?? ???????? ????
",R:NOUN-GEN,a,a
48,"Orig: [0, 1, ['?????']], Cor: [0, 1, ['?????']], Type: 'R:PRON-GEN'","????? ??????? ?? ????? ?????
","????? ??????? ?? ????? ?????
",R:PRON-GEN,g,a
49,"Orig: [3, 4, ['???']], Cor: [3, 4, ['??']], Type: 'R:VERB-GEN'",??? ???? ?????? ??? ???,??? ???? ?????? ?? ???,R:VERB-GEN,g,a
