Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [4, 5, ['??????']], Cor: [3, 5, ['????', '??']], Type: 'R:NOUN'","????? ?? ????? ?? ?????? ???? ??? ?????
","?????? ????? ??? ???? ?? ???? ??? ?????
",R:NOUN,g,b
"Orig: [1, 2, ['???']], Cor: [1, 1, []], Type: 'U:ADP'","????? ??? ?? ???? ????? ???? ???
","????? ?? ???? ????? ???? ???
",U:ADP,g,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:ADP'","????? ?? ?? ?????? ???? ?? ??? ?? ????? ???
","????? ?? ?????? ??? ?? ????? ???
",R:ADP,g,a
"Orig: [2, 3, ['??']], Cor: [2, 2, []], Type: 'U:DET'","????? ?? ?? ?????? ???? ?? ??? ?? ????? ???
","????? ?? ?????? ??? ?? ????? ???
",U:DET,g,a
"Orig: [4, 6, ['????', '??']], Cor: [3, 3, []], Type: 'U:OTHER'","????? ?? ?? ?????? ???? ?? ??? ?? ????? ???
","????? ?? ?????? ??? ?? ????? ???
",U:OTHER,g,b
"Orig: [0, 2, ['????', '????']], Cor: [0, 2, ['????', '????']], Type: 'R:WO'","???? ????, ??? ?? ?? ?? ?? ?????? ???? ????
","???? ????, ?? ??? ?? ?? ?????? ????
",R:WO,g,a
"Orig: [3, 3, []], Cor: [3, 4, ['??']], Type: 'M:PRON'","???? ????, ??? ?? ?? ?? ?? ?????? ???? ????
","???? ????, ?? ??? ?? ?? ?????? ????
",M:PRON,g,a
"Orig: [4, 5, ['??']], Cor: [5, 5, []], Type: 'U:OTHER'","???? ????, ??? ?? ?? ?? ?? ?????? ???? ????
","???? ????, ?? ??? ?? ?? ?????? ????
",U:OTHER,g,a
"Orig: [7, 8, ['??']], Cor: [7, 7, []], Type: 'U:OTHER'","???? ????, ??? ?? ?? ?? ?? ?????? ???? ????
","???? ????, ?? ??? ?? ?? ?????? ????
",U:OTHER,g,a
"Orig: [9, 10, ['????']], Cor: [8, 8, []], Type: 'U:VERB'","???? ????, ??? ?? ?? ?? ?? ?????? ???? ????
","???? ????, ?? ??? ?? ?? ?????? ????
",U:VERB,g,a
"Orig: [1, 3, ['??????', '?????']], Cor: [1, 3, ['?????', '??????']], Type: 'R:WO'","??? ?????? ????? ???? ?????
","??? ????? ?????? ???? ?????
",R:WO,g,a
"Orig: [0, 3, ['????', '????????', '??']], Cor: [0, 3, ['????????', '??', '????']], Type: 'R:WO'","???? ???????? ?? ???? ???????
","???????? ?? ???? ???? ???????
",R:WO,g,a
"Orig: [0, 3, ['????', '???', '??']], Cor: [0, 3, ['???', '??', '????']], Type: 'R:WO'","???? ??? ?? ??? ???????
","??? ?? ???? ??? ???????
",R:WO,g,a
"Orig: [0, 2, ['??', '?????']], Cor: [0, 0, []], Type: 'U:OTHER'","?? ????? ???? ?? ??? ????
","???? ?? ??? ?? ????? ????
",R:WO,b,b
"Orig: [5, 5, []], Cor: [3, 5, ['??', '?????']], Type: 'M:OTHER'","?? ????? ???? ?? ??? ????
","???? ?? ??? ?? ????? ????
",R:WO,b,b
"Orig: [1, 4, ['?????', '?????', '??']], Cor: [1, 4, ['?????', '??', '?????']], Type: 'R:WO'","?? ????? ????? ?? ?????? ???
","?? ????? ?? ????? ?????? ???
",R:WO,g,a
"Orig: [0, 1, ['?????']], Cor: [0, 0, []], Type: 'U:ADJ'","????? ????? ?? ??? ??? ????? ? ???
","????? ?? ??? ??? ????? ????? ? ???
",R:WO,b,b
"Orig: [5, 5, []], Cor: [4, 5, ['?????']], Type: 'M:ADJ'","????? ????? ?? ??? ??? ????? ? ???
","????? ?? ??? ??? ????? ????? ? ???
",R:WO,b,b
"Orig: [1, 4, ['????', '???', '??']], Cor: [1, 4, ['???', '??', '????']], Type: 'R:WO'","???? ???? ??? ?? ??? ????? ???
","???? ??? ?? ???? ??? ????? ???
",R:WO,g,a
"Orig: [1, 3, ['????', '????']], Cor: [1, 3, ['????', '????']], Type: 'R:WO'","?? ???? ???? ?? ??? ???
","?? ???? ???? ?? ??? ???
",R:WO,g,a
"Orig: [0, 4, ['?????', '??', '?????', '????']], Cor: [0, 4, ['????', '?????', '?????', '??']], Type: 'R:WO'","????? ?? ????? ???? ??????
","???? ????? ????? ?? ??????
",R:WO,g,a
"Orig: [2, 4, ['???????', '??']], Cor: [2, 4, ['??', '???????']], Type: 'R:WO'","???? ?? ??????? ?? ??? ?????
","???? ?? ?? ??????? ??? ?????
",R:WO,g,a
"Orig: [0, 3, ['???', '???', '??']], Cor: [0, 3, ['???', '??', '???']], Type: 'R:WO'","??? ??? ?? ??? ?????????????? ???? ???
","??? ?? ??? ??? ?????????????? ???? ???
",R:WO,g,a
"Orig: [1, 4, ['??????', '??????', '??']], Cor: [1, 4, ['??????', '??', '??????']], Type: 'R:WO'","???? ?????? ?????? ?? ???? ???? ???
","???? ?????? ?? ?????? ???? ???? ???
",R:WO,g,a
"Orig: [0, 1, ['?????']], Cor: [0, 0, []], Type: 'U:NOUN'","????? ??????? ??????? ?? ???????
","??????? ??????? ?? ????? ???????
",U:NOUN,g,b
"Orig: [4, 4, []], Cor: [3, 4, ['?????']], Type: 'M:NOUN'","????? ??????? ??????? ?? ???????
","??????? ??????? ?? ????? ???????
",M:NOUN,g,b
"Orig: [1, 4, ['??', '?????', '??']], Cor: [1, 4, ['?????', '??', '??']], Type: 'R:WO'","???? ?? ????? ?? ??? ?????
","???? ????? ?? ?? ??? ?????
",R:WO,g,a
"Orig: [0, 0, []], Cor: [0, 1, [""'""]], Type: 'M:PUNCT'","????? ?? ????? ?? ??????
","?? ????? ????? ?? ??????
",,,
"Orig: [0, 4, ['?????', '??', '?????', '??']], Cor: [1, 5, ['??', '?????', '?????', '??']], Type: 'R:WO'","????? ?? ????? ?? ??????
","?? ????? ????? ?? ??????
",R:WO,g,a
"Orig: [0, 0, []], Cor: [0, 1, ['???']], Type: 'M:NOUN'",????? ???? ?? ??? ??? ????? ??????,??? ????? ???? ?? ??? ????? ??????,M:NOUN,g,b
"Orig: [3, 4, ['???']], Cor: [4, 4, []], Type: 'U:NOUN'",????? ???? ?? ??? ??? ????? ??????,??? ????? ???? ?? ??? ????? ??????,U:NOUN,g,b
