Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [0, 1, ['??????']], Cor: [0, 1, ['????']], Type: 'R:DET'","?????? ??????-????? ???? ?? ???
","???? ??????-????? ???? ?? ???
",R:ADJ-NUM,a,a
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:VERB-NUM'","???????? ??? ??????
","???????? ??? ??????
",R:VERB-NUM,g,a
"Orig: [3, 4, ['?????']], Cor: [3, 4, ['????']], Type: 'R:VERB-NUM'","?? ?? ???? ??????
","?? ?? ???? ?????
",R:VERB-NUM,g,a
"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:ADJ-NUM'","???? ??? ???? ???? ????
","???? ??? ???? ???? ???
",R:NOUN-NUM,b,a
"Orig: [4, 5, ['???']], Cor: [4, 5, ['??']], Type: 'R:VERB-NUM'","???? ??? ???? ???? ????
","???? ??? ???? ???? ???
",R:VERB-NUM,g,a
"Orig: [1, 2, ['?????']], Cor: [1, 2, ['????']], Type: 'R:SPELL'","????? ????? ??????
","????? ???? ??????
",R:NOUN-NUM,a,a
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:VERB-NUM'","????? ????? ??????
","????? ???? ??????
",R:VERB-NUM,g,a
"Orig: [2, 3, ['????']], Cor: [2, 3, ['????']], Type: 'R:ADJ-NUM'","???????? ????? ???? ???? ?????
","???????? ????? ???? ???? ?????
",R:ADJ-NUM,g,a
"Orig: [4, 5, ['????']], Cor: [4, 5, ['????']], Type: 'R:VERB-NUM'","???????? ????? ???? ???? ?????
","???????? ????? ???? ???? ?????
",R:VERB-NUM,g,a
"Orig: [6, 9, ['?????', '??', '????']], Cor: [6, 8, ['???', '????']], Type: 'R:OTHER'","????? ?? ???? ?? ????? ?? ????? ?? ?????
","????? ?? ???? ?? ????? ?? ??? ?????
",R:OTHER,g,a
"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","??? ???? ??? ???? ????
","??? ???? ??? ???? ????
",R:PRON-NUM,a,a
"Orig: [1, 2, ['??']], Cor: [1, 1, []], Type: 'U:DET'","???? ?? ??????? ????? ??? ?? ?? ???
","???? ??????? ????? ??? ?? ?? ???
",U:DET,g,a
"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","??? ???? ????? ???? ??? ????
","??? ???? ????? ???? ??? ????
",R:PRON-NUM,a,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['??']], Type: 'R:ADP'","?? ??? ?? ??? ??? ?? ????
","?? ??? ?? ??? ??? ??? ???
",R:ADP,g,a
"Orig: [5, 6, ['??']], Cor: [5, 6, ['???']], Type: 'R:VERB-NUM'","?? ??? ?? ??? ??? ?? ????
","?? ??? ?? ??? ??? ??? ???
",R:VERB-NUM,g,a
"Orig: [6, 7, ['???']], Cor: [6, 7, ['??']], Type: 'R:VERB-NUM'","?? ??? ?? ??? ??? ?? ????
","?? ??? ?? ??? ??? ??? ???
",R:VERB-NUM,g,a
"Orig: [2, 3, ['???????']], Cor: [2, 3, ['?????']], Type: 'R:SPELL'","???? ??? ??????? ?? ??? ????
","???? ??? ????? ?? ??? ???
",R:NOUN-NUM,a,a
"Orig: [5, 6, ['???']], Cor: [5, 6, ['??']], Type: 'R:VERB-NUM'","???? ??? ??????? ?? ??? ????
","???? ??? ????? ?? ??? ???
",R:VERB-NUM,g,a
"Orig: [1, 2, ['?????']], Cor: [1, 2, ['????????']], Type: 'R:NOUN'","?? ????? ????? ??? ??? ????
","?? ???????? ????? ??? ??? ????
",R:NOUN-NUM,a,a
"Orig: [3, 4, ['?????']], Cor: [3, 4, ['?????']], Type: 'R:VERB-NUM'","???? ?? ??? ??????
","???? ?? ??? ??????
",R:VERB-NUM,g,a
"Orig: [3, 4, ['??????']], Cor: [3, 4, ['?????']], Type: 'R:VERB-TENSE'","???? ?? ?? ?????? ?
","???? ?? ?? ????? ?
",R:VERB-NUM,b,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:ADP'","???? ?? ????? ?????? ???? ???
","???? ?? ????? ?????? ???? ????
",R:ADP,g,a
"Orig: [4, 5, ['????']], Cor: [4, 5, ['????']], Type: 'R:VERB-NUM'","???? ?? ????? ?????? ???? ???
","???? ?? ????? ?????? ???? ????
",R:VERB-NUM,g,a
"Orig: [5, 6, ['??']], Cor: [5, 6, ['???']], Type: 'R:VERB-NUM'","???? ?? ????? ?????? ???? ???
","???? ?? ????? ?????? ???? ????
",R:VERB-NUM,g,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:DET'","??? ?? ??? ?? ???? ????? ????
","??? ?? ????? ?? ???? ????? ????
",R:DET,g,a
"Orig: [2, 3, ['???']], Cor: [2, 3, ['?????']], Type: 'R:NOUN-NUM'","??? ?? ??? ?? ???? ????? ????
","??? ?? ????? ?? ???? ????? ????
",R:NOUN-NUM,g,a
"Orig: [3, 4, ['????']], Cor: [3, 4, ['???']], Type: 'R:VERB-NUM'","???? ????????? ?? ?????
","???? ????????? ?? ????
",R:VERB-NUM,g,a
"Orig: [2, 3, ['??????']], Cor: [2, 3, ['????']], Type: 'R:DET'","??? ??? ?????? ??????? ?? ???
","??? ??? ???? ??????? ?? ???
",R:ADJ-NUM,a,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['????']], Type: 'R:PRON'","???? ?? ?? ???? ????
","???? ???? ?? ???? ???
",R:PRON,g,a
"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:VERB-TENSE'","???? ?? ?? ???? ????
","???? ???? ?? ???? ???
",R:VERB,a,a
"Orig: [4, 5, ['???']], Cor: [4, 5, ['??']], Type: 'R:VERB-TENSE'","???? ?? ?? ???? ????
","???? ???? ?? ???? ???
",R:VERB-NUM,b,a
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:NOUN-NUM'","???? ??? ????? ?? ????
","???? ??? ????? ?? ????
",R:NOUN-NUM,g,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['????']], Type: 'R:NOUN'","?? ?? ?? ???? ???
","?? ???? ?? ???? ???
",R:NOUN-NUM,a,a
"Orig: [1, 2, ['?????']], Cor: [1, 2, ['?????']], Type: 'R:DET'",??? ????? ????? ??????,??? ????? ????? ??????,R:DET,g,a
