,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
15,"Orig: [2, 5, ['??', '??', '??']], Cor: [2, 2, []], Type: 'U:OTHER'","?? ??????? ?? ?? ?? ???????? ?? ???? ??? ???
","?? ??????? ???????? ?? ???? ??? ???
",U:OTHER,g,a
16,"Orig: [2, 3, ['?????']], Cor: [2, 5, ['????????', '?????', '??']], Type: 'R:PRON'","???? ????? ????? ????? ???
","???? ????? ???????? ????? ?? ????? ???
",R:PRON,g,a
17,"Orig: [2, 3, ['???']], Cor: [2, 3, ['????']], Type: 'R:PRON'","??? ??? ??? ??? ??? ?? ?
","??? ??? ???? ??? ??? ?? ?
",R:PRON,g,a
18,"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:PRON-GEN'","??? ???? ???? ????? ??? ? ??? ?? ?
","??? ???? ???? ????? ??? ? ??? ?? ?
",R:PRON-GEN,g,a
19,"Orig: [1, 4, ['??', '??', '????']], Cor: [1, 2, ['??']], Type: 'R:OTHER'","???? ?? ?? ???? ???? ????
","???? ?? ???? ????
",R:PRON,a,a
20,"Orig: [3, 3, []], Cor: [3, 4, ['??']], Type: 'M:ADP'","?? ??? ???? ?????? ???, ???? ???????? ?? ?????? ???? ????? ?? ??????? ???
","?? ??? ???? ?? ?????? ???, ???? ???????? ?? ?????? ???? ????? ?? ??????? ???
",M:ADP,g,a
21,"Orig: [6, 7, ['????']], Cor: [7, 8, ['????']], Type: 'R:PRON-NUM'","?? ??? ???? ?????? ???, ???? ???????? ?? ?????? ???? ????? ?? ??????? ???
","?? ??? ???? ?? ?????? ???, ???? ???????? ?? ?????? ???? ????? ?? ??????? ???
",R:PRON-NUM,g,a
22,"Orig: [0, 2, ['????', '??']], Cor: [0, 1, ['????']], Type: 'R:OTHER'","???? ?? ???? ??? ???? ???? ???
","???? ???? ??? ???? ???? ???
",R:PRON,b,a
23,"Orig: [0, 2, ['????', '??']], Cor: [0, 1, ['????']], Type: 'R:PRON'","???? ?? ???? ?? ???? ?? ??? ????? ???? ???
","???? ???? ?? ???? ?? ??? ????? ???? ???
",R:PRON,g,a
24,"Orig: [2, 3, ['???']], Cor: [2, 3, ['???']], Type: 'R:PRON'","??? ??? ??? ??? ??? ???
","??? ??? ??? ??? ??? ???
",R:PRON,g,a
25,"Orig: [0, 2, ['????', '??']], Cor: [0, 1, ['????']], Type: 'R:OTHER'","???? ?? ????? ??????? ????
","???? ????? ??????? ????
",R:PRON,b,a
26,"Orig: [1, 3, ['???', '???']], Cor: [1, 2, ['?????']], Type: 'R:OTHER'","??? ??? ??? ???? ???? ????? ????
","??? ????? ???? ???? ????? ????
",R:PRON,a,a
27,"Orig: [0, 2, ['????', '??']], Cor: [0, 1, ['????']], Type: 'R:OTHER'","???? ?? ???? ???? ???
","???? ???? ???? ???
",R:PRON,b,a
28,"Orig: [0, 1, ['??']], Cor: [0, 1, ['??']], Type: 'R:DET'","?? ????? ?? ???? ???
","?? ????? ?? ???? ????
",R:DET,g,a
29,"Orig: [4, 5, ['??']], Cor: [4, 5, ['???']], Type: 'R:VERB-NUM'","?? ????? ?? ???? ???
","?? ????? ?? ???? ????
",R:VERB-NUM,g,a
30,"Orig: [1, 2, ['????????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","??? ???????? ?????? ?? ???
","??? ???? ?????? ?? ???
",R:PRON,g,a
31,"Orig: [1, 2, ['????????']], Cor: [1, 2, ['????????']], Type: 'R:PRON'","?? ???????? ???? ?? ???? ???
","?? ???????? ???? ?? ???? ???
",R:PRON,g,a
32,"Orig: [0, 1, ['?????']], Cor: [0, 1, ['????']], Type: 'R:PRON'","????? ????? ????? ???
","???? ????? ????? ???
",R:PRON,g,a
33,"Orig: [1, 3, ['????', '??']], Cor: [1, 2, ['????']], Type: 'R:PRON'","?? ???? ?? ???? ???? ?????
","?? ???? ???? ???? ?????
",R:PRON,g,a
34,"Orig: [1, 2, ['??????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","?? ?????? ??? ??? ???? ?????
","?? ???? ??? ??? ???? ?????
",R:PRON,g,a
35,"Orig: [0, 1, ['??']], Cor: [0, 1, ['??']], Type: 'R:PRON'","?? ?? ?? ?????
","?? ?? ?? ?????
",R:PRON,g,a
36,"Orig: [2, 4, ['???', '??']], Cor: [2, 3, ['????']], Type: 'R:OTHER'","??? ?? ??? ?? ????? ?????? ????
","??? ?? ???? ????? ?????? ????
",R:PRON,b,a
37,"Orig: [6, 7, ['???']], Cor: [5, 6, ['???']], Type: 'R:VERB'","??? ?? ??? ?? ????? ?????? ????
","??? ?? ???? ????? ?????? ????
",R:VERB-NUM,a,a
38,"Orig: [1, 2, ['??-??']], Cor: [1, 3, ['????', '??']], Type: 'R:PRON'","?? ??-?? ???? ?? ??? ???
","?? ???? ?? ???? ?? ??? ???
",R:PRON,g,a
39,"Orig: [1, 2, ['??']], Cor: [1, 1, []], Type: 'U:DET'","?? ?? ?????? ?? ?? ????? ?? ???
","?? ?????? ????? ?? ???
",U:DET,g,a
40,"Orig: [3, 5, ['??', '??']], Cor: [2, 2, []], Type: 'U:OTHER'","?? ?? ?????? ?? ?? ????? ?? ???
","?? ?????? ????? ?? ???
",U:OTHER,g,a
41,"Orig: [1, 2, ['?????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","???? ????? ??? ????? ???? ??????
","???? ???? ??? ????? ???? ??????
",R:PRON,g,a
42,"Orig: [1, 2, ['????????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","????? ???????? ??? ?? ?????
","????? ???? ??? ?? ???
",R:PRON-GEN,a,a
43,"Orig: [4, 5, ['????']], Cor: [4, 5, ['??']], Type: 'R:VERB-GEN'","????? ???????? ??? ?? ?????
","????? ???? ??? ?? ???
",R:VERB-GEN,a,a
44,"Orig: [4, 5, ['????']], Cor: [4, 5, ['????????']], Type: 'R:PRON'","???????? ???? ????, ???? ????????
","???????? ???? ????, ???????? ??????????
",R:PRON,g,a
45,"Orig: [5, 6, ['????????']], Cor: [5, 6, ['???\u200d??????']], Type: 'R:SPELL'","???????? ???? ????, ???? ????????
","???????? ???? ????, ???????? ??????????
",,,
46,"Orig: [1, 2, ['?????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","?? ????? ???? ?? ?? ????? ?? ???? ???? ????
","?? ???? ???? ?? ?? ????? ?? ???? ???? ????
",R:PRON,g,a
47,"Orig: [0, 2, ['????', '??']], Cor: [0, 1, ['???????']], Type: 'R:PRON'","???? ?? ??? ??? ???? ???? ??????
","??????? ??? ??? ???? ???? ??????
",R:PRON,g,a
48,"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","????? ???? ??? ?? ???? ???
","????? ???? ??? ?? ???? ???
",R:PRON,g,a
49,"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON-GEN'",???? ??? ?? ???? ???? ?????,???? ??? ?? ???? ???? ?????,R:PRON-GEN,g,a
