,Proposed Edit,Incorrect Sentence,Correct Sentence
39,"Orig: [0, 3, ['कोई', 'गाँव', 'का']], Cor: [0, 3, ['गाँव', 'का', 'कोई']], Type: 'R:WO'","कोई गाँव का आदमी यह नहीं चाहता है।
","गाँव का कोई आदमी यह नहीं चाहता है।
"
40,"Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
"
41,"Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
"
42,"Orig: [6, 6, []], Cor: [8, 9, ['गयी']], Type: 'M:VERB:TENSE'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
"
43,"Orig: [12, 12, []], Cor: [12, 13, ['गया']], Type: 'M:VERB:TENSE'","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया है।
","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया गया है।
"
44,"Orig: [3, 4, ['पढ़ाई']], Cor: [3, 4, ['पढ़ी']], Type: 'R:VERB'","अध्यापक से संस्कृत पढ़ाई है।
","अध्यापक से संस्कृत पढ़ी है।
"
45,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
"
46,"Orig: [6, 6, []], Cor: [6, 7, ['गया']], Type: 'M:VERB:TENSE'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
"
47,"Orig: [4, 5, ['लिखाया']], Cor: [4, 5, ['लिखवाया']], Type: 'R:SPELL'","अध्यापक ने हमसे लेख लिखाया।
","अध्यापक ने हमसे लेख लिखवाया।
"
48,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","डाकुओं ने चौकी लूटी गयी।
","डाकुओं द्वारा चौकी लूटी गयी।
"
49,"Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मुझसे']], Type: 'R:PRON'","मैं अमरूद खाया गया।
","मुझसे अमरूद खाया गया।
"
50,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","अध्यापक ने कहा गया कि कल सभी छात्र पुस्तकें न लाओ।
","अध्यापक द्वारा कहा गया कि कल सभी छात्र पुस्तकें न लायें।
"
51,"Orig: [10, 11, ['लाओ।']], Cor: [10, 12, ['लायें', '।']], Type: 'R:OTHER'","अध्यापक ने कहा गया कि कल सभी छात्र पुस्तकें न लाओ।
","अध्यापक द्वारा कहा गया कि कल सभी छात्र पुस्तकें न लायें।
"
52,"Orig: [1, 2, ['ने']], Cor: [1, 1, []], Type: 'U:ADP'","विकास ने घर गया और सोया।
","विकास घर गया और सो गया।
"
53,"Orig: [5, 6, ['सोया']], Cor: [4, 6, ['सो', 'गया']], Type: 'R:OTHER'","विकास ने घर गया और सोया।
","विकास घर गया और सो गया।
"
54,"Orig: [8, 9, ['है']], Cor: [8, 9, ['गया']], Type: 'R:VERB:TENSE'","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया है।
","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया गया? है।
"
55,"Orig: [9, 10, ['।']], Cor: [9, 10, ['?']], Type: 'R:PUNCT'","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया है।
","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया गया? है।
"
56,"Orig: [4, 5, ['वाकयों']], Cor: [4, 5, ['वाक्यों']], Type: 'R:NOUN'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
"
57,"Orig: [9, 10, ['विभकक्\u200dत']], Cor: [9, 10, ['विभक्त']], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
"
58,"Orig: [11, 11, []], Cor: [11, 12, ['गया']], Type: 'M:VERB:TENSE'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
"
59,"Orig: [0, 1, ['कृपया']], Cor: [0, 0, []], Type: 'U:NOUN'","कृपया कल का अवकाश देने की कृपा करें।
","कल का अवकाश देने की कृपा करें।
"
60,"Orig: [1, 2, ['मात्र']], Cor: [1, 1, []], Type: 'U:OTHER'","केवल मात्र महिलाओं के लिए आरक्षित।
","केवल महिलाओं के लिए आरक्षित।
"
61,"Orig: [2, 3, ['सहित']], Cor: [2, 2, []], Type: 'U:ADP'","मैं सप्रमाण सहित बता रहा हूँ।
","मैं सप्रमाण बता रहा हूँ।
"
62,"Orig: [2, 2, []], Cor: [2, 3, ['सकुशल']], Type: 'M:ADV'","सब यहाँ सकुशलतापूर्वक हैं।
","सब यहाँ सकुशल शलतापूर्वक हैं।
"
63,"Orig: [2, 3, ['सकुशलतापूर्वक']], Cor: [3, 4, ['शलतापूर्वक']], Type: 'R:SPELL'","सब यहाँ सकुशलतापूर्वक हैं।
","सब यहाँ सकुशल शलतापूर्वक हैं।
"
64,"Orig: [3, 6, ['दर्जन', 'के', 'करीब']], Cor: [3, 3, []], Type: 'U:OTHER'","यहाँ लगभग दो दर्जन के करीब आम हैं।
","यहाँ लगभग दो आम हैं।
"
65,"Orig: [5, 8, ['देखने', 'योग्य', 'हैं']], Cor: [5, 6, ['हें']], Type: 'R:OTHER'","कश्मीर में अनेक दर्शनीय स्थल देखने योग्य हैं।
","कश्मीर में अनेक दर्शनीय स्थल हें।
"
66,"Orig: [1, 2, ['समस्त']], Cor: [1, 1, []], Type: 'U:ADJ'","इसमें समस्त मानव-मात्र का कल्याण निहित है।
","इसमें मानव-मात्र का कल्याण निहित है।
"
67,"Orig: [2, 3, ['परस्पर']], Cor: [2, 2, []], Type: 'U:ADJ'","कुछ लोग परस्पर एक-दूसरे को सन्देह की दृष्टि से देखते हैं।
","कुछ लोग एक-दूसरे को सन्देह की दृष्टि से देखते हैं।
"
68,"Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP'","यहाँ सर्प के डर का खतरा है।
","यहाँ सर्प का डर है।
"
69,"Orig: [4, 6, ['का', 'खतरा']], Cor: [4, 4, []], Type: 'U:OTHER'","यहाँ सर्प के डर का खतरा है।
","यहाँ सर्प का डर है।
"
70,"Orig: [7, 8, ['अवश्य']], Cor: [7, 7, []], Type: 'U:ADV'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
"
71,"Orig: [10, 11, ['सकेगा']], Cor: [9, 10, ['पाएगा']], Type: 'R:VERB:TENSE'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
"
72,"Orig: [0, 1, ['हमने']], Cor: [0, 1, ['हमें']], Type: 'R:PRON'","हमने कल स्कूल जाना है।
","हमें कल स्कूल जाना है।
"
73,"Orig: [5, 6, ['खरीदा']], Cor: [5, 6, ['खरीदे']], Type: 'R:VERB-NUM'","सुधीर ने आज वस्त्र आदि खरीदा।
","सुधीर ने आज वस्त्र आदि खरीदे।
"
74,"Orig: [1, 2, ['परस्पर']], Cor: [1, 1, []], Type: 'U:NOUN'","वे परस्पर एक दूसरे को पीट रहे थे।
","वे एक-दूसरे को पीट रहे थे।
"
75,"Orig: [2, 4, ['एक', 'दूसरे']], Cor: [1, 2, ['एक-दूसरे']], Type: 'R:PRON'","वे परस्पर एक दूसरे को पीट रहे थे।
","वे एक-दूसरे को पीट रहे थे।
"
76,"Orig: [2, 3, ['पुरुष']], Cor: [2, 2, []], Type: 'U:NOUN'","वे सज्जन पुरुष षकौन हैं?
","वे सज्जन कौन हैं ?
"
77,"Orig: [3, 4, ['षकौन']], Cor: [2, 3, ['कौन']], Type: 'R:SPELL'","वे सज्जन पुरुष षकौन हैं?
","वे सज्जन कौन हैं ?
"
78,"Orig: [1, 4, ['के', 'समय', 'भुला']], Cor: [1, 2, ['मूमणा']], Type: 'R:OTHER'","प्रात:काल के समय भुला बहुत लाभदायक है।
","प्रात:काल मूमणा बहुत लाभदायक है।
"
79,"Orig: [1, 2, ['संसारभर']], Cor: [1, 2, ['संसार']], Type: 'R:SPELL'","सारे संसारभर में गाँधी जी का नाम फैल गया।
","सारे संसार में गाँधी जी का नाम फैल गया।
"
80,"Orig: [3, 4, ['वापस']], Cor: [3, 3, []], Type: 'U:ADJ'","वह दिल्‍ली से वापस लौट आया है।
","वह दिल्‍ली से लौट आया है।
"
81,"Orig: [3, 5, ['के', 'ऊपर']], Cor: [3, 4, ['पर']], Type: 'R:ADP'","मुझे तुम्हारे वचनों के ऊपर विश्वास है।
","मुझे तुम्हारे वचनों पर विश्वास है।
"
82,"Orig: [2, 3, ['भी']], Cor: [2, 2, []], Type: 'U:OTHER'","वह कभी भी हमारे यहाँ नहीं आया।
","वह कभी हमारे यहाँ नहीं आया।
"
83,"Orig: [1, 3, ['इस', 'कारण']], Cor: [1, 1, []], Type: 'U:OTHER'","वह इस कारण फेल हो गया; क्योंकि उसने मेहनत नहीं की थी।
","वह फेल हो गया; क्योंकि उसने मेहनत नहीं की थी।
"
84,"Orig: [0, 1, ['वर्ष']], Cor: [0, 1, ['वर्षा']], Type: 'R:NOUN'","वर्ष के कारुण छात्र बहुत कम मात्रा में स्कूल आये।
","वर्षा के कारण छात्र बहुत कम संख्या में स्कूल आये।
"
85,"Orig: [2, 3, ['कारुण']], Cor: [2, 3, ['कारण']], Type: 'R:SPELL'","वर्ष के कारुण छात्र बहुत कम मात्रा में स्कूल आये।
","वर्षा के कारण छात्र बहुत कम संख्या में स्कूल आये।
"
86,"Orig: [6, 7, ['मात्रा']], Cor: [6, 7, ['संख्या']], Type: 'R:NOUN'","वर्ष के कारुण छात्र बहुत कम मात्रा में स्कूल आये।
","वर्षा के कारण छात्र बहुत कम संख्या में स्कूल आये।
"
87,"Orig: [1, 2, ['सनुरोध']], Cor: [1, 2, ['सविनय']], Type: 'R:ADJ'","आपसे सनुरोध प्रार्थना है।
","आपसे सविनय प्रार्थना है।
"
88,"Orig: [2, 3, ['ही']], Cor: [2, 2, []], Type: 'U:OTHER'","केवल मैं ही यहाँ आया हूँ।
","केवल मैं यहाँ आया हूँ।
"
89,"Orig: [1, 2, ['केवल']], Cor: [1, 1, []], Type: 'U:OTHER'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
"
90,"Orig: [2, 3, ['नाम्मात्र']], Cor: [1, 2, ['नाममात्र']], Type: 'R:SPELL'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
"
91,"Orig: [3, 4, ['बैठा']], Cor: [3, 4, ['बैठे']], Type: 'R:VERB-NUM'","वृक्षों पर कबूतर बैठा था।
","वृक्षों पर कबूतर बैठे थे।
"
92,"Orig: [4, 5, ['था']], Cor: [4, 5, ['थे']], Type: 'R:VERB-NUM'","वृक्षों पर कबूतर बैठा था।
","वृक्षों पर कबूतर बैठे थे।
"
93,"Orig: [3, 6, ['की', 'सजा', 'दी']], Cor: [3, 4, ['दिया']], Type: 'R:VERB-GEN'","रंगा को मृत्युदण्ड की सजा दी गयी।
","रंगा को मृत्युदण्ड दिया गया।
"
94,"Orig: [6, 7, ['गयी']], Cor: [4, 5, ['गया']], Type: 'R:VERB-GEN'","रंगा को मृत्युदण्ड की सजा दी गयी।
","रंगा को मृत्युदण्ड दिया गया।
"
95,"Orig: [2, 3, ['साँगा']], Cor: [2, 3, ['सांगा']], Type: 'R:SPELL'","उदयसिंह राणा साँगा का लड़का था।
","उदयसिंह राणा सांगा का पुत्र था।
"
96,"Orig: [4, 5, ['लड़का']], Cor: [4, 5, ['पुत्र']], Type: 'R:NOUN'","उदयसिंह राणा साँगा का लड़का था।
","उदयसिंह राणा सांगा का पुत्र था।
"
97,"Orig: [3, 4, ['शायद']], Cor: [3, 3, []], Type: 'U:ADV'","मेरे विचार से शायद काम हो जाएगा।
","मेरे विचार से काम हो जाएगा।
"
98,"Orig: [0, 1, ['उपरोक्त']], Cor: [0, 1, ['उपर्युक्त']], Type: 'R:ADJ'","उपरोक्त गद्यांश की च्याख्या कीजिए।
","उपर्युक्त गद्यांश की व्याख्या कीजिए।
"
99,"Orig: [3, 4, ['च्याख्या']], Cor: [3, 4, ['व्याख्या']], Type: 'R:SPELL'","उपरोक्त गद्यांश की च्याख्या कीजिए।
","उपर्युक्त गद्यांश की व्याख्या कीजिए।
"
100,"Orig: [0, 1, ['वह']], Cor: [0, 1, ['वे']], Type: 'R:PRON-NUM'","वह कई दिनों तक यहाँ आती रहीं।
","वे कई दिनों तक यहाँ आती रहीं।
"
101,"Orig: [1, 2, ['का']], Cor: [1, 1, []], Type: 'U:ADP'","राजस्थान का अधिकांश भाग रेगिस्तान है।
","राजस्थान अधिकांश रेगिस्तानी है।
"
102,"Orig: [3, 4, ['भाग']], Cor: [2, 2, []], Type: 'U:NOUN'","राजस्थान का अधिकांश भाग रेगिस्तान है।
","राजस्थान अधिकांश रेगिस्तानी है।
"
103,"Orig: [4, 5, ['रेगिस्तान']], Cor: [2, 3, ['रेगिस्तानी']], Type: 'R:ADJ'","राजस्थान का अधिकांश भाग रेगिस्तान है।
","राजस्थान अधिकांश रेगिस्तानी है।
"
104,"Orig: [0, 1, ['निम्न']], Cor: [0, 1, ['निम्नांकित']], Type: 'R:ADJ'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
"
105,"Orig: [5, 6, ['।']], Cor: [5, 6, [':']], Type: 'R:PUNCT'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
"
106,"Orig: [4, 5, ['का']], Cor: [4, 5, ['के']], Type: 'R:ADP'","उस कलाकार ने तरह-तरह का रूप धारण किया।
","उस कलाकार ने तरह-तरह के रूप धारण किये।
"
107,"Orig: [7, 8, ['किया']], Cor: [7, 8, ['किये']], Type: 'R:VERB-NUM'","उस कलाकार ने तरह-तरह का रूप धारण किया।
","उस कलाकार ने तरह-तरह के रूप धारण किये।
"
108,"Orig: [1, 3, ['कानों', 'से']], Cor: [1, 1, []], Type: 'U:OTHER'","वह कानों से बहरा है।
","वह बहरा है।
"
109,"Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:DET'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
"
110,"Orig: [1, 2, ['सतन्तरे']], Cor: [1, 2, ['सन्तरे']], Type: 'R:SPELL'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
"
111,"Orig: [0, 1, ['उसको']], Cor: [0, 1, ['उसे']], Type: 'R:PRON'","उसको पुस्तक खरीदना है।
","उसे पुस्तक खरीदनी है।
"
112,"Orig: [2, 3, ['खरीदना']], Cor: [2, 3, ['खरीदनी']], Type: 'R:VERB-GEN'","उसको पुस्तक खरीदना है।
","उसे पुस्तक खरीदनी है।
"
113,"Orig: [0, 3, ['खेद', 'है', 'कि']], Cor: [0, 0, []], Type: 'U:OTHER'","खेद है कि उसके पिता की मृत्यु हो गयी।
","उसके पिता की मृत्यु पर खेद है।
"
114,"Orig: [7, 8, ['हो']], Cor: [4, 6, ['पर', 'खेद']], Type: 'R:OTHER'","खेद है कि उसके पिता की मृत्यु हो गयी।
","उसके पिता की मृत्यु पर खेद है।
"
115,"Orig: [8, 9, ['गयी']], Cor: [6, 7, ['है']], Type: 'R:VERB'","खेद है कि उसके पिता की मृत्यु हो गयी।
","उसके पिता की मृत्यु पर खेद है।
"
116,"Orig: [1, 2, ['उत्तीर्ण']], Cor: [1, 2, ['अनुत्तीर्ण']], Type: 'R:ADJ'","उसे उत्तीर्ण होने की आशंका है।
","उसे अनुत्तीर्ण होने को आशंका है।
"
117,"Orig: [3, 4, ['की']], Cor: [3, 4, ['को']], Type: 'R:ADP'","उसे उत्तीर्ण होने की आशंका है।
","उसे अनुत्तीर्ण होने को आशंका है।
"
118,"Orig: [0, 3, ['पाँच', 'रेलवे', 'के']], Cor: [0, 3, ['रेलवे', 'के', 'पाँच']], Type: 'R:WO'","पाँच रेलवे के कर्मचारी पकड़े गये।
","रेलवे के पाँच कर्मचारी पकड़े गये।
"
119,"Orig: [1, 2, ['गुलाब']], Cor: [1, 1, []], Type: 'U:NOUN'","यह गुलाब गुलाब का फूल है।
","यह गुलाब है।
"
120,"Orig: [3, 5, ['का', 'फूल']], Cor: [2, 2, []], Type: 'U:OTHER'","यह गुलाब गुलाब का फूल है।
","यह गुलाब है।
"
121,"Orig: [0, 1, ['अनेको']], Cor: [0, 1, ['अनेक']], Type: 'R:DET'","अनेको लोगों ने उसकी प्रशंसा की।
","अनेक लोगों ने उसकी प्रशंसा की।
"
122,"Orig: [0, 1, ['सरकारी']], Cor: [0, 0, []], Type: 'U:ADJ'","सरकारी मिट्टी के तेल की दुकान बन्द है।
","मिट्टी के तेल की सरकारी दुकान बन्द है।
"
123,"Orig: [5, 5, []], Cor: [4, 5, ['सरकारी']], Type: 'M:ADJ'","सरकारी मिट्टी के तेल की दुकान बन्द है।
","मिट्टी के तेल की सरकारी दुकान बन्द है।
"
124,"Orig: [1, 2, ['आगड़']], Cor: [1, 2, ['प्रांगण']], Type: 'R:NOUN'","बालक आगड़ में खेलता है।
","बालक प्रांगण में खेलता है।
"
125,"Orig: [0, 1, ['प्रथवी']], Cor: [0, 1, ['पृथ्वी']], Type: 'R:SPELL'","प्रथवी गोल है।
","पृथ्वी गोल है।
"
126,"Orig: [3, 5, ['क्\u200dयों', 'वकालत']], Cor: [3, 5, ['वकालत', 'क्\u200dयों']], Type: 'R:WO'","मालवीय जी ने क्‍यों वकालत छोड़ दी ?
","मालवीय जी ने वकालत क्‍यों छोड़ दी ?
"
127,"Orig: [1, 2, ['कहाँ']], Cor: [1, 1, []], Type: 'U:PRON'","ब्राह्मण कहाँ विद्याध्ययन के लिए गये थे ?
","ब्राह्मण विद्याध्ययन के लिए कहाँ गये थे ?
"
128,"Orig: [5, 5, []], Cor: [4, 5, ['कहाँ']], Type: 'M:PRON'","ब्राह्मण कहाँ विद्याध्ययन के लिए गये थे ?
","ब्राह्मण विद्याध्ययन के लिए कहाँ गये थे ?
"
129,"Orig: [3, 4, ['को']], Cor: [3, 4, ['का']], Type: 'R:ADP'","वह प्रत्येक बात को आँकड़ों से समर्थन करता है।
","वह प्रत्येक बात का आँकड़ों से समर्थन करता है।
"
