,Proposed Edit,Incorrect Sentence,Correct Sentence
16,"Orig: [3, 4, ['का']], Cor: [3, 4, ['की']], Type: 'R:ADP'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
"
17,"Orig: [4, 5, ['निरीक्षण']], Cor: [4, 5, ['जाँच']], Type: 'R:NOUN'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
"
18,"Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:VERB-GEN'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
"
19,"Orig: [1, 3, ['के', 'भय']], Cor: [1, 1, []], Type: 'U:OTHER'","दुष्टों के भय से डरो मत।
","दुष्टों से डरो मत।
"
20,"Orig: [6, 7, ['बड़ाईपन']], Cor: [6, 7, ['बड़प्पन']], Type: 'R:SPELL'","किसी को क्षमा करने में ही बड़ाईपन है।
","किसी को क्षमा करने में ही बड़प्पन है।
"
21,"Orig: [0, 3, ['एक', 'दूध', 'का']], Cor: [0, 3, ['दूध', 'का', 'एक']], Type: 'R:WO'","एक दूध का गिलास दो।
","दूध का एक गिलास दो।
"
22,"Orig: [4, 6, ['दो', '।']], Cor: [4, 5, ['दो।']], Type: 'R:ORTH'","एक दूध का गिलास दो।
","दूध का एक गिलास दो।
"
23,"Orig: [0, 1, ['गुप्त']], Cor: [0, 0, []], Type: 'U:ADJ'","गुप्त रहस्य की बातें तुम्हें कैसे पता चलीं ?
","रहस्य की बातें तुम्हें कैसे पता चलीं ?
"
24,"Orig: [2, 3, ['दहाड़']], Cor: [2, 3, ['चिंघाड़']], Type: 'R:NOUN'","हाथियों की दहाड़ सुनकर हम डर गए।
","हाथियों की चिंघाड़ सुनकर हम डर गए।
"
25,"Orig: [2, 3, ['वाला']], Cor: [2, 2, []], Type: 'U:ADP'","यह हमारा वाला घर है।
","यह हमारा घर है।
"
26,"Orig: [2, 3, ['मोटी']], Cor: [2, 3, ['मोटा']], Type: 'R:ADJ-GEN'","हाथी बहुत मोटी है।
","हाथी बहुत मोटा है।
"
27,"Orig: [2, 3, ['नई']], Cor: [2, 3, ['नया']], Type: 'R:ADJ-GEN'","राम ने नई कपड़ा खरीदी।
","राम ने नया कपड़ा खरीदा।
"
28,"Orig: [4, 5, ['खरीदी']], Cor: [4, 5, ['खरीदा']], Type: 'R:VERB-GEN'","राम ने नई कपड़ा खरीदी।
","राम ने नया कपड़ा खरीदा।
"
29,"Orig: [2, 3, ['आगामी']], Cor: [2, 3, ['भावी']], Type: 'R:ADJ'","यह हमारे आगामी नेता है।
","यह हमारे भावी नेता हैं।
"
30,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","यह हमारे आगामी नेता है।
","यह हमारे भावी नेता हैं।
"
31,"Orig: [3, 4, ['सघन']], Cor: [3, 4, ['गहरी']], Type: 'R:ADJ'","यह झील बहुत सघन है।
","यह झील बहुत गहरी है।
"
32,"Orig: [3, 4, ['भारी']], Cor: [3, 3, []], Type: 'U:ADJ'","बाज़ार में वस्तुएँ भारी महँगी हैं।
","बाज़ार में वस्तुएँ महँगी हैं।
"
33,"Orig: [2, 3, ['श्रेष्ठतम']], Cor: [2, 3, ['श्रेष्ठ']], Type: 'R:ADJ'","आपकी रचना श्रेष्ठतम है।
","आपकी रचना श्रेष्ठ है।
"
34,"Orig: [1, 2, ['मोटे-मोटे']], Cor: [1, 2, ['बड़े-बड़े']], Type: 'R:ADJ'","उसने मोटे-मोटे फल छाँट लिए।
","उसने बड़े-बड़े फल छाँट लिए।
"
35,"Orig: [2, 3, ['विचित्र']], Cor: [2, 3, ['अद्भुत']], Type: 'R:ADJ'","ताजमहल एक विचित्र मीनार है।
","ताजमहल एक अद्भुत मीनार है।
"
36,"Orig: [3, 4, ['भारी']], Cor: [3, 4, ['बहुत']], Type: 'R:ADV'","करन की माँ भारी दुखी है।
","करन की माँ बहुत दुखी है।
"
37,"Orig: [2, 3, ['उच्च']], Cor: [2, 3, ['विशाल']], Type: 'R:ADJ'","आकाश बहुत उच्च है।
","आकाश बहुत विशाल है।
"
38,"Orig: [2, 3, ['अपने']], Cor: [2, 3, ['नियत']], Type: 'R:ADJ'","प्रत्येक काम अपने समय पर करो।
","प्रत्येक काम नियत समय पर करो।
"
39,"Orig: [2, 3, ['विख्यात']], Cor: [2, 3, ['कुख्यात']], Type: 'R:ADJ'","खड़ग सिंह विख्यात डाकू था।
","खड़ग सिंह कुख्यात डाकू था।
"
40,"Orig: [2, 3, ['एक']], Cor: [2, 2, []], Type: 'U:ADJ'","यहाँ कोई एक व्यक्ति नहीं है।
","यहाँ कोई व्यक्ति नहीं है।
"
41,"Orig: [2, 3, ['वीभत्स']], Cor: [2, 3, ['भयानक']], Type: 'R:ADJ'","शेर बड़ा वीभत्स होता है।
","शेर बड़ा भयानक होता है।
"
42,"Orig: [1, 3, ['दिन', 'भर']], Cor: [1, 2, ['दिनभर']], Type: 'R:ORTH'","आज दिन भर बेशुमार गरमी रही।
","आज दिनभर बहुत गरमी रही।
"
43,"Orig: [3, 4, ['बेशुमार']], Cor: [2, 3, ['बहुत']], Type: 'R:DET'","आज दिन भर बेशुमार गरमी रही।
","आज दिनभर बहुत गरमी रही।
"
44,"Orig: [2, 3, ['के']], Cor: [2, 3, ['की']], Type: 'R:ADP'",पुस्तकालय सड़क के बायाँ ओर है।,पुस्तकालय सड़क की बाईं ओर है।
45,"Orig: [3, 4, ['बायाँ']], Cor: [3, 4, ['बाईं']], Type: 'R:ADJ'",पुस्तकालय सड़क के बायाँ ओर है।,पुस्तकालय सड़क की बाईं ओर है।
