,Proposed Edit,Incorrect Sentence,Correct Sentence
10,"Orig: [3, 4, ['अच्छी']], Cor: [3, 4, ['अच्छा']], Type: 'R:ADJ-GEN'","जादूगर का जादू अच्छी थी।
","जादूगर का जादू अच्छा था।
"
11,"Orig: [4, 5, ['थी']], Cor: [4, 5, ['था']], Type: 'R:VERB-GEN'","जादूगर का जादू अच्छी थी।
","जादूगर का जादू अच्छा था।
"
12,"Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","वसंत ऋतु अच्छा लगता है।
","वसंत ऋतु अच्छी लगती है।
"
13,"Orig: [3, 4, ['लगता']], Cor: [3, 4, ['लगती']], Type: 'R:VERB-GEN'","वसंत ऋतु अच्छा लगता है।
","वसंत ऋतु अच्छी लगती है।
"
14,"Orig: [7, 8, ['खुला']], Cor: [7, 8, ['खुली']], Type: 'R:VERB-GEN'","आज बाज़ार में एक भी दुकान नहीं खुला।
","आज बाज़ार में एक भी दुकान नहीं खुली।
"
15,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसका संतान अच्छा है।
","उसकी संतान अच्छी है।
"
16,"Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","उसका संतान अच्छा है।
","उसकी संतान अच्छी है।
"
17,"Orig: [4, 5, ['रहे']], Cor: [4, 5, ['रही']], Type: 'R:VERB-GEN'","कल माता जी आ रहे हैं।
","कल माता जी आ रही हैं।
"
18,"Orig: [3, 4, ['खाया']], Cor: [3, 4, ['खाई']], Type: 'R:VERB-GEN'","बालक ने रोटी खाया।
","बालक ने रोटी खाई।
"
19,"Orig: [1, 2, ['नया']], Cor: [1, 2, ['नई']], Type: 'R:ADJ-GEN'","मैं नया पोशाक पहनूगा।
","मैं नई पोशाक पहनूँगा।
"
20,"Orig: [3, 4, ['पहनूगा']], Cor: [3, 4, ['पहनूँगा']], Type: 'R:SPELL'","मैं नया पोशाक पहनूगा।
","मैं नई पोशाक पहनूँगा।
"
21,"Orig: [4, 5, ['पढ़ा']], Cor: [4, 5, ['पढ़ी']], Type: 'R:VERB-GEN'","पिता जी ने पुस्तक पढ़ा।
","पिता जी ने पुस्तक पढ़ी।
"
22,"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","हमारे माता जी बाज़ार गए हैं।
","हमारी माता जी बाज़ार गई हैं।
"
23,"Orig: [4, 5, ['गए']], Cor: [4, 5, ['गई']], Type: 'R:VERB-GEN'","हमारे माता जी बाज़ार गए हैं।
","हमारी माता जी बाज़ार गई हैं।
"
24,"Orig: [3, 4, ['जाएगी']], Cor: [3, 4, ['जाएगा']], Type: 'R:VERB-GEN'","अब मानसून आ जाएगी।
","अब मानसून आ जाएगा।
"
25,"Orig: [2, 3, ['सीखना']], Cor: [2, 3, ['सीखनी']], Type: 'R:VERB-GEN'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
"
26,"Orig: [3, 4, ['पड़ता']], Cor: [3, 4, ['पड़ती']], Type: 'R:VERB-GEN'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
"
27,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
"
28,"Orig: [4, 5, ['लगनी']], Cor: [4, 5, ['लगना']], Type: 'R:VERB'","इस कार्य में देर लगनी स्वाभाविक है।
","इस कार्य में देर लगना स्वाभाविक है।
"
29,"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गई']], Type: 'R:VERB-GEN'","जून और जुलाई आ गया।
","जून और जुलाई आ गई।
"
30,"Orig: [0, 1, ['तुम्हारी']], Cor: [0, 1, ['तुम्हारा']], Type: 'R:PRON'","तुम्हारी सूट अच्छी है।
","तुम्हारा सूट अच्छा है।
"
31,"Orig: [2, 3, ['अच्छी']], Cor: [2, 3, ['अच्छा']], Type: 'R:ADJ-GEN'","तुम्हारी सूट अच्छी है।
","तुम्हारा सूट अच्छा है।
"
32,"Orig: [4, 5, ['आती']], Cor: [4, 5, ['आता']], Type: 'R:VERB-GEN'","बुढ़िया को बहुत क्रोध आती है।
","बुढ़िया को बहुत क्रोध आता है।
"
33,"Orig: [2, 3, ['विद्\u200cयार्जन']], Cor: [2, 3, ['विद्यार्जन']], Type: 'R:SPELL'","मेरा लक्ष्य विद्‌यार्जन होगी।
","मेरा लक्ष्य विद्यार्जन होगा।
"
34,"Orig: [3, 4, ['होगी']], Cor: [3, 4, ['होगा']], Type: 'R:VERB-GEN'","मेरा लक्ष्य विद्‌यार्जन होगी।
","मेरा लक्ष्य विद्यार्जन होगा।
"
35,"Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:VERB-GEN'","अध्यापक ने प्रधानाचार्य से भेंट किया।
","अध्यापक ने प्रधानाचार्य से भेंट की।
"
36,"Orig: [3, 4, ['विद्वान']], Cor: [3, 4, ['विदुषी']], Type: 'R:ADJ'","यह महिला बहुत विद्वान है।
","यह महिला बहुत विदुषी है।
"
37,"Orig: [4, 5, ['सुनाया']], Cor: [4, 5, ['सुनाई']], Type: 'R:VERB-GEN'","दादा जी ने कहानी सुनाया।
","दादा जी ने कहानी सुनाई।
"
38,"Orig: [1, 2, ['अपना']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON-GEN'","मैंने अपना कलम राम को दिया है।
","मैंने अपनी कलम राम को दी है।
"
39,"Orig: [5, 6, ['दिया']], Cor: [5, 6, ['दी']], Type: 'R:VERB-GEN'","मैंने अपना कलम राम को दिया है।
","मैंने अपनी कलम राम को दी है।
"
40,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:PRON-GEN'","मेरा कमीज फट गया है।
","मेरी कमीज फट गई है।
"
41,"Orig: [3, 4, ['गया']], Cor: [3, 4, ['गई']], Type: 'R:VERB-GEN'","मेरा कमीज फट गया है।
","मेरी कमीज फट गई है।
"
42,"Orig: [4, 5, ['पुस्तक']], Cor: [4, 5, ['पुस्तकें']], Type: 'R:NOUN-NUM'","एक व्यक्ति को दो पुस्तक नहीं मिलेगा।
","एक व्यक्ति को दो पुस्तकें नहीं मिलेंगी।
"
43,"Orig: [6, 7, ['मिलेगा']], Cor: [6, 7, ['मिलेंगी']], Type: 'R:VERB-GEN'","एक व्यक्ति को दो पुस्तक नहीं मिलेगा।
","एक व्यक्ति को दो पुस्तकें नहीं मिलेंगी।
"
44,"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रही']], Type: 'R:VERB-GEN'","राधा खाना बना रहा है।
","राधा खाना बना रही है।
"
45,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसका पतंग कट गया।
","उसकी पतंग कट गई है।
"
46,"Orig: [3, 4, ['गया']], Cor: [3, 5, ['गई', 'है']], Type: 'R:VERB-GEN'","उसका पतंग कट गया।
","उसकी पतंग कट गई है।
"
47,"Orig: [4, 5, ['कवि']], Cor: [4, 5, ['कवयित्री']], Type: 'R:NOUN'","महादेवी वर्मा वेदना की कवि थीं।
","महादेवी वर्मा वेदना की कवयित्री थीं।
"
48,"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","हमारे वस्तुओं का ध्यान रखना।
","हमारी वस्तुओं का ध्यान रखना।
"
49,"Orig: [3, 4, ['गया']], Cor: [3, 4, ['गई']], Type: 'R:VERB-GEN'",उमा अपने ससुराल गया है।,उमा अपने ससुराल गई है।
