Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [9, 10, ['??????\u200d?']], Cor: [9, 10, ['??????']], Type: 'R:SPELL'","???? ?? ???? ?? ?????? ?? ??? ????? ??? ???????? ???? ??? 
","???? ?? ???? ?? ??????? ?? ??? ????? ??? ?????? ???? ??? ???
",,,
"Orig: [11, 11, []], Cor: [11, 12, ['???']], Type: 'M:VERB:TENSE'","???? ?? ???? ?? ?????? ?? ??? ????? ??? ???????? ???? ??? 
","???? ?? ???? ?? ??????? ?? ??? ????? ??? ?????? ???? ??? ???
",,,
"Orig: [0, 1, ['?????']], Cor: [0, 0, []], Type: 'U:NOUN'","????? ?? ?? ????? ???? ?? ???? ?????
","?? ?? ????? ???? ?? ???? ?????
",,,
"Orig: [1, 2, ['?????']], Cor: [1, 1, []], Type: 'U:OTHER'","???? ????? ??????? ?? ??? ????????
","???? ??????? ?? ??? ????????
",,,
"Orig: [2, 3, ['????']], Cor: [2, 2, []], Type: 'U:ADP'","??? ??????? ???? ??? ??? ????
","??? ??????? ??? ??? ????
",,,
"Orig: [2, 2, []], Cor: [2, 3, ['?????']], Type: 'M:ADV'","?? ???? ????????????? ????
","?? ???? ????? ?????????? ????
",,,
"Orig: [2, 3, ['?????????????']], Cor: [3, 4, ['??????????']], Type: 'R:SPELL'","?? ???? ????????????? ????
","?? ???? ????? ?????????? ????
",,,
"Orig: [3, 6, ['?????', '??', '????']], Cor: [3, 3, []], Type: 'U:OTHER'","???? ???? ?? ????? ?? ???? ?? ????
","???? ???? ?? ?? ????
",,,
"Orig: [5, 8, ['?????', '?????', '???']], Cor: [5, 6, ['???']], Type: 'R:OTHER'","?????? ??? ???? ??????? ???? ????? ????? ????
","?????? ??? ???? ??????? ???? ????
",,,
"Orig: [1, 2, ['?????']], Cor: [1, 1, []], Type: 'U:ADJ'","????? ????? ????-????? ?? ?????? ????? ???
","????? ????-????? ?? ?????? ????? ???
",,,
"Orig: [2, 3, ['??????']], Cor: [2, 2, []], Type: 'U:ADJ'","??? ??? ?????? ??-????? ?? ?????? ?? ?????? ?? ????? ????
","??? ??? ??-????? ?? ?????? ?? ?????? ?? ????? ????
",,,
"Orig: [2, 3, ['??']], Cor: [2, 3, ['??']], Type: 'R:ADP'","???? ???? ?? ?? ?? ???? ???
","???? ???? ?? ?? ???
",,,
"Orig: [4, 6, ['??', '????']], Cor: [4, 4, []], Type: 'U:OTHER'","???? ???? ?? ?? ?? ???? ???
","???? ???? ?? ?? ???
",,,
"Orig: [7, 8, ['?????']], Cor: [7, 7, []], Type: 'U:ADV'","????? ?????? ?? ?? ?? ??????? ??? ????? ??? ?? ??????
","????? ?????? ?? ?? ?? ??????? ??? ??? ?? ??????
",,,
"Orig: [10, 11, ['?????']], Cor: [9, 10, ['?????']], Type: 'R:VERB:TENSE'","????? ?????? ?? ?? ?? ??????? ??? ????? ??? ?? ??????
","????? ?????? ?? ?? ?? ??????? ??? ??? ?? ??????
",,,
"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON'","???? ?? ????? ???? ???
","???? ?? ????? ???? ???
",,,
"Orig: [5, 6, ['?????']], Cor: [5, 6, ['?????']], Type: 'R:VERB-NUM'","????? ?? ?? ?????? ??? ??????
","????? ?? ?? ?????? ??? ??????
",,,
"Orig: [1, 2, ['??????']], Cor: [1, 1, []], Type: 'U:NOUN'","?? ?????? ?? ????? ?? ??? ??? ???
","?? ??-????? ?? ??? ??? ???
",,,
"Orig: [2, 4, ['??', '?????']], Cor: [1, 2, ['??-?????']], Type: 'R:PRON'","?? ?????? ?? ????? ?? ??? ??? ???
","?? ??-????? ?? ??? ??? ???
",,,
"Orig: [2, 3, ['?????']], Cor: [2, 2, []], Type: 'U:NOUN'","?? ????? ????? ???? ????
","?? ????? ??? ??? ?
",,,
"Orig: [3, 4, ['????']], Cor: [2, 3, ['???']], Type: 'R:SPELL'","?? ????? ????? ???? ????
","?? ????? ??? ??? ?
",,,
"Orig: [1, 4, ['??', '???', '????']], Cor: [1, 2, ['?????']], Type: 'R:OTHER'","?????:??? ?? ??? ???? ???? ??????? ???
","?????:??? ????? ???? ??????? ???
",,,
"Orig: [1, 2, ['???????']], Cor: [1, 2, ['?????']], Type: 'R:SPELL'","???? ??????? ??? ????? ?? ?? ??? ??? ????
","???? ????? ??? ????? ?? ?? ??? ??? ????
",,,
"Orig: [3, 4, ['????']], Cor: [3, 3, []], Type: 'U:ADJ'","?? ??????? ?? ???? ??? ??? ???
","?? ??????? ?? ??? ??? ???
",,,
"Orig: [3, 5, ['??', '???']], Cor: [3, 4, ['??']], Type: 'R:ADP'","???? ???????? ????? ?? ??? ??????? ???
","???? ???????? ????? ?? ??????? ???
",,,
"Orig: [2, 3, ['??']], Cor: [2, 2, []], Type: 'U:OTHER'","?? ??? ?? ????? ???? ???? ????
","?? ??? ????? ???? ???? ????
",,,
"Orig: [1, 3, ['??', '????']], Cor: [1, 1, []], Type: 'U:OTHER'","?? ?? ???? ??? ?? ???; ??????? ???? ????? ???? ?? ???
","?? ??? ?? ???; ??????? ???? ????? ???? ?? ???
",,,
"Orig: [0, 1, ['????']], Cor: [0, 1, ['?????']], Type: 'R:NOUN'","???? ?? ????? ????? ???? ?? ?????? ??? ????? ????
","????? ?? ???? ????? ???? ?? ?????? ??? ????? ????
",,,
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['????']], Type: 'R:SPELL'","???? ?? ????? ????? ???? ?? ?????? ??? ????? ????
","????? ?? ???? ????? ???? ?? ?????? ??? ????? ????
",,,
"Orig: [6, 7, ['??????']], Cor: [6, 7, ['??????']], Type: 'R:NOUN'","???? ?? ????? ????? ???? ?? ?????? ??? ????? ????
","????? ?? ???? ????? ???? ?? ?????? ??? ????? ????
",,,
"Orig: [1, 2, ['??????']], Cor: [1, 2, ['?????']], Type: 'R:ADJ'","???? ?????? ????????? ???
","???? ????? ????????? ???
",,,
"Orig: [2, 3, ['??']], Cor: [2, 2, []], Type: 'U:OTHER'","???? ??? ?? ???? ??? ????
","???? ??? ???? ??? ????
",,,
"Orig: [1, 2, ['????']], Cor: [1, 1, []], Type: 'U:OTHER'","?? ???? ????????? ?? ??????? ???
","?? ???????? ?? ??????? ???
",,,
"Orig: [2, 3, ['?????????']], Cor: [1, 2, ['????????']], Type: 'R:SPELL'","?? ???? ????????? ?? ??????? ???
","?? ???????? ?? ??????? ???
",,,
"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:VERB-NUM'","??????? ?? ????? ???? ???
","??????? ?? ????? ???? ???
",,,
"Orig: [4, 5, ['??']], Cor: [4, 5, ['??']], Type: 'R:VERB-NUM'","??????? ?? ????? ???? ???
","??????? ?? ????? ???? ???
",,,
"Orig: [3, 6, ['??', '???', '??']], Cor: [3, 4, ['????']], Type: 'R:VERB-GEN'","???? ?? ?????????? ?? ??? ?? ????
","???? ?? ?????????? ???? ????
",,,
"Orig: [6, 7, ['???']], Cor: [4, 5, ['???']], Type: 'R:VERB-GEN'","???? ?? ?????????? ?? ??? ?? ????
","???? ?? ?????????? ???? ????
",,,
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:SPELL'","??????? ???? ????? ?? ????? ???
","??????? ???? ????? ?? ????? ???
",,,
"Orig: [4, 5, ['?????']], Cor: [4, 5, ['?????']], Type: 'R:NOUN'","??????? ???? ????? ?? ????? ???
","??????? ???? ????? ?? ????? ???
",,,
"Orig: [3, 4, ['????']], Cor: [3, 3, []], Type: 'U:ADV'","???? ????? ?? ???? ??? ?? ??????
","???? ????? ?? ??? ?? ??????
",,,
"Orig: [0, 1, ['???????']], Cor: [0, 1, ['?????????']], Type: 'R:ADJ'","??????? ??????? ?? ???????? ??????
","????????? ??????? ?? ???????? ??????
",,,
"Orig: [3, 4, ['????????']], Cor: [3, 4, ['????????']], Type: 'R:SPELL'","??????? ??????? ?? ???????? ??????
","????????? ??????? ?? ???????? ??????
",,,
"Orig: [0, 1, ['??']], Cor: [0, 1, ['??']], Type: 'R:PRON-NUM'","?? ?? ????? ?? ???? ??? ?????
","?? ?? ????? ?? ???? ??? ?????
",,,
"Orig: [1, 2, ['??']], Cor: [1, 1, []], Type: 'U:ADP'","???????? ?? ??????? ??? ????????? ???
","???????? ??????? ?????????? ???
",,,
"Orig: [3, 4, ['???']], Cor: [2, 2, []], Type: 'U:NOUN'","???????? ?? ??????? ??? ????????? ???
","???????? ??????? ?????????? ???
",,,
"Orig: [4, 5, ['?????????']], Cor: [2, 3, ['??????????']], Type: 'R:ADJ'","???????? ?? ??????? ??? ????????? ???
","???????? ??????? ?????????? ???
",,,
"Orig: [0, 1, ['?????']], Cor: [0, 1, ['??????????']], Type: 'R:ADJ'","????? ????? ?? ???????? ??????
","?????????? ????? ?? ???????? ????? :
",,,
"Orig: [5, 6, ['?']], Cor: [5, 6, [':']], Type: 'R:PUNCT'","????? ????? ?? ???????? ??????
","?????????? ????? ?? ???????? ????? :
",,,
"Orig: [4, 5, ['??']], Cor: [4, 5, ['??']], Type: 'R:ADP'","?? ?????? ?? ???-??? ?? ??? ???? ?????
","?? ?????? ?? ???-??? ?? ??? ???? ?????
",,,
"Orig: [7, 8, ['????']], Cor: [7, 8, ['????']], Type: 'R:VERB-NUM'","?? ?????? ?? ???-??? ?? ??? ???? ?????
","?? ?????? ?? ???-??? ?? ??? ???? ?????
",,,
"Orig: [1, 3, ['?????', '??']], Cor: [1, 1, []], Type: 'U:OTHER'","?? ????? ?? ???? ???
","?? ???? ???
",,,
"Orig: [0, 1, ['??']], Cor: [0, 1, ['??']], Type: 'R:DET'","?? ??????? ???? ????
","?? ?????? ???? ????
",,,
"Orig: [1, 2, ['???????']], Cor: [1, 2, ['??????']], Type: 'R:SPELL'","?? ??????? ???? ????
","?? ?????? ???? ????
",,,
"Orig: [0, 1, ['????']], Cor: [0, 1, ['???']], Type: 'R:PRON'","???? ?????? ?????? ???
","??? ?????? ?????? ???
",,,
"Orig: [2, 3, ['??????']], Cor: [2, 3, ['??????']], Type: 'R:VERB-GEN'","???? ?????? ?????? ???
","??? ?????? ?????? ???
",,,
"Orig: [0, 3, ['???', '??', '??']], Cor: [0, 0, []], Type: 'U:OTHER'","??? ?? ?? ???? ???? ?? ?????? ?? ????
","???? ???? ?? ?????? ?? ??? ???
",,,
"Orig: [7, 8, ['??']], Cor: [4, 6, ['??', '???']], Type: 'R:OTHER'","??? ?? ?? ???? ???? ?? ?????? ?? ????
","???? ???? ?? ?????? ?? ??? ???
",,,
"Orig: [8, 9, ['???']], Cor: [6, 7, ['??']], Type: 'R:VERB'","??? ?? ?? ???? ???? ?? ?????? ?? ????
","???? ???? ?? ?????? ?? ??? ???
",,,
"Orig: [1, 2, ['????????']], Cor: [1, 2, ['??????????']], Type: 'R:ADJ'","??? ???????? ???? ?? ????? ???
","??? ?????????? ???? ?? ????? ???
",,,
"Orig: [3, 4, ['??']], Cor: [3, 4, ['??']], Type: 'R:ADP'","??? ???????? ???? ?? ????? ???
","??? ?????????? ???? ?? ????? ???
",,,
"Orig: [0, 3, ['????', '?????', '??']], Cor: [0, 3, ['?????', '??', '????']], Type: 'R:WO'","???? ????? ?? ???????? ????? ????
","????? ?? ???? ???????? ????? ????
",,,
"Orig: [1, 2, ['?????']], Cor: [1, 1, []], Type: 'U:NOUN'","?? ????? ????? ?? ??? ???
","?? ????? ???
",,,
"Orig: [3, 5, ['??', '???']], Cor: [2, 2, []], Type: 'U:OTHER'","?? ????? ????? ?? ??? ???
","?? ????? ???
",,,
"Orig: [0, 1, ['?????']], Cor: [0, 1, ['????']], Type: 'R:DET'","????? ????? ?? ???? ??????? ???
","???? ????? ?? ???? ??????? ???
",,,
"Orig: [0, 1, ['??????']], Cor: [0, 0, []], Type: 'U:ADJ'","?????? ?????? ?? ??? ?? ????? ???? ???
","?????? ?? ??? ?? ?????? ????? ???? ???
",,,
"Orig: [5, 5, []], Cor: [4, 5, ['??????']], Type: 'M:ADJ'","?????? ?????? ?? ??? ?? ????? ???? ???
","?????? ?? ??? ?? ?????? ????? ???? ???
",,,
"Orig: [1, 2, ['????']], Cor: [1, 2, ['???????']], Type: 'R:NOUN'","???? ???? ??? ????? ???
","???? ??????? ??? ????? ???
",,,
"Orig: [0, 1, ['??????']], Cor: [0, 1, ['??????']], Type: 'R:SPELL'","?????? ??? ???
","?????? ??? ???
",,,
"Orig: [3, 5, ['??\u200d???', '?????']], Cor: [3, 5, ['?????', '??\u200d???']], Type: 'R:WO'","?????? ?? ?? ?????? ????? ???? ?? ?
","?????? ?? ?? ????? ?????? ???? ?? ?
",,,
"Orig: [1, 2, ['????']], Cor: [1, 1, []], Type: 'U:PRON'","???????? ???? ??????????? ?? ??? ??? ?? ?
","???????? ??????????? ?? ??? ???? ??? ?? ?
",,,
"Orig: [5, 5, []], Cor: [4, 5, ['????']], Type: 'M:PRON'","???????? ???? ??????????? ?? ??? ??? ?? ?
","???????? ??????????? ?? ??? ???? ??? ?? ?
",,,
"Orig: [3, 4, ['??']], Cor: [3, 4, ['??']], Type: 'R:ADP'","?? ???????? ??? ?? ??????? ?? ?????? ???? ???
","?? ???????? ??? ?? ??????? ?? ?????? ???? ???
",,,
"Orig: [3, 4, ['??']], Cor: [3, 4, ['??']], Type: 'R:ADP'","???? ???? ????? ?? ??? ???? ?? ??? ?????
","???? ???? ????? ?? ??? ?????? ??? ?????
",,,
"Orig: [5, 7, ['????', '??']], Cor: [5, 6, ['??????']], Type: 'R:ORTH'","???? ???? ????? ?? ??? ???? ?? ??? ?????
","???? ???? ????? ?? ??? ?????? ??? ?????
",,,
"Orig: [1, 2, ['???']], Cor: [1, 2, ['??']], Type: 'R:ADP'","??? ??? ??? ?????
","??? ?? ??? ?????
",,,
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:NOUN'","?? ????? ????? ??? ???? ?? ?? ??????? ???
","?? ????? ????? ??? ???? ??????? ?? ??????? ???
",,,
"Orig: [5, 6, ['??']], Cor: [5, 6, ['???????']], Type: 'R:OTHER'","?? ????? ????? ??? ???? ?? ?? ??????? ???
","?? ????? ????? ??? ???? ??????? ?? ??????? ???
",,,
"Orig: [2, 5, ['???', '??????', '??']], Cor: [2, 4, ['????', '??']], Type: 'R:PRON'","???? ????? ??? ?????? ?? ???????
","???? ????? ???? ?? ???????
",,,
"Orig: [0, 2, ['??????', ':']], Cor: [0, 0, []], Type: 'U:OTHER'","??????: ?? ????? ????? ?????
","?? ????? ????? ?????
",,,
"Orig: [2, 3, ['???']], Cor: [2, 2, []], Type: 'U:PRON'","??? ??? ??? ???? ?? ???? ??????? ???
","??? ??? ???? ?? '???? ??????? ???
",,,
"Orig: [5, 6, ['????']], Cor: [4, 6, [""'"", '????']], Type: 'R:OTHER'","??? ??? ??? ???? ?? ???? ??????? ???
","??? ??? ???? ?? '???? ??????? ???
",,,
"Orig: [4, 5, ['???']], Cor: [4, 5, ['????-????']], Type: 'R:VERB'","?? ???? ???? ????????? ??? ?? ????
","?? ???? ???? ????????? ????-???? ?? ????
",,,
"Orig: [5, 6, ['???']], Cor: [5, 6, ['???']], Type: 'R:VERB'","???? ?? ?? ???? ?? ??? ??? ???
","???? ?? ?? ???? ?? ??? ??? ?? ???? ???
",,,
"Orig: [8, 8, []], Cor: [8, 10, ['????', '??']], Type: 'M:VERB:TENSE'","???? ?? ?? ???? ?? ??? ??? ???
","???? ?? ?? ???? ?? ??? ??? ?? ???? ???
",,,
"Orig: [1, 2, ['??']], Cor: [1, 3, ['??', '??????']], Type: 'R:ADP'","????? ?? ??? ?? ????? ??? ?? ?????? ???? ??? ???
","????? ?? ?????? ??? ?? ????? ??? ?? ?????? ???? ????
",,,
