,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
12,"Orig: [5, 6, ['कड़ियाँ']], Cor: [5, 6, ['लड़ियाँ']], Type: 'R:SPELL'","उनके गले में मोती की कड़ियाँ हैं।
","उनके गले में मोती की लड़ियाँ हैं।
",R:NOUN,a,a
13,"Orig: [4, 5, ['हथकड़ियाँ']], Cor: [4, 5, ['बेड़ियाँ']], Type: 'R:NOUN'","डाकू के पैरों में हथकड़ियाँ हैं।
","डाकू के पैरों में बेड़ियाँ हैं।
",R:NOUN,g,a
14,"Orig: [0, 1, ['बेफ़जूल']], Cor: [0, 1, ['फ़जूल']], Type: 'R:SPELL'","बेफ़जूल बात मत करो।
","फ़जूल बात मत करो।
",R:ADJ,a,a
15,"Orig: [2, 3, ['शुद्धताई']], Cor: [2, 3, ['शुद्धता']], Type: 'R:SPELL'","लिखने में शुद्धताई बरतो।
","लिखने में शुद्धता बरतो।
",R:NOUN,a,a
16,"Orig: [3, 4, ['के']], Cor: [3, 3, []], Type: 'U:ADP'","मैं मिठाई खरीदने के हेतु बाज़ार गई थी।
","मैं मिठाई खरीदने हेतु बाज़ार गई थी।
",U:ADP,g,a
17,"Orig: [3, 4, ['भाई']], Cor: [3, 3, []], Type: 'U:NOUN'","मोहन मेरा अनुज भाई है।
","मोहन मेरा अनुज है।
",U:NOUN,g,a
18,"Orig: [2, 3, ['की']], Cor: [2, 3, ['का']], Type: 'R:ADP'","बेकारी समस्या की दवा हमारे पास है।
","बेकारी समस्या का हल हमारे पास है।
",R:ADP,g,a
19,"Orig: [3, 4, ['दवा']], Cor: [3, 4, ['हल']], Type: 'R:NOUN'","बेकारी समस्या की दवा हमारे पास है।
","बेकारी समस्या का हल हमारे पास है।
",R:NOUN,g,a
20,"Orig: [4, 5, ['अच्छाई']], Cor: [4, 5, ['विशेषता']], Type: 'R:NOUN'","इस पुस्तक की यही अच्छाई है।
","इस पुस्तक की यही विशेषता है।
",R:NOUN,g,a
21,"Orig: [3, 4, ['घोर']], Cor: [3, 4, ['घनिष्ठ']], Type: 'R:ADJ'","राम और मोहन घोर मित्र हैं।
","राम और मोहन घनिष्ठ मित्र हैं।
",R:ADJ,g,a
22,"Orig: [2, 5, ['बुनते', 'हुए', 'बना']], Cor: [2, 3, ['बुन']], Type: 'R:VERB-GEN'","मकड़ी जाला बुनते हुए बना रही है।
","मकड़ी जाला बुन रही है।
",R:VERB,a,a
23,"Orig: [5, 6, ['बहन']], Cor: [5, 5, []], Type: 'U:NOUN'","रौनक, किरण की अनुजा बहन है।
","रौनक, किरण की अनुजा है।
",U:NOUN,g,a
24,"Orig: [4, 5, ['अच्छाई']], Cor: [4, 5, ['भलाई']], Type: 'R:NOUN'","इसी कार्य में तुम्हारी अच्छाई है।
","इसी कार्य में तुम्हारी भलाई है।
",R:NOUN,g,a
25,"Orig: [2, 4, ['करके', 'रोने']], Cor: [2, 3, ['करने']], Type: 'R:VERB'","विधवा विलाप करके रोने लगी।
","विधवा विलाप करने लगी।
",R:VERB,g,a
26,"Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसके चक्षुओं में दर्द है।
","उसकी आँखों में दर्द है।
",R:PRON-GEN,g,a
27,"Orig: [1, 2, ['चक्षुओं']], Cor: [1, 2, ['आँखों']], Type: 'R:NOUN'","उसके चक्षुओं में दर्द है।
","उसकी आँखों में दर्द है।
",R:NOUN,g,a
28,"Orig: [1, 2, ['कपड़ा']], Cor: [1, 2, ['कपड़े']], Type: 'R:NOUN-NUM'","चूहा कपड़ा कुतरकर फाड़ दिया।
","चूहा कपड़े कुतर गया।
",R:NOUN-NUM,g,a
29,"Orig: [2, 5, ['कुतरकर', 'फाड़', 'दिया']], Cor: [2, 4, ['कुतर', 'गया']], Type: 'R:VERB'","चूहा कपड़ा कुतरकर फाड़ दिया।
","चूहा कपड़े कुतर गया।
",R:VERB,g,a
30,"Orig: [0, 2, ['रूपवती', 'सुमन']], Cor: [0, 2, ['सुमन', 'रूपवती']], Type: 'R:WO'","रूपवती सुमन बहुत सुंदर हैं।
","सुमन रूपवती है।
",R:WO,g,a
31,"Orig: [2, 4, ['बहुत', 'सुंदर']], Cor: [2, 2, []], Type: 'U:ADJ'","रूपवती सुमन बहुत सुंदर हैं।
","सुमन रूपवती है।
",U:ADJ,g,a
32,"Orig: [4, 5, ['हैं']], Cor: [2, 3, ['है']], Type: 'R:OTHER'","रूपवती सुमन बहुत सुंदर हैं।
","सुमन रूपवती है।
",R:VERB-NUM,a,a
33,"Orig: [4, 5, ['गुलामी']], Cor: [4, 4, []], Type: 'U:NOUN'","यह लोगों की दासता गुलामी का परिणाम है।
","यह लोगों की दासता का परिणाम है।
",U:NOUN,g,a
34,"Orig: [2, 3, ['चीर']], Cor: [2, 3, ['वस्त्र']], Type: 'R:NOUN'",महिला अपने चीर धो रही है।,महिला अपने वस्त्र धो रही है।,R:NOUN,g,a
