,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
10,"Orig: [0, 1, ['अनेकों']], Cor: [0, 1, ['अनेक']], Type: 'R:OTHER'","अनेकों स्त्री-पुरुष वहाँ आए थे।
","अनेक स्त्री-पुरुष वहाँ आए थे।
",R:ADJ-NUM,b,a
11,"Orig: [2, 3, ['जोड़ा']], Cor: [2, 3, ['जोड़े']], Type: 'R:VERB-NUM'","उन्होंने हाथ जोड़ा।
","उन्होंने हाथ जोड़े।
",R:VERB-NUM,g,a
12,"Orig: [3, 4, ['आएँगे']], Cor: [3, 4, ['आएगा']], Type: 'R:VERB-NUM'","हर एक आदमी आएँगे।
","हर एक आदमी आएगा।
",R:VERB-NUM,g,a
13,"Orig: [3, 4, ['सोने']], Cor: [3, 4, ['सोना']], Type: 'R:ADJ-NUM'","उनके पास बहुत सोने हैं।
","उनके पास बहुत सोना है।
",R:ADJ-NUM,g,a
14,"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB-NUM'","उनके पास बहुत सोने हैं।
","उनके पास बहुत सोना है।
",R:VERB-NUM,g,a
15,"Orig: [1, 2, ['पीतले']], Cor: [1, 2, ['पीतल']], Type: 'R:SPELL'","मैंने पीतले खरीदे।
","मैंने पीतल खरीदा।
",R:SPELL,g,a
16,"Orig: [2, 3, ['खरीदे']], Cor: [2, 3, ['खरीदा']], Type: 'R:VERB-NUM'","मैंने पीतले खरीदे।
","मैंने पीतल खरीदा।
",R:VERB-NUM,g,a
17,"Orig: [2, 3, ['बुरे']], Cor: [2, 3, ['बुरा']], Type: 'R:ADJ-NUM'","प्रत्येक चित्र बुरे नहीं होते।
","प्रत्येक चित्र बुरा नहीं होता।
",R:ADJ-NUM,g,a
18,"Orig: [4, 5, ['होते']], Cor: [4, 5, ['होता']], Type: 'R:VERB-NUM'","प्रत्येक चित्र बुरे नहीं होते।
","प्रत्येक चित्र बुरा नहीं होता।
",R:VERB-NUM,g,a
19,"Orig: [6, 9, ['फूलों', 'को', 'देखा']], Cor: [6, 8, ['फूल', 'देखे']], Type: 'R:OTHER'","गुलाब के पौधे पर मैंने कई फूलों को देखा।
","गुलाब के पौधे पर मैंने कई फूल देखे।
",R:OTHER,g,a
20,"Orig: [1, 2, ['इसका']], Cor: [1, 2, ['इसके']], Type: 'R:PRON'","तुम इसका दाम देते जाओ।
","तुम इसके दाम देते जाओ।
",R:PRON-NUM,g,a
21,"Orig: [1, 2, ['कई']], Cor: [1, 1, []], Type: 'U:OTHER'","डाकू कई हज़ारों रुपये लूट कर ले गए।
","डाकू हज़ारों रुपये लूट कर ले गए।
",U:ADJ,b,a
22,"Orig: [1, 2, ['आपका']], Cor: [1, 2, ['आपके']], Type: 'R:PRON'","मैं आपका दर्शन करने आया हूँ।
","मैं आपके दर्शन करने आया हूँ।
",R:PRON-NUM,g,a
23,"Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP'","इस कलम के दाम मिल गए हैं।
","इस कलम का दाम मिल गया है।
",R:ADP,g,a
24,"Orig: [5, 6, ['गए']], Cor: [5, 6, ['गया']], Type: 'R:VERB-NUM'","इस कलम के दाम मिल गए हैं।
","इस कलम का दाम मिल गया है।
",R:VERB-NUM,g,a
25,"Orig: [6, 7, ['हैं']], Cor: [6, 7, ['है']], Type: 'R:VERB-NUM'","इस कलम के दाम मिल गए हैं।
","इस कलम का दाम मिल गया है।
",R:VERB-NUM,g,a
26,"Orig: [2, 3, ['वर्षाएँ']], Cor: [2, 3, ['वर्षा']], Type: 'R:SPELL'","आजकल खूब वर्षाएँ हो रही हैं।
","आजकल खूब वर्षा हो रही है।
",R:NOUN-NUM,b,a
27,"Orig: [5, 6, ['हैं']], Cor: [5, 6, ['है']], Type: 'R:VERB-NUM'","आजकल खूब वर्षाएँ हो रही हैं।
","आजकल खूब वर्षा हो रही है।
",R:VERB-NUM,g,a
28,"Orig: [1, 2, ['लड़की']], Cor: [1, 2, ['लड़कियाँ']], Type: 'R:NOUN'","दो लड़की चित्र बना रही हैं।
","दो लड़कियाँ चित्र बना रही हैं।
",R:NOUN-NUM,b,a
29,"Orig: [3, 4, ['जोड़ा']], Cor: [3, 4, ['जोड़े']], Type: 'R:VERB-NUM'","मोहन ने हाथ जोड़ा।
","मोहन ने हाथ जोड़े।
",R:VERB-NUM,g,a
30,"Orig: [3, 4, ['सकेंगे']], Cor: [3, 4, ['सकोगे']], Type: 'R:VERB-GEN'","क्या आप जा सकेंगे ?
","क्या आप जा सकोगे ?
",R:VERB,a,a
31,"Orig: [1, 2, ['का']], Cor: [1, 2, ['के']], Type: 'R:ADP'","मोहन का प्राण निकलने वाला है।
","मोहन के प्राण निकलने वाले हैं।
",R:ADP,g,a
32,"Orig: [4, 5, ['वाला']], Cor: [4, 5, ['वाले']], Type: 'R:VERB-NUM'","मोहन का प्राण निकलने वाला है।
","मोहन के प्राण निकलने वाले हैं।
",R:VERB-NUM,g,a
33,"Orig: [5, 6, ['है']], Cor: [5, 6, ['हैं']], Type: 'R:VERB-NUM'","मोहन का प्राण निकलने वाला है।
","मोहन के प्राण निकलने वाले हैं।
",R:VERB-NUM,g,a
34,"Orig: [1, 2, ['इस']], Cor: [1, 2, ['इन']], Type: 'R:OTHER'","लोग इस फूल की माला पहनते हैं।
","लोग इन फूलों की माला पहनते हैं।
",R:OTHER,g,a
35,"Orig: [2, 3, ['फूल']], Cor: [2, 3, ['फूलों']], Type: 'R:NOUN-NUM'","लोग इस फूल की माला पहनते हैं।
","लोग इन फूलों की माला पहनते हैं।
",R:NOUN-NUM,g,a
36,"Orig: [3, 4, ['दिया']], Cor: [3, 4, ['दिए']], Type: 'R:VERB-NUM'","उसने हस्ताक्षर कर दिया।
","उसने हस्ताक्षर कर दिए।
",R:VERB-NUM,g,a
37,"Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:OTHER'","सभा में अनेकों विद्वान आए थे।
","सभा में अनेक विद्वान आए थे।
",R:ADJ-NUM,b,a
38,"Orig: [1, 2, ['आप']], Cor: [1, 2, ['आपने']], Type: 'R:PRON'","क्या आप खा लिये हैं?
","क्या आपने खा लिया है?
",R:PRON,g,a
39,"Orig: [3, 4, ['लिये']], Cor: [3, 4, ['लिया']], Type: 'R:VERB'","क्या आप खा लिये हैं?
","क्या आपने खा लिया है?
",R:VERB-NUM,a,a
40,"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","क्या आप खा लिये हैं?
","क्या आपने खा लिया है?
",R:VERB-NUM,a,a
41,"Orig: [2, 3, ['बच्चा']], Cor: [2, 3, ['बच्चे']], Type: 'R:NOUN-NUM'","मेले में बच्चा खो गया।
","मेले में बच्चे खो गया।
",R:NOUN-NUM,g,a
42,"Orig: [1, 2, ['सब']], Cor: [1, 2, ['सबों']], Type: 'R:NOUN-GEN'","इन सब को जाना है।
","इन सबों को जाना है।
",R:PRON-NUM,b,a
43,"Orig: [1, 2, ['कितने']], Cor: [1, 2, ['कितना']], Type: 'R:OTHER'",उसे कितने संतरे चाहिए।,उसे कितना संतरे चाहिए।,R:OTHER,g,a
