,Unnamed: 0,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
26,26,"Orig: [2, 3, ['मोटी']], Cor: [2, 3, ['मोटा']], Type: 'R:ADJ-GEN'","हाथी बहुत मोटी है।
","हाथी बहुत मोटा है।
",R:ADJ-GEN,g,a
27,27,"Orig: [2, 3, ['नई']], Cor: [2, 3, ['नया']], Type: 'R:ADJ-GEN'","राम ने नई कपड़ा खरीदी।
","राम ने नया कपड़ा खरीदा।
",R:ADJ-GEN,g,a
28,28,"Orig: [4, 5, ['खरीदी']], Cor: [4, 5, ['खरीदा']], Type: 'R:VERB-GEN'","राम ने नई कपड़ा खरीदी।
","राम ने नया कपड़ा खरीदा।
",R:VERB-GEN,g,a
29,29,"Orig: [2, 3, ['आगामी']], Cor: [2, 3, ['भावी']], Type: 'R:ADJ'","यह हमारे आगामी नेता है।
","यह हमारे भावी नेता हैं।
",R:ADJ,g,a
30,30,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","यह हमारे आगामी नेता है।
","यह हमारे भावी नेता हैं।
",R:VERB-NUM,g,a
31,31,"Orig: [3, 4, ['सघन']], Cor: [3, 4, ['गहरी']], Type: 'R:ADJ'","यह झील बहुत सघन है।
","यह झील बहुत गहरी है।
",R:ADJ,g,a
32,32,"Orig: [3, 4, ['भारी']], Cor: [3, 3, []], Type: 'U:ADJ'","बाज़ार में वस्तुएँ भारी महँगी हैं।
","बाज़ार में वस्तुएँ महँगी हैं।
",U:OTHER,a,a
33,33,"Orig: [2, 3, ['श्रेष्ठतम']], Cor: [2, 3, ['श्रेष्ठ']], Type: 'R:ADJ'","आपकी रचना श्रेष्ठतम है।
","आपकी रचना श्रेष्ठ है।
",R:ADJ,g,a
34,34,"Orig: [1, 2, ['मोटे-मोटे']], Cor: [1, 2, ['बड़े-बड़े']], Type: 'R:ADJ'","उसने मोटे-मोटे फल छाँट लिए।
","उसने बड़े-बड़े फल छाँट लिए।
",R:ADJ,g,a
35,35,"Orig: [2, 3, ['विचित्र']], Cor: [2, 3, ['अद्भुत']], Type: 'R:ADJ'","ताजमहल एक विचित्र मीनार है।
","ताजमहल एक अद्भुत मीनार है।
",R:ADJ,g,a
36,36,"Orig: [3, 4, ['भारी']], Cor: [3, 4, ['बहुत']], Type: 'R:OTHER'","करन की माँ भारी दुखी है।
","करन की माँ बहुत दुखी है।
",R:OTHER,g,a
37,37,"Orig: [2, 3, ['उच्च']], Cor: [2, 3, ['विशाल']], Type: 'R:ADJ'","आकाश बहुत उच्च है।
","आकाश बहुत विशाल है।
",R:ADJ,g,a
38,38,"Orig: [2, 3, ['अपने']], Cor: [2, 3, ['नियत']], Type: 'R:ADJ'","प्रत्येक काम अपने समय पर करो।
","प्रत्येक काम नियत समय पर करो।
",R:ADJ,g,a
39,39,"Orig: [2, 3, ['विख्यात']], Cor: [2, 3, ['कुख्यात']], Type: 'R:ADJ'","खड़ग सिंह विख्यात डाकू था।
","खड़ग सिंह कुख्यात डाकू था।
",R:ADJ,g,a
40,40,"Orig: [2, 3, ['एक']], Cor: [2, 2, []], Type: 'U:ADJ'","यहाँ कोई एक व्यक्ति नहीं है।
","यहाँ कोई व्यक्ति नहीं है।
",U:ADJ,g,a
41,41,"Orig: [2, 3, ['वीभत्स']], Cor: [2, 3, ['भयानक']], Type: 'R:ADJ'","शेर बड़ा वीभत्स होता है।
","शेर बड़ा भयानक होता है।
",R:ADJ,g,a
42,42,"Orig: [1, 3, ['दिन', 'भर']], Cor: [1, 2, ['दिनभर']], Type: 'R:ORTH'","आज दिन भर बेशुमार गरमी रही।
","आज दिनभर बहुत गरमी रही।
",R:ORTH,g,a
43,43,"Orig: [3, 4, ['बेशुमार']], Cor: [2, 3, ['बहुत']], Type: 'R:OTHER'","आज दिन भर बेशुमार गरमी रही।
","आज दिनभर बहुत गरमी रही।
",R:OTHER,g,a
44,44,"Orig: [2, 3, ['के']], Cor: [2, 3, ['की']], Type: 'R:ADP'",पुस्तकालय सड़क के बायाँ ओर है।,पुस्तकालय सड़क की बाईं ओर है।,R:ADP,g,a
45,45,"Orig: [3, 4, ['बायाँ']], Cor: [3, 4, ['बाईं']], Type: 'R:ADJ'",पुस्तकालय सड़क के बायाँ ओर है।,पुस्तकालय सड़क की बाईं ओर है।,R:ADJ-GEN,a,a
