Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [3, 4, ['आएँगे']], Cor: [3, 4, ['आएगा']], Type: 'R:VERB-NUM'","Orig: [3, 4, ['आएँगे']], Cor: [3, 4, ['आएगा']], Type: 'R:SPELL'","हर एक आदमी आएँगे।
","हर एक आदमी आएगा।
",,,,R:VERB-NUM,g,a
"Orig: [3, 4, ['सोने']], Cor: [3, 4, ['सोना']], Type: 'R:ADJ-NUM'","Orig: [3, 4, ['सोने']], Cor: [3, 4, ['सोना']], Type: 'R:MORPH'","उनके पास बहुत सोने हैं।
","उनके पास बहुत सोना है।
",,,,R:NOUN-NUM,b,a
"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB:INFL'","उनके पास बहुत सोने हैं।
","उनके पास बहुत सोना है।
",,,,R:VERB-NUM,g,a
"Orig: [1, 2, ['पीतले']], Cor: [1, 2, ['पीतल']], Type: 'R:SPELL'","Orig: [1, 2, ['पीतले']], Cor: [1, 2, ['पीतल']], Type: 'R:SPELL'","मैंने पीतले खरीदे।
","मैंने पीतल खरीदा।
",,,,R:NOUN-NUM,a,a
"Orig: [2, 3, ['खरीदे']], Cor: [2, 3, ['खरीदा']], Type: 'R:VERB-NUM'","Orig: [2, 3, ['खरीदे']], Cor: [2, 3, ['खरीदा']], Type: 'R:VERB:INFL'","मैंने पीतले खरीदे।
","मैंने पीतल खरीदा।
",,,,R:VERB-NUM,g,a
"Orig: [2, 3, ['बुरे']], Cor: [2, 3, ['बुरा']], Type: 'R:ADJ-NUM'","Orig: [2, 3, ['बुरे']], Cor: [2, 3, ['बुरा']], Type: 'R:ADJ:INFL'","प्रत्येक चित्र बुरे नहीं होते।
","प्रत्येक चित्र बुरा नहीं होता।
",,,,R:ADJ-NUM,g,a
"Orig: [4, 5, ['होते']], Cor: [4, 5, ['होता']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['होते']], Cor: [4, 5, ['होता']], Type: 'R:VERB:INFL'","प्रत्येक चित्र बुरे नहीं होते।
","प्रत्येक चित्र बुरा नहीं होता।
",,,,R:VERB-NUM,g,a
"Orig: [6, 9, ['फूलों', 'को', 'देखा']], Cor: [6, 8, ['फूल', 'देखे']], Type: 'R:OTHER'","Orig: [6, 9, ['फूलों', 'को', 'देखा']], Cor: [6, 8, ['फूल', 'देखे']], Type: 'R:MULTI'","गुलाब के पौधे पर मैंने कई फूलों को देखा।
","गुलाब के पौधे पर मैंने कई फूल देखे।
",,,,R:OTHER,g,a
"Orig: [1, 2, ['इसका']], Cor: [1, 2, ['इसके']], Type: 'R:PRON'","Orig: [1, 2, ['इसका']], Cor: [1, 2, ['इसके']], Type: 'R:PRON:INFL'","तुम इसका दाम देते जाओ।
","तुम इसके दाम देते जाओ।
",,,,R:PRON-NUM,a,a
"Orig: [1, 2, ['कई']], Cor: [1, 1, []], Type: 'U:DET'","Orig: [1, 2, ['कई']], Cor: [1, 1, []], Type: 'U:QF'","डाकू कई हज़ारों रुपये लूट कर ले गए।
","डाकू हज़ारों रुपये लूट कर ले गए।
",,,,U:DET,g,a
"Orig: [1, 2, ['आपका']], Cor: [1, 2, ['आपके']], Type: 'R:PRON'","Orig: [1, 2, ['आपका']], Cor: [1, 2, ['आपके']], Type: 'R:PRON:INFL'","मैं आपका दर्शन करने आया हूँ।
","मैं आपके दर्शन करने आया हूँ।
",,,,R:PRON-NUM,a,a
"Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP'","Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP:INFL'","इस कलम के दाम मिल गए हैं।
","इस कलम का दाम मिल गया है।
",,,,R:ADP,g,a
"Orig: [5, 6, ['गए']], Cor: [5, 6, ['गया']], Type: 'R:VERB-NUM'","Orig: [5, 6, ['गए']], Cor: [5, 6, ['गया']], Type: 'R:VERB:INFL'","इस कलम के दाम मिल गए हैं।
","इस कलम का दाम मिल गया है।
",,,,R:VERB-NUM,g,a
"Orig: [6, 7, ['हैं']], Cor: [6, 7, ['है']], Type: 'R:VERB-NUM'","Orig: [6, 7, ['हैं']], Cor: [6, 7, ['है']], Type: 'R:VERB:INFL'","इस कलम के दाम मिल गए हैं।
","इस कलम का दाम मिल गया है।
",,,,R:VERB-NUM,g,a
"Orig: [2, 3, ['वर्षाएँ']], Cor: [2, 3, ['वर्षा']], Type: 'R:SPELL'","Orig: [2, 3, ['वर्षाएँ']], Cor: [2, 3, ['वर्षा']], Type: 'R:SPELL'","आजकल खूब वर्षाएँ हो रही हैं।
","आजकल खूब वर्षा हो रही है।
",,,,R:NOUN-NUM,a,a
"Orig: [5, 6, ['हैं']], Cor: [5, 6, ['है']], Type: 'R:VERB-NUM'","Orig: [5, 6, ['हैं']], Cor: [5, 6, ['है']], Type: 'R:VERB:INFL'","आजकल खूब वर्षाएँ हो रही हैं।
","आजकल खूब वर्षा हो रही है।
",,,,R:VERB-NUM,g,a
"Orig: [1, 2, ['लड़की']], Cor: [1, 2, ['लड़कियाँ']], Type: 'R:SPELL'","Orig: [1, 2, ['लड़की']], Cor: [1, 2, ['लड़कियाँ']], Type: 'R:NOUN:INFL'","दो लड़की चित्र बना रही हैं।
","दो लड़कियाँ चित्र बना रही हैं।
",,,,R:NOUN-NUM,a,a
"Orig: [3, 4, ['जोड़ा']], Cor: [3, 4, ['जोड़े']], Type: 'R:SPELL'","Orig: [3, 4, ['जोड़ा']], Cor: [3, 4, ['जोड़े']], Type: 'R:VERB:INFL'","मोहन ने हाथ जोड़ा।
","मोहन ने हाथ जोड़े।
",,,,R:VERB-NUM,g,a
"Orig: [3, 4, ['सकेंगे']], Cor: [3, 4, ['सकोगे']], Type: 'R:VERB-TENSE'","Orig: [3, 4, ['सकेंगे']], Cor: [3, 4, ['सकोगे']], Type: 'R:VERB:FORM'","क्या आप जा सकेंगे ?
","क्या आप जा सकोगे ?
",,,,R:VERB-NUM,b,a
"Orig: [1, 2, ['का']], Cor: [1, 2, ['के']], Type: 'R:ADP'","Orig: [1, 2, ['का']], Cor: [1, 2, ['के']], Type: 'R:ADP:INFL'","मोहन का प्राण निकलने वाला है।
","मोहन के प्राण निकलने वाले हैं।
",,,,R:ADP,g,a
"Orig: [4, 5, ['वाला']], Cor: [4, 5, ['वाले']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['वाला']], Cor: [4, 5, ['वाले']], Type: 'R:VERB:INFL'","मोहन का प्राण निकलने वाला है।
","मोहन के प्राण निकलने वाले हैं।
",,,,R:VERB-NUM,g,a
"Orig: [5, 6, ['है']], Cor: [5, 6, ['हैं']], Type: 'R:VERB-NUM'","Orig: [5, 6, ['है']], Cor: [5, 6, ['हैं']], Type: 'R:VERB:INFL'","मोहन का प्राण निकलने वाला है।
","मोहन के प्राण निकलने वाले हैं।
",,,,R:VERB-NUM,g,a
"Orig: [1, 2, ['इस']], Cor: [1, 2, ['इन']], Type: 'R:DET'","Orig: [1, 2, ['इस']], Cor: [1, 2, ['इन']], Type: 'R:SPELL'","लोग इस फूल की माला पहनते हैं।
","लोग इन फूलों की माला पहनते हैं।
",,,,R:DET,g,a
"Orig: [2, 3, ['फूल']], Cor: [2, 3, ['फूलों']], Type: 'R:NOUN-NUM'","Orig: [2, 3, ['फूल']], Cor: [2, 3, ['फूलों']], Type: 'R:NOUN:INFL'","लोग इस फूल की माला पहनते हैं।
","लोग इन फूलों की माला पहनते हैं।
",,,,R:NOUN-NUM,g,a
"Orig: [3, 4, ['दिया']], Cor: [3, 4, ['दिए']], Type: 'R:VERB-NUM'","Orig: [3, 4, ['दिया']], Cor: [3, 4, ['दिए']], Type: 'R:VERB:INFL'","उसने हस्ताक्षर कर दिया।
","उसने हस्ताक्षर कर दिए।
",,,,R:VERB-NUM,g,a
"Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:DET'","Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:SPELL'","सभा में अनेकों विद्वान आए थे।
","सभा में अनेक विद्वान आए थे।
",,,,R:ADJ-NUM,a,a
"Orig: [1, 2, ['आप']], Cor: [1, 2, ['आपने']], Type: 'R:PRON'","Orig: [1, 2, ['आप']], Cor: [1, 2, ['आपने']], Type: 'R:PRON:INFL'","क्या आप खा लिये हैं?
","क्या आपने खा लिया है?
",,,,R:PRON,g,a
"Orig: [3, 4, ['लिये']], Cor: [3, 4, ['लिया']], Type: 'R:VERB'","Orig: [3, 4, ['लिये']], Cor: [3, 4, ['लिया']], Type: 'R:MORPH'","क्या आप खा लिये हैं?
","क्या आपने खा लिया है?
",,,,R:VERB,a,a
"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB:INFL'","क्या आप खा लिये हैं?
","क्या आपने खा लिया है?
",,,,R:VERB-NUM,b,a
"Orig: [2, 3, ['बच्चा']], Cor: [2, 3, ['बच्चे']], Type: 'R:NOUN-NUM'","Orig: [2, 3, ['बच्चा']], Cor: [2, 3, ['बच्चे']], Type: 'R:NOUN:INFL'","मेले में बच्चा खो गया।
","मेले में बच्चे खो गया।
",,,,R:NOUN-NUM,g,a
"Orig: [1, 2, ['सब']], Cor: [1, 2, ['सबों']], Type: 'R:MORPH'","Orig: [1, 2, ['सब']], Cor: [1, 2, ['सबों']], Type: 'R:MORPH'","इन सब को जाना है।
","इन सबों को जाना है।
",,,,R:NOUN-NUM,a,a
"Orig: [1, 2, ['कितने']], Cor: [1, 2, ['कितना']], Type: 'R:DET'","Orig: [1, 2, ['कितने']], Cor: [1, 2, ['कितना']], Type: 'R:SPELL'",उसे कितने संतरे चाहिए।,उसे कितना संतरे चाहिए।,,,,R:DET,g,a
