Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [0, 1, ['निम्न']], Cor: [0, 1, ['निम्नांकित']], Type: 'R:ADJ'","Orig: [0, 1, ['निम्न']], Cor: [0, 1, ['निम्नांकित']], Type: 'R:ADJ'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
",,,,g,a,g
"Orig: [5, 6, ['।']], Cor: [5, 6, [':']], Type: 'R:SPELL'","Orig: [5, 6, ['।']], Cor: [5, 6, [':']], Type: 'R:SPELL'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
",,,,g,a,g
"Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:DET'","Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:DET'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
",,,,g,a,g
"Orig: [1, 2, ['सतन्तरे']], Cor: [1, 2, ['सन्तरे']], Type: 'R:SPELL'","Orig: [1, 2, ['सतन्तरे']], Cor: [1, 2, ['सन्तरे']], Type: 'R:SPELL'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
",,,,g,a,g
"Orig: [0, 1, ['अनेको']], Cor: [0, 1, ['अनेक']], Type: 'R:SPELL'","Orig: [0, 1, ['अनेको']], Cor: [0, 1, ['अनेक']], Type: 'R:SPELL'","अनेको लोगों ने उसकी प्रशंसा की।
","अनेक लोगों ने उसकी प्रशंसा की।
",,,,g,a,g
"Orig: [0, 1, ['प्रथवी']], Cor: [0, 1, ['पृथ्वी']], Type: 'R:SPELL'","Orig: [0, 1, ['प्रथवी']], Cor: [0, 1, ['पृथ्वी']], Type: 'R:SPELL'","प्रथवी गोल है।
","पृथ्वी गोल है।
",,,,g,a,g
"Orig: [1, 2, ['ने']], Cor: [1, 3, ['के', 'द्वारा']], Type: 'R:ADP'","Orig: [1, 2, ['ने']], Cor: [1, 3, ['के', 'द्वारा']], Type: 'R:ADP'","वक्ता ने देश की दयनीय दशा पर प्रकाश डाला गया है।
","वक्ता के द्वारा देश की दयनीय दशा पर प्रकाश डाला गया।
",,,,g,a,g
"Orig: [10, 11, ['है']], Cor: [11, 11, []], Type: 'U:VERB-TENSE'","Orig: [10, 11, ['है']], Cor: [11, 11, []], Type: 'U:VERB-TENSE'","वक्ता ने देश की दयनीय दशा पर प्रकाश डाला गया है।
","वक्ता के द्वारा देश की दयनीय दशा पर प्रकाश डाला गया।
",,,,g,a,g
"Orig: [7, 8, ['सबसे']], Cor: [7, 7, []], Type: 'U:ADV'","Orig: [7, 8, ['सबसे']], Cor: [7, 7, []], Type: 'U:ADV'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",,,,g,a,g
"Orig: [8, 9, ['सुन्दर']], Cor: [7, 8, ['सुन्दरतम']], Type: 'R:ADJ'","Orig: [8, 9, ['सुन्दर']], Cor: [7, 8, ['सुन्दरतम']], Type: 'R:ADJ'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",,,,g,a,g
"Orig: [9, 9, []], Cor: [8, 9, ['कृति']], Type: 'M:NOUN'","Orig: [9, 9, []], Cor: [8, 9, ['कृति']], Type: 'M:NOUN'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",,,,g,a,g
"Orig: [2, 4, ['हर', 'एक']], Cor: [2, 3, ['प्रत्येक']], Type: 'R:DET'","Orig: [2, 4, ['हर', 'एक']], Cor: [2, 3, ['प्रत्येक']], Type: 'R:DET'","मतदान में हर एक सदस्यों को दुविधा थी।
","मतदान में प्रत्येक सदस्य को दुविधा थी।
",,,,g,a,g
"Orig: [4, 5, ['सदस्यों']], Cor: [3, 4, ['सदस्य']], Type: 'R:NOUN-NUM'","Orig: [4, 5, ['सदस्यों']], Cor: [3, 4, ['सदस्य']], Type: 'R:NOUN-NUM'","मतदान में हर एक सदस्यों को दुविधा थी।
","मतदान में प्रत्येक सदस्य को दुविधा थी।
",,,,g,a,g
"Orig: [4, 5, ['सोने']], Cor: [4, 5, ['सोना']], Type: 'R:NOUN'","Orig: [4, 5, ['सोने']], Cor: [4, 5, ['सोना']], Type: 'R:NOUN'","उसके पास पचास ग्राम सोने है।
","उसके पास पचास ग्राम सोना है।
",,,,g,a,g
"Orig: [0, 1, ['अपना']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","Orig: [0, 1, ['अपना']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","अपना हस्ताक्षर कर दो।
","अपने हस्ताक्षर कर दो।
",,,,g,a,g
"Orig: [6, 7, ['सीढ़ी']], Cor: [6, 7, ['सीढ़ियाँ']], Type: 'R:SPELL'","Orig: [6, 7, ['सीढ़ी']], Cor: [6, 7, ['सीढ़ियाँ']], Type: 'R:SPELL'","मन्दिर में जाने के लिए पचास सीढ़ी हैं।
","मन्दिर में जाने के लिए पचास सीढ़ियाँ हैं।
",,,,a,a,b
"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",,,,a,a,b
"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रहे']], Type: 'R:VERB-NUM'","Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रहे']], Type: 'R:VERB-NUM'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",,,,,,
"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",,,,,,
"Orig: [0, 1, ['संस्कृतियों']], Cor: [0, 1, ['संस्कृति']], Type: 'R:NOUN-NUM'","Orig: [0, 1, ['संस्कृतियों']], Cor: [0, 1, ['संस्कृति']], Type: 'R:NOUN-NUM'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",,,,g,a,g
"Orig: [3, 4, ['मर']], Cor: [3, 4, ['पर']], Type: 'R:MORPH'","Orig: [3, 4, ['मर']], Cor: [3, 4, ['पर']], Type: 'R:MORPH'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",,,,,,
"Orig: [4, 5, ['मिटे।']], Cor: [4, 6, ['मिटे', '।']], Type: 'R:ORTH'","Orig: [4, 5, ['मिटे।']], Cor: [4, 6, ['मिटे', '।']], Type: 'R:ORTH'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",,,,,,
"Orig: [0, 1, ['बुढ़ापे']], Cor: [0, 1, ['बुढ़ापा']], Type: 'R:SPELL'","Orig: [0, 1, ['बुढ़ापे']], Cor: [0, 1, ['बुढ़ापा']], Type: 'R:SPELL'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",,,,g,a,g
"Orig: [1, 2, ['बुरे']], Cor: [1, 2, ['बुरा']], Type: 'R:ADJ-NUM'","Orig: [1, 2, ['बुरे']], Cor: [1, 2, ['बुरा']], Type: 'R:ADJ-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",,,,g,a,g
"Orig: [2, 3, ['होते']], Cor: [2, 3, ['होता']], Type: 'R:VERB-NUM'","Orig: [2, 3, ['होते']], Cor: [2, 3, ['होता']], Type: 'R:VERB-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",,,,g,a,g
"Orig: [0, 1, ['बेरोजगारियाँ']], Cor: [0, 1, ['बेरोजगारी']], Type: 'R:SPELL'","Orig: [0, 1, ['बेरोजगारियाँ']], Cor: [0, 1, ['बेरोजगारी']], Type: 'R:SPELL'","बेरोजगारियाँ दूर होनी चाहिए।
","बेरोजगारी दूर होनी चाहिए।
",,,,b,a,b
"Orig: [0, 1, ['अपने']], Cor: [0, 1, ['अपनी']], Type: 'R:PRON-GEN'","Orig: [0, 1, ['अपने']], Cor: [0, 1, ['अपनी']], Type: 'R:PRON-GEN'","अपने सोचों पर काबू पा लो।
","अपनी सोच पर काबू पा लो।
",,,,g,a,g
"Orig: [1, 2, ['सोचों']], Cor: [1, 2, ['सोच']], Type: 'R:NOUN-NUM'","Orig: [1, 2, ['सोचों']], Cor: [1, 2, ['सोच']], Type: 'R:NOUN-NUM'","अपने सोचों पर काबू पा लो।
","अपनी सोच पर काबू पा लो।
",,,,g,a,b
"Orig: [3, 4, ['गाड़ी']], Cor: [3, 4, ['गाड़ियाँ']], Type: 'R:SPELL'","Orig: [3, 4, ['गाड़ी']], Cor: [3, 4, ['गाड़ियाँ']], Type: 'R:SPELL'","यहाँ से अनेक गाड़ी गुजरती हैं।
","यहाँ से अनेक गाड़ियाँ गुजरती हैं।
",,,,g,a,g
"Orig: [3, 4, ['चिड़िया']], Cor: [3, 4, ['चिड़ियाँ']], Type: 'R:SPELL'","Orig: [3, 4, ['चिड़िया']], Cor: [3, 4, ['चिड़ियाँ']], Type: 'R:SPELL'","आकाश में अनेक चिड़िया उड़ रही हैं।
","आकाश में अनेक चिड़ियाँ उड़ रही हैं।
",,,,a,a,g
"Orig: [0, 1, ['इस']], Cor: [0, 1, ['इन']], Type: 'R:DET'","Orig: [0, 1, ['इस']], Cor: [0, 1, ['इन']], Type: 'R:DET'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",,,,g,a,g
"Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP'","Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",,,,g,a,g
"Orig: [5, 6, ['शब्द']], Cor: [5, 6, ['शब्दों']], Type: 'R:NOUN-NUM'","Orig: [5, 6, ['शब्द']], Cor: [5, 6, ['शब्दों']], Type: 'R:NOUN-NUM'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",,,,g,a,g
"Orig: [1, 2, ['यह']], Cor: [1, 2, ['ये']], Type: 'R:DET'","Orig: [1, 2, ['यह']], Cor: [1, 2, ['ये']], Type: 'R:DET'","क्या यह सारी पुस्तक मुझे पढ़नी हैं?
","क्या ये सारी पुस्तकें मुझे पढ़नी हैं?
",,,,g,a,g
"Orig: [3, 4, ['पुस्तक']], Cor: [3, 4, ['पुस्तकें']], Type: 'R:NOUN-NUM'","Orig: [3, 4, ['पुस्तक']], Cor: [3, 4, ['पुस्तकें']], Type: 'R:NOUN-NUM'","क्या यह सारी पुस्तक मुझे पढ़नी हैं?
","क्या ये सारी पुस्तकें मुझे पढ़नी हैं?
",,,,g,a,g
"Orig: [0, 1, ['हमारा']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","Orig: [0, 1, ['हमारा']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","हमारा वस्तुओं का ध्यान रखा जाए।
","हमारी वस्तुओं का ध्यान रखा जाए।
",,,,g,a,g
"Orig: [0, 1, ['सारा']], Cor: [0, 1, ['सारी']], Type: 'R:DET'","Orig: [0, 1, ['सारा']], Cor: [0, 1, ['सारी']], Type: 'R:DET'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
",,,,g,a,g
"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गयी']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['गया']], Cor: [4, 5, ['गयी']], Type: 'R:VERB-GEN'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
",,,,g,a,g
"Orig: [1, 2, ['खारी']], Cor: [1, 2, ['खारा']], Type: 'R:ADJ'","Orig: [1, 2, ['खारी']], Cor: [1, 2, ['खारा']], Type: 'R:ADJ'","तुम खारी पानी लाते हो।
","तुम खारा पानी लाते हो।
",,,,a,a,b
"Orig: [2, 3, ['खट्टी']], Cor: [2, 3, ['खट्टा']], Type: 'R:ADJ'","Orig: [2, 3, ['खट्टी']], Cor: [2, 3, ['खट्टा']], Type: 'R:ADJ'","दही बहुत खट्टी है।
","दही बहुत खट्टा है।
",,,,a,a,b
"Orig: [3, 4, ['रहस्यमयी']], Cor: [3, 4, ['रहस्यमय']], Type: 'R:ADJ'","Orig: [3, 4, ['रहस्यमयी']], Cor: [3, 4, ['रहस्यमय']], Type: 'R:ADJ'","उसका अंत बड़ा रहस्यमयी हुआ।
","उसका अंत बड़ा रहस्यमय हुआ।
",,,,a,a,b
"Orig: [0, 0, []], Cor: [0, 1, ['ये']], Type: 'M:DET'","Orig: [0, 0, []], Cor: [0, 1, ['ये']], Type: 'M:DET'","कापियाँ किसकी हैं?
","ये कापियाँ किसकी हैं?
",,,,g,a,g
"Orig: [2, 3, ['भाभी']], Cor: [2, 3, ['‘भाभी’']], Type: 'R:OTHER'","Orig: [2, 3, ['भाभी']], Cor: [2, 3, ['‘भाभी’']], Type: 'R:OTHER'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
",,,,b,a,b
"Orig: [5, 5, []], Cor: [5, 6, ['गयी']], Type: 'M:VERB-TENSE'","Orig: [5, 5, []], Cor: [5, 6, ['गयी']], Type: 'M:VERB-TENSE'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
",,,,g,a,g
"Orig: [4, 5, ['मात्र']], Cor: [4, 4, []], Type: 'U:OTHER'","Orig: [4, 5, ['मात्र']], Cor: [4, 4, []], Type: 'U:OTHER'","मुझे केवल सौ रुपये मात्र मिले।
","मुझे केवल सौ रुपये मिले।
",,,,b,a,b
"Orig: [0, 1, ['हमारी']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON-GEN'","Orig: [0, 1, ['हमारी']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON-GEN'","हमारी समाज प्रगतिशील बने।
","हमारा समाज प्रगतिशील बने।
",,,,g,a,g
"Orig: [4, 5, ['रहस्यमयी']], Cor: [4, 5, ['रहस्यमय']], Type: 'R:ADJ'","Orig: [4, 5, ['रहस्यमयी']], Cor: [4, 5, ['रहस्यमय']], Type: 'R:ADJ'","लोग आज भी उन रहस्यमयी खजानों को खोज रहे हैं।
","लोग आज भी उन रहस्यमय खजानों को खोज रहे हैं।
",,,,a,a,b
"Orig: [2, 2, []], Cor: [2, 3, ['!']], Type: 'M:PUNCT'","Orig: [2, 2, []], Cor: [2, 3, ['!']], Type: 'M:PUNCT'","हे प्रभु अब यह कष्ट दूर करो।
","हे प्रभु! अब यह कष्ट दूर करो।
",,,,g,a,g
"Orig: [2, 3, ['नया']], Cor: [2, 3, ['नई']], Type: 'R:ADJ-GEN'","Orig: [2, 3, ['नया']], Cor: [2, 3, ['नई']], Type: 'R:ADJ-GEN'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
",,,,g,a,g
"Orig: [4, 5, ['पहना']], Cor: [4, 5, ['पहनी']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['पहना']], Cor: [4, 5, ['पहनी']], Type: 'R:VERB-GEN'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
",,,,g,a,g
"Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:DET'","Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:DET'","भारत में अनेकों राज्य हैं।
","भारत में अनेक राज्य हैं।
",,,,g,a,g
"Orig: [3, 4, ['हितकर']], Cor: [3, 3, []], Type: 'U:ADJ'","Orig: [3, 4, ['हितकर']], Cor: [3, 3, []], Type: 'U:ADJ'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",,,,b,a,b
"Orig: [8, 9, ['कर।']], Cor: [7, 10, ['कर', 'रहे', 'हैं']], Type: 'R:VERB-TENSE'","Orig: [8, 9, ['कर।']], Cor: [7, 10, ['कर', 'रहे', 'हैं']], Type: 'R:VERB-TENSE'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",,,,b,a,b
"Orig: [9, 9, []], Cor: [10, 11, ['।']], Type: 'M:PUNCT'","Orig: [9, 9, []], Cor: [10, 11, ['।']], Type: 'M:PUNCT'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",,,,,,
"Orig: [1, 4, ['अपनी', 'ताकत', 'के']], Cor: [1, 2, ['अपने']], Type: 'R:PRON-GEN'","Orig: [1, 4, ['अपनी', 'ताकत', 'के']], Cor: [1, 2, ['अपने']], Type: 'R:PRON-GEN'","राजा अपनी ताकत के बल पर जीत गया।
","राजा अपने बल पर जीत गया।
",,,,g,a,g
"Orig: [1, 2, ['सबसे']], Cor: [1, 1, []], Type: 'U:ADV'","Orig: [1, 2, ['सबसे']], Cor: [1, 1, []], Type: 'U:ADV'","यह सबसे सुन्दरतम साड़ी है।
","यह सुन्दरतम साड़ी है।
",,,,g,a,g
"Orig: [18, 19, ['है']], Cor: [18, 19, ['थी']], Type: 'R:VERB-TENSE'","Orig: [18, 19, ['है']], Cor: [18, 19, ['थी']], Type: 'R:VERB-TENSE'","वो "" धूम 3 "" में संक्षिप्त भूमिका में दिखीं जिसने भारतीय फ़िल्मों में सबसे ज़्यादा कमाई की है।
","वो "" धूम 3 "" में संक्षिप्त भूमिका में दिखीं जिसने भारतीय फ़िल्मों में सबसे ज़्यादा कमाई की थी।
",,,,g,a,g
"Orig: [8, 9, ['पुराना']], Cor: [8, 9, ['पुराने']], Type: 'R:ADJ-NUM'","Orig: [8, 9, ['पुराना']], Cor: [8, 9, ['पुराने']], Type: 'R:ADJ-NUM'","1919 में स्थापित , यह भारत में सबसे पुराना इंजीनियरिंग संस्थानों में से एक है।
","1919 में स्थापित , यह भारत में सबसे पुराने इंजीनियरिंग संस्थानों में से एक है।
",,,,g,a,g
