Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [0, 1, ['वह']], Cor: [0, 1, ['वे']], Type: 'R:PRON-NUM'","Orig: [0, 1, ['वह']], Cor: [0, 1, ['वे']], Type: 'R:PRON'","वह अच्छे आदमी नहीं हैं।
","वे अच्छे आदमी नहीं हैं।
",,,,R:PRON-NUM,g,a
"Orig: [1, 2, ['तुम्हारे']], Cor: [1, 2, ['अपने']], Type: 'R:PRON'","Orig: [1, 2, ['तुम्हारे']], Cor: [1, 2, ['अपने']], Type: 'R:PRON'","तुम तुम्हारे घर जाओ।
","तुम अपने घर जाओ।
",,,,R:PRON,g,a
"Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझसे']], Type: 'R:PRON'","Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझसे']], Type: 'R:MULTI'","मैंने तेरे को कितनी बार कहा।
","मैंने तुझसे कितनी बार कहा।
",,,,R:PRON,g,a
"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","हमारे राष्ट्र में भ्रष्यचार देखकर मुझे बड़ा दुख होता है।
","अपने राष्ट्र में भ्रष्यचार देखकर मुझे बड़ा दुख होता है।
",,,,R:PRON,g,a
"Orig: [2, 5, ['जो', 'है', 'वह']], Cor: [2, 2, []], Type: 'U:OTHER'","Orig: [2, 5, ['जो', 'है', 'वह']], Cor: [2, 2, []], Type: 'U:OTHER'","यह उपन्यास जो है वह प्रेमचंद का लिखा हुआ है।
","यह उपन्यास प्रेमचंद का लिखा हुआ है।
",,,,U:OTHER,g,a
"Orig: [2, 3, ['तुमसे']], Cor: [2, 5, ['तुम्हारी', 'साड़ी', 'से']], Type: 'R:PRON'","Orig: [2, 3, ['तुमसे']], Cor: [2, 5, ['तुम्हारी', 'साड़ी', 'से']], Type: 'R:MULTI'","मेरी साड़ी तुमसे अच्छी है।
","मेरी साड़ी तुम्हारी साड़ी से अच्छी है।
",,,,R:PRON,g,a
"Orig: [2, 3, ['कौन']], Cor: [2, 3, ['क्या']], Type: 'R:PRON'","Orig: [2, 3, ['कौन']], Cor: [2, 3, ['क्या']], Type: 'R:PRON'","दूध में कौन पड़ गया है ?
","दूध में क्या पड़ गया है ?
",,,,R:PRON,g,a
"Orig: [1, 2, ['मेरे']], Cor: [1, 2, ['मेरी']], Type: 'R:PRON-GEN'","Orig: [1, 2, ['मेरे']], Cor: [1, 2, ['मेरी']], Type: 'R:PRON:INFL'","तुम मेरे तरफ़ क्यों चले आ रहे हो ?
","तुम मेरी तरफ़ क्यों चले आ रहे हो ?
",,,,R:PRON-GEN,g,a
"Orig: [1, 4, ['जो', 'है', 'उसका']], Cor: [1, 2, ['का']], Type: 'R:OTHER'","Orig: [1, 4, ['जो', 'है', 'उसका']], Cor: [1, 2, ['का']], Type: 'R:MULTI'","धर्म जो है उसका पालन करो।
","धर्म का पालन करो।
",,,,R:PRON,a,a
"Orig: [3, 3, []], Cor: [3, 4, ['से']], Type: 'M:ADP'","Orig: [3, 3, []], Cor: [3, 4, ['से']], Type: 'M:PSP'","जो लोग बाढ़ पीड़ित हैं, उसके परिवारों को सहायता देना सरकार का दायित्व है।
","जो लोग बाढ़ से पीड़ित हैं, उनके परिवारों को सहायता देना सरकार का दायित्व है।
",,,,M:ADP,g,a
"Orig: [6, 7, ['उसके']], Cor: [7, 8, ['उनके']], Type: 'R:PRON-NUM'","Orig: [6, 7, ['उसके']], Cor: [7, 8, ['उनके']], Type: 'R:PRON'","जो लोग बाढ़ पीड़ित हैं, उसके परिवारों को सहायता देना सरकार का दायित्व है।
","जो लोग बाढ़ से पीड़ित हैं, उनके परिवारों को सहायता देना सरकार का दायित्व है।
",,,,R:PRON-NUM,g,a
"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:MULTI'","मेरे को आपका काम बहुत पसंद है।
","मुझे आपका काम बहुत पसंद है।
",,,,R:PRON,b,a
"Orig: [0, 2, ['अपने', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:PRON'","Orig: [0, 2, ['अपने', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:MULTI'","अपने को यहाँ से जाने की कोई जल्दी नहीं है।
","मुझे यहाँ से जाने की कोई जल्दी नहीं है।
",,,,R:PRON,g,a
"Orig: [2, 3, ['कौन']], Cor: [2, 3, ['कुछ']], Type: 'R:PRON'","Orig: [2, 3, ['कौन']], Cor: [2, 3, ['कुछ']], Type: 'R:PRON'","चाय में कौन गिर गया है।
","चाय में कुछ गिर गया है।
",,,,R:PRON,g,a
"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:MULTI'","मेरे को कपड़े सिलवाने हैं।
","मुझे कपड़े सिलवाने हैं।
",,,,R:PRON,b,a
"Orig: [1, 3, ['निज', 'में']], Cor: [1, 2, ['स्वयं']], Type: 'R:OTHER'","Orig: [1, 3, ['निज', 'में']], Cor: [1, 2, ['स्वयं']], Type: 'R:MULTI'","मैं निज में वहाँ जाना चाहता हूँ।
","मैं स्वयं वहाँ जाना चाहता हूँ।
",,,,R:PRON,a,a
"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:MULTI'","मेरे को आगरा जाना है।
","मुझे आगरा जाना है।
",,,,R:PRON,b,a
"Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:OTHER'","Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:SPELL'","यह अच्छे फल नहीं है।
","ये अच्छे फल नहीं हैं।
",,,,R:DET,g,a
"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB:INFL'","यह अच्छे फल नहीं है।
","ये अच्छे फल नहीं हैं।
",,,,R:VERB-NUM,g,a
"Orig: [1, 2, ['तुम्हारी']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON'","Orig: [1, 2, ['तुम्हारी']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON'","तुम तुम्हारी पुस्तक ले आओ।
","तुम अपनी पुस्तक ले आओ।
",,,,R:PRON,g,a
"Orig: [1, 2, ['तुम्हारा']], Cor: [1, 2, ['तुम्हारे']], Type: 'R:PRON'","Orig: [1, 2, ['तुम्हारा']], Cor: [1, 2, ['तुम्हारे']], Type: 'R:MORPH'","कल तुम्हारा पापा जी मिले थे।
","कल तुम्हारे पापा जी मिले थे।
",,,,R:PRON,g,a
"Orig: [0, 1, ['मैंने']], Cor: [0, 1, ['मुझे']], Type: 'R:PRON'","Orig: [0, 1, ['मैंने']], Cor: [0, 1, ['मुझे']], Type: 'R:PRON:INFL'","मैंने निबंध लिखना है।
","मुझे निबंध लिखना है।
",,,,R:PRON,g,a
"Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझे']], Type: 'R:PRON'","Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझे']], Type: 'R:MULTI'","वह तेरे को पैसे नहीं देगा।
","वह तुझे पैसे नहीं देगा।
",,,,R:PRON,g,a
"Orig: [1, 2, ['उन्हें']], Cor: [1, 2, ['उनकी']], Type: 'R:PRON'","Orig: [1, 2, ['उन्हें']], Cor: [1, 2, ['उनकी']], Type: 'R:PRON:INFL'","यह उन्हें समझ में नहीं आएगा।
","यह उनकी समझ में नहीं आएगा।
",,,,R:PRON,g,a
"Orig: [0, 1, ['वो']], Cor: [0, 1, ['वह']], Type: 'R:SPELL'","Orig: [0, 1, ['वो']], Cor: [0, 1, ['वह']], Type: 'R:PRON:INFL'","वो तो कल आएगा।
","वह तो कल आएगा।
",,,,R:PRON,g,a
"Orig: [2, 4, ['राम', 'का']], Cor: [2, 3, ['उसका']], Type: 'R:OTHER'","Orig: [2, 4, ['राम', 'का']], Cor: [2, 3, ['उसका']], Type: 'R:MULTI'","राम और राम का पुत्र बाज़ार गया।
","राम और उसका पुत्र बाज़ार गये।
",,,,R:PRON,b,a
"Orig: [6, 7, ['गया']], Cor: [5, 6, ['गये']], Type: 'R:VERB-NUM'","Orig: [6, 7, ['गया']], Cor: [5, 6, ['गये']], Type: 'R:VERB:INFL'","राम और राम का पुत्र बाज़ार गया।
","राम और उसका पुत्र बाज़ार गये।
",,,,R:VERB-NUM,a,a
"Orig: [1, 2, ['आप-आप']], Cor: [1, 3, ['अपने', 'आप']], Type: 'R:PRON'","Orig: [1, 2, ['आप-आप']], Cor: [1, 3, ['अपने', 'आप']], Type: 'R:MULTI'","वह आप-आप चलता जा रहा था।
","वह अपने आप चलता जा रहा था।
",,,,R:PRON,g,a
"Orig: [1, 2, ['जो']], Cor: [1, 1, []], Type: 'U:DET'","Orig: [1, 2, ['जो']], Cor: [1, 1, []], Type: 'U:DEM'","वह जो पुस्तक है वह गोपाल की है।
","वह पुस्तक गोपाल की है।
",,,,U:DET,g,a
"Orig: [3, 5, ['है', 'वह']], Cor: [2, 2, []], Type: 'U:OTHER'","Orig: [3, 5, ['है', 'वह']], Cor: [2, 2, []], Type: 'U:OTHER'","वह जो पुस्तक है वह गोपाल की है।
","वह पुस्तक गोपाल की है।
",,,,U:OTHER,g,a
"Orig: [1, 2, ['हमारा']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","Orig: [1, 2, ['हमारा']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","हमें हमारा काम स्वयं करना चाहिए।
","हमें अपना काम स्वयं करना चाहिए।
",,,,R:PRON,g,a
"Orig: [1, 2, ['तुम्हारा']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON'","Orig: [1, 2, ['तुम्हारा']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON'","तुमने तुम्हारा कलम खो दिया।
","तुमने अपनी कलम खो दी।
",,,,R:PRON-GEN,a,a
"Orig: [4, 5, ['दिया']], Cor: [4, 5, ['दी']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['दिया']], Cor: [4, 5, ['दी']], Type: 'R:VERB:INFL'","तुमने तुम्हारा कलम खो दिया।
","तुमने अपनी कलम खो दी।
",,,,R:VERB-GEN,a,a
"Orig: [4, 5, ['आपका']], Cor: [4, 5, ['तुम्हारा']], Type: 'R:PRON'","Orig: [4, 5, ['आपका']], Cor: [4, 5, ['तुम्हारा']], Type: 'R:PRON'","तुम्हारा पत्र मिला, आपका धन्यवाद।
","तुम्हारा पत्र मिला, तुम्हारा धन्‍्यवाद।
",,,,R:PRON,g,a
"Orig: [5, 6, ['धन्यवाद।']], Cor: [5, 6, ['धन्\u200d्यवाद।']], Type: 'R:SPELL'","Orig: [5, 6, ['धन्यवाद।']], Cor: [5, 6, ['धन्\u200d्यवाद।']], Type: 'R:SPELL'","तुम्हारा पत्र मिला, आपका धन्यवाद।
","तुम्हारा पत्र मिला, तुम्हारा धन्‍्यवाद।
",,,,,,
"Orig: [1, 2, ['हमारे']], Cor: [1, 2, ['अपने']], Type: 'R:PRON'","Orig: [1, 2, ['हमारे']], Cor: [1, 2, ['अपने']], Type: 'R:PRON'","हम हमारे पिता जी की आज्ञा का पालन करते हैं।
","हम अपने पिता जी की आज्ञा का पालन करते हैं।
",,,,R:PRON,g,a
"Orig: [0, 2, ['तेरे', 'को']], Cor: [0, 1, ['तुम्हें']], Type: 'R:PRON'","Orig: [0, 2, ['तेरे', 'को']], Cor: [0, 1, ['तुम्हें']], Type: 'R:MULTI'","तेरे को ऐसी बात नहीं करनी चाहिए।
","तुम्हें ऐसी बात नहीं करनी चाहिए।
",,,,R:PRON,g,a
"Orig: [1, 2, ['मेरा']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","Orig: [1, 2, ['मेरा']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","मैंने मेरा काम कर लिया है।
","मैंने अपना काम कर लिया है।
",,,,R:PRON,g,a
"Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON:INFL'",उसके आँख से आँसू निकल पड़ा।,उसकी आँख से आँसू निकल पड़ा।,,,,R:PRON-GEN,g,a
