,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
17,"Orig: [2, 3, ['दहाड़']], Cor: [2, 3, ['चिंघाड़']], Type: 'R:SPELL'","Orig: [2, 3, 'दहाड़'], Cor: [2, 3, 'चिंघाड़'], Type: 'R:NOUN'","हाथियों की दहाड़ सुनकर हम डर गए।
","हाथियों की चिंघाड़ सुनकर हम डर गए।
",R:NOUN,R:SPELL,g,a,NO,g,NO
18,"Orig: [2, 3, ['मोटी']], Cor: [2, 3, ['मोटा']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'मोटी'], Cor: [2, 3, 'मोटा'], Type: 'R:ADJ:INFL'","हाथी बहुत मोटी है।
","हाथी बहुत मोटा है।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
19,"Orig: [2, 3, ['नई']], Cor: [2, 3, ['नया']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'नई'], Cor: [2, 3, 'नया'], Type: 'R:ADJ:INFL'","राम ने नई कपड़ा खरीदी।
","राम ने नया कपड़ा खरीदा।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
20,"Orig: [4, 5, ['खरीदी']], Cor: [4, 5, ['खरीदा']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'खरीदी।'], Cor: [4, 5, 'खरीदा।'], Type: 'R:SPELL'","राम ने नई कपड़ा खरीदी।
","राम ने नया कपड़ा खरीदा।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
21,"Orig: [2, 3, ['श्रेष्ठतम']], Cor: [2, 3, ['श्रेष्ठ']], Type: 'R:ADJ'","Orig: [2, 3, 'श्रेष्ठतम'], Cor: [2, 3, 'श्रेष्ठ'], Type: 'R:ADJ:INFL'","आपकी रचना श्रेष्ठतम है।
","आपकी रचना श्रेष्ठ है।
",R:ADJ,R:ADJ,g,a,YES,g,NO
22,"Orig: [1, 2, ['मोटे-मोटे']], Cor: [1, 2, ['बड़े-बड़े']], Type: 'R:ADJ'","Orig: [1, 2, 'मोटे-मोटे'], Cor: [1, 2, 'बड़े-बड़े'], Type: 'R:OTHER'","उसने मोटे-मोटे फल छाँट लिए।
","उसने बड़े-बड़े फल छाँट लिए।
",R:ADJ,R:ADJ,g,a,YES,g,NO
23,"Orig: [2, 3, ['विचित्र']], Cor: [2, 3, ['अद्भुत']], Type: 'R:ADJ'","Orig: [2, 3, 'विचित्र'], Cor: [2, 3, 'अद्भुत'], Type: 'R:ADJ'","ताजमहल एक विचित्र मीनार है।
","ताजमहल एक अद्भुत मीनार है।
",R:ADJ,R:ADJ,g,a,YES,g,NO
24,"Orig: [3, 4, ['भारी']], Cor: [3, 4, ['बहुत']], Type: 'R:OTHER'","Orig: [3, 4, 'भारी'], Cor: [3, 4, 'बहुत'], Type: 'R:OTHER'","करन की माँ भारी दुखी है।
","करन की माँ बहुत दुखी है।
",R:ADV,R:OTHER,g,a,NO,g,NO
25,"Orig: [2, 3, ['उच्च']], Cor: [2, 3, ['विशाल']], Type: 'R:ADJ'","Orig: [2, 3, 'उच्च'], Cor: [2, 3, 'विशाल'], Type: 'R:ADJ'","आकाश बहुत उच्च है।
","आकाश बहुत विशाल है।
",R:ADJ,R:ADJ,g,a,YES,g,NO
26,"Orig: [2, 3, ['अपने']], Cor: [2, 3, ['नियत']], Type: 'R:OTHER'","Orig: [2, 3, 'अपने'], Cor: [2, 3, 'नियत'], Type: 'R:OTHER'","प्रत्येक काम अपने समय पर करो।
","प्रत्येक काम नियत समय पर करो।
",R:ADJ,R:OTHER,g,a,NO,g,NO
27,"Orig: [2, 3, ['विख्यात']], Cor: [2, 3, ['कुख्यात']], Type: 'R:ADJ'","Orig: [2, 3, 'विख्यात'], Cor: [2, 3, 'कुख्यात'], Type: 'R:ADJ'","खड़ग सिंह विख्यात डाकू था।
","खड़ग सिंह कुख्यात डाकू था।
",R:ADJ,R:ADJ,g,a,YES,g,NO
28,"Orig: [2, 3, ['वीभत्स']], Cor: [2, 3, ['भयानक']], Type: 'R:ADJ'","Orig: [2, 3, 'वीभत्स'], Cor: [2, 3, 'भयानक'], Type: 'R:ADJ'","शेर बड़ा वीभत्स होता है।
","शेर बड़ा भयानक होता है।
",R:ADJ,R:ADJ,g,a,YES,g,NO
29,"Orig: [2, 3, ['के']], Cor: [2, 3, ['की']], Type: 'R:ADP-INFL'","Orig: [2, 3, 'के'], Cor: [2, 3, 'की'], Type: 'R:ADP:INFL'",पुस्तकालय सड़क के बायाँ ओर है।,पुस्तकालय सड़क की बाईं ओर है।,R:ADV,R:ADP-INFL,g,a,NO,g,YES
30,"Orig: [3, 4, ['बायाँ']], Cor: [3, 4, ['बाईं']], Type: 'R:OTHER'","Orig: [3, 4, 'बायाँ'], Cor: [3, 4, 'बाईं'], Type: 'R:NOUN'",पुस्तकालय सड़क के बायाँ ओर है।,पुस्तकालय सड़क की बाईं ओर है।,R:ADJ-GEN,R:OTHER,a,a,NO,a,NO
