,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
24,"Orig: [2, 3, ['का']], Cor: [2, 3, ['के']], Type: 'R:ADP-INFL'","Orig: [2, 3, 'का'], Cor: [2, 3, 'के'], Type: 'R:ADP:INFL'","इस प्रश्न का हल करने की आवश्यकता है।
","इस प्रश्न के हल की आवश्यकता है।
",R:ADP,R:ADP-INFL,g,a,NO,g,YES
25,"Orig: [4, 5, ['वितरित']], Cor: [4, 5, ['प्रदान']], Type: 'R:OTHER'","Orig: [4, 5, 'वितरित'], Cor: [4, 5, 'प्रदान'], Type: 'R:OTHER'","उन्हें डॉक्टर की उपाधि वितरित की।
","उन्हें डॉक्टर की उपाधि प्रदान की।
",R:VERB,R:OTHER,b,a,NO,b,NO
26,"Orig: [3, 4, ['माँगों']], Cor: [3, 4, ['माँगिए']], Type: 'R:VERB-NUM'","Orig: [3, 4, 'माँगों।'], Cor: [3, 4, 'माँगिए।'], Type: 'R:SPELL'","सवेरे-सवेरे उधार मत माँगों।
","सवेरे-सवेरे उधार मत माँगिए।
",R:SPELL,R:VERB-NUM,g,a,NO,g,NO
27,"Orig: [7, 8, ['आए']], Cor: [7, 8, ['आया']], Type: 'R:VERB-NUM'","Orig: [7, 8, 'आए।'], Cor: [7, 8, 'आया।'], Type: 'R:SPELL'","हिरणों का झुंड तालाब पर पानी पीने आए।
","हिरणों का झुंड तालाब पर पानी पीने आया।
",R:VERB-NUM,R:VERB-NUM,g,a,YES,g,NO
28,"Orig: [2, 4, ['कहकर', 'पुकारना']], Cor: [2, 3, ['कहना']], Type: 'R:VERB-TENSE'","Orig: [2, 4, 'कहकर पुकारना'], Cor: [2, 3, 'कहना'], Type: 'R:MULTI'","उसको दुर्जन कहकर पुकारना अनुचित है।
","उसको दुर्जन कहना अनुचित है।
",R:VERB,R:VERB-TENSE,a,a,NO,b,YES
29,"Orig: [4, 5, ['जा']], Cor: [4, 5, ['हो']], Type: 'R:VERB'","Orig: [4, 5, 'जा'], Cor: [4, 5, 'हो'], Type: 'R:VERB'","कई बार वह शिमला जा आया है।
","कई बार वह शिमला हो आया है।
",R:VERB,R:VERB,g,a,YES,g,NO
30,"Orig: [5, 6, ['माँगता']], Cor: [5, 6, ['चाहता']], Type: 'R:VERB'","Orig: [5, 6, 'माँगता'], Cor: [5, 6, 'चाहता'], Type: 'R:SPELL'","अब वह फिर से पढ़ना माँगता है।
","अब वह फिर से पढ़ना चाहता है।
",R:VERB,R:VERB,b,a,NO,b,NO
31,"Orig: [6, 7, ['पड़ा']], Cor: [6, 7, ['गया']], Type: 'R:OTHER'","Orig: [6, 7, 'पड़ा'], Cor: [6, 7, 'गया'], Type: 'R:VERB'","देखते ही देखते जून भी आ पड़ा।
","देखते ही देखते जून भी आ गया।
",R:VERB,R:OTHER,a,a,NO,a,NO
32,"Orig: [6, 7, ['देने']], Cor: [6, 7, ['लेने']], Type: 'R:VERB'","Orig: [6, 7, 'देने'], Cor: [6, 7, 'लेने'], Type: 'R:VERB'","सुखिया का पिता मंदिर में प्रसाद देने आया था।
","सुखिया का पिता मंदिर में प्रसाद लेने आया था।
",R:VERB,R:VERB,g,a,YES,g,NO
33,"Orig: [7, 8, ['गई']], Cor: [7, 8, ['गए']], Type: 'R:VERB-GEN'","Orig: [7, 8, 'गई।'], Cor: [7, 8, 'गए।'], Type: 'R:SPELL'","राम, लक्ष्मण और सीता जंगल को गई।","राम, लक्ष्मण और सीता जंगल को गए।",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
