,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
41,"Orig: [0, 1, ['महोदया']], Cor: [0, 1, ['महोदय']], Type: 'R:SPELL'","Orig: [0, 1, 'महोदया'], Cor: [0, 1, 'महोदय'], Type: 'R:PROPN'","महोदया सबकी मदद कर रही हैं।
","महोदय सबकी मदद कर रहे हैं।
",R:NOUN-GEN,R:SPELL,b,a,NO,b,NO
42,"Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'रही'], Cor: [4, 5, 'रहे'], Type: 'R:VERB:INFL'","महोदया सबकी मदद कर रही हैं।
","महोदय सबकी मदद कर रहे हैं।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
43,"Orig: [1, 2, ['छात्र']], Cor: [1, 2, ['छात्रायें']], Type: 'R:NOUN-GEN'","Orig: [1, 2, 'छात्र'], Cor: [1, 2, 'छात्रायें'], Type: 'R:NOUN'","दो छात्र आज कक्षा में नहीं आएँ हैं।
","दो छात्रायें आज कक्षा में नहीं आई हैं।
",R:NOUN-GEN,R:NOUN-GEN,g,a,YES,g,NO
44,"Orig: [6, 7, ['आएँ']], Cor: [6, 7, ['आई']], Type: 'R:VERB-GEN'","Orig: [6, 7, 'आएँ'], Cor: [6, 7, 'आई'], Type: 'R:OTHER'","दो छात्र आज कक्षा में नहीं आएँ हैं।
","दो छात्रायें आज कक्षा में नहीं आई हैं।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
45,"Orig: [0, 1, ['मोरनी']], Cor: [0, 1, ['मोर']], Type: 'R:MORPH'","Orig: [0, 1, 'मोरनी'], Cor: [0, 1, 'मोर'], Type: 'R:MORPH'","मोरनी नाच रही है।
","मोर नाच रहा है।
",R:NOUN-GEN,R:MORPH,g,a,YES,b,NO
46,"Orig: [2, 3, ['रही']], Cor: [2, 3, ['रहा']], Type: 'R:VERB-GEN'","Orig: [2, 3, 'रही'], Cor: [2, 3, 'रहा'], Type: 'R:VERB:INFL'","मोरनी नाच रही है।
","मोर नाच रहा है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
47,"Orig: [0, 1, ['शेर']], Cor: [0, 1, ['शेरनी']], Type: 'R:SPELL'","Orig: [0, 1, 'शेर'], Cor: [0, 1, 'शेरनी'], Type: 'R:PROPN'","शेर अब शिकार पर जाएगा ।
","शेरनी अब शिकार पर जाएगी।
",R:NOUN-GEN,R:SPELL,b,a,NO,b,NO
48,"Orig: [4, 5, ['जाएगा']], Cor: [4, 5, ['जाएगी']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'जाएगा'], Cor: [4, 5, 'जाएगी'], Type: 'R:VERB:INFL'","शेर अब शिकार पर जाएगा ।
","शेरनी अब शिकार पर जाएगी।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
49,"Orig: [0, 1, ['माली']], Cor: [0, 1, ['मालिन']], Type: 'R:SPELL'","Orig: [0, 1, 'माली'], Cor: [0, 1, 'मालिन'], Type: 'R:PROPN'","माली बग़ीचे में पौधे लगा रहा है। 
","मालिन बग़ीचे में पौधे लगा रही है।
",R:NOUN-GEN,R:SPELL,b,a,NO,b,NO
50,"Orig: [5, 6, ['रहा']], Cor: [5, 6, ['रही']], Type: 'R:VERB-GEN'","Orig: [5, 6, 'रहा'], Cor: [5, 6, 'रही'], Type: 'R:VERB:INFL'","माली बग़ीचे में पौधे लगा रहा है। 
","मालिन बग़ीचे में पौधे लगा रही है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
51,"Orig: [1, 2, ['नाती']], Cor: [1, 2, ['नातिन']], Type: 'R:NOUN'","Orig: [1, 2, 'नाती'], Cor: [1, 2, 'नातिन'], Type: 'R:NOUN'","मेरी नाती जापान में रहती है।
","मेरी नातिन जापान में रहती है।
",R:NOUN-GEN,R:NOUN,b,a,NO,b,NO
52,"Orig: [1, 2, ['देवरानी']], Cor: [1, 2, ['देवर']], Type: 'R:NOUN-GEN'","Orig: [1, 2, 'देवरानी'], Cor: [1, 2, 'देवर'], Type: 'R:NOUN'","मेरा देवरानी मुझसे दो साल छोटा है।
","मेरा देवर मुझसे दो साल छोटा है।
",R:NOUN-GEN,R:NOUN-GEN,g,a,YES,g,NO
53,"Orig: [1, 2, ['नौकरानी']], Cor: [1, 2, ['नौकर']], Type: 'R:NOUN-GEN'","Orig: [1, 2, 'नौकरानी'], Cor: [1, 2, 'नौकर'], Type: 'R:NOUN'","आपका नौकरानी कितने बजे आता है?
","आपका नौकर कितने बजे आता है?
",R:NOUN-GEN,R:NOUN-GEN,g,a,YES,g,NO
54,"Orig: [2, 3, ['पीला']], Cor: [2, 3, ['पीले']], Type: 'R:ADJ'","Orig: [2, 3, 'पीला'], Cor: [2, 3, 'पीले'], Type: 'R:MORPH'","उसके दांत पीला हो रहे हैं।
","उसके दांत पीले हो रहे हैं।
",R:ADJ-NUM,R:ADJ,b,a,NO,b,NO
55,"Orig: [2, 3, ['ढीला']], Cor: [2, 3, ['ढीली']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'ढीला'], Cor: [2, 3, 'ढीली'], Type: 'R:ADJ:INFL'","उसकी क़मीज़ें ढीला हो रही हैं।
","उसकी क़मीज़ें ढीली हो रही हैं।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
56,"Orig: [2, 3, ['बड़ा']], Cor: [2, 3, ['बड़े']], Type: 'R:SPELL'","Orig: [2, 3, 'बड़ा'], Cor: [2, 3, 'बड़े'], Type: 'R:ADJ:INFL'","उसके लड़के बड़ा हो गए हैं।
","उसके लड़के बड़े हो गए हैं।
",R:ADJ-NUM,R:SPELL,g,a,NO,g,NO
57,"Orig: [5, 6, ['अच्छा']], Cor: [5, 6, ['अच्छे']], Type: 'R:ADJ-NUM'","Orig: [5, 6, 'अच्छा'], Cor: [5, 6, 'अच्छे'], Type: 'R:ADJ:INFL'","उस विद्यालय में क्रिकेट के अच्छा खिलाड़ी हैं।
","उस विद्यालय में क्रिकेट के अच्छे खिलाड़ी हैं।
",R:ADJ-NUM,R:ADJ-NUM,g,a,YES,a,YES
58,"Orig: [4, 5, ['पुराना']], Cor: [4, 5, ['पुरानी']], Type: 'R:ADJ-GEN'","Orig: [4, 5, 'पुराना'], Cor: [4, 5, 'पुरानी'], Type: 'R:ADJ:INFL'","उस घर की दीवारें पुराना हो गयी हैं।
","उस घर की दीवारें पुरानी हो गयी हैं।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
59,"Orig: [2, 3, ['महंगा']], Cor: [2, 3, ['महंगी']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'महंगा'], Cor: [2, 3, 'महंगी'], Type: 'R:ADJ:INFL'","नई किताबें महंगा हैं |
","नई किताबें महंगी हैं |
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
60,"Orig: [3, 4, ['छोटा']], Cor: [3, 4, ['छोटे']], Type: 'R:ADJ-NUM'","Orig: [3, 4, 'छोटा'], Cor: [3, 4, 'छोटे'], Type: 'R:ADJ:INFL'","उसके पास तीन छोटा कुत्ते हैं|
","उसके पास तीन छोटे कुत्ते हैं|
",R:ADJ-NUM,R:ADJ-NUM,g,a,YES,a,YES
61,"Orig: [2, 3, ['लम्बा']], Cor: [2, 3, ['लम्बे']], Type: 'R:ADJ-NUM'","Orig: [2, 3, 'लम्बा'], Cor: [2, 3, 'लम्बे'], Type: 'R:MORPH'","उसके बाल लम्बा हैं।
","उसके बाल लम्बे हैं।
",R:ADJ-NUM,R:ADJ-NUM,b,a,NO,b,NO
62,"Orig: [4, 5, ['छोटा']], Cor: [4, 5, ['छोटे']], Type: 'R:ADJ'","Orig: [4, 5, 'छोटा'], Cor: [4, 5, 'छोटे'], Type: 'R:ADJ:INFL'","इस इलाक़े के मकान छोटा हैं।
","इस इलाक़े के मकान छोटे हैं।
",R:ADJ-NUM,R:ADJ,b,a,NO,b,NO
63,"Orig: [3, 4, ['ताज़ा']], Cor: [3, 4, ['ताज़ी']], Type: 'R:SPELL'","Orig: [3, 4, 'ताज़ा'], Cor: [3, 4, 'ताज़ी'], Type: 'R:MORPH'","इस दुकान में ताज़ा मिठाइयाँ मिल रही हैं।
","इस दुकान में ताज़ी मिठाइयाँ मिल रही हैं।
",R:ADJ-GEN,R:SPELL,b,a,NO,b,NO
64,"Orig: [1, 2, ['सुनहरा']], Cor: [1, 2, ['सुनहरी']], Type: 'R:ADJ-GEN'","Orig: [1, 2, 'सुनहरा'], Cor: [1, 2, 'सुनहरी'], Type: 'R:ADJ:INFL'","ये सुनहरा अँगूठियाँ तुम्हारी हैं?
","ये सुनहरी अँगूठियाँ तुम्हारी हैं?
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
65,"Orig: [2, 3, ['काला']], Cor: [2, 3, ['काले']], Type: 'R:ADJ'","Orig: [2, 3, 'काला'], Cor: [2, 3, 'काले'], Type: 'R:ADJ:INFL'","ये जामुन काला हैं।
","ये जामुन काले हैं।
",R:ADJ-NUM,R:ADJ,b,a,NO,b,NO
66,"Orig: [3, 4, ['नीला']], Cor: [3, 4, ['नीली']], Type: 'R:ADJ-GEN'","Orig: [3, 4, 'नीला'], Cor: [3, 4, 'नीली'], Type: 'R:ADJ:INFL'","वे सारी गाड़ियाँ नीला हैं।
","वे सारी गाड़ियाँ नीली हैं।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
67,"Orig: [2, 3, ['पीला']], Cor: [2, 3, ['पीले']], Type: 'R:ADJ'","Orig: [2, 3, 'पीला'], Cor: [2, 3, 'पीले'], Type: 'R:NOUN:INFL'","वे पत्ते पीला पड़ गए हैं।
","वे पत्ते पीले पड़ गए हैं।
",R:ADJ-NUM,R:ADJ,b,a,NO,b,NO
68,"Orig: [2, 3, ['नया']], Cor: [2, 3, ['नये']], Type: 'R:ADJ-NUM'","Orig: [2, 3, 'नया'], Cor: [2, 3, 'नये'], Type: 'R:ADJ:INFL'","ये मकान नया बने हैं।
","ये मकान नये बने हैं।
",R:ADJ-NUM,R:ADJ-NUM,g,a,YES,a,YES
69,"Orig: [5, 6, ['होगी']], Cor: [5, 6, ['थी']], Type: 'R:VERB-TENSE'","Orig: [5, 6, 'होगी'], Cor: [5, 6, 'थी'], Type: 'R:VERB'","मैंने उसकी आवाज़ पहचान ली होगी।
","मैंने उसकी आवाज़ पहचान ली थी।
",R:VERB-TENSE,R:VERB-TENSE,g,a,YES,g,NO
70,"Orig: [5, 7, ['हुआ', 'था']], Cor: [5, 6, ['हूँ']], Type: 'R:VERB'","Orig: [5, 7, 'हुआ था'], Cor: [5, 6, 'हूँ'], Type: 'R:MULTI'","मैं वहाँ एक बार गया हुआ था।
","मैं वहाँ एक बार गया हूँ।
",R:VERB-TENSE,R:VERB,b,a,NO,b,YES
71,"Orig: [7, 9, ['होते', 'थे']], Cor: [7, 8, ['हैं']], Type: 'R:VERB'","Orig: [7, 9, 'होते थे'], Cor: [7, 8, 'हैं'], Type: 'R:MULTI'","यह लोग हमें खेलने नहीं दे रहे होते थे।
","यह लोग हमें खेलने नहीं दे रहे हैं।
",R:VERB-TENSE,R:VERB,b,a,NO,b,YES
72,"Orig: [1, 2, ['ज़्यादा']], Cor: [1, 2, ['कम']], Type: 'R:DET'","Orig: [1, 2, 'ज़्यादा'], Cor: [1, 2, 'कम'], Type: 'R:OTHER'","तुम ज़्यादा बोलते हो।
","तुम कम बोलते हो।
",M:ADV,R:DET,b,a,NO,b,NO
73,"Orig: [1, 2, ['बहुत']], Cor: [1, 2, ['कितना']], Type: 'R:OTHER'","Orig: [1, 2, 'बहुत'], Cor: [1, 2, 'कितना'], Type: 'R:OTHER'","मैं बहुत खुश हूँ।
","मैं कितना खुश हूँ।
",R:ADV,R:OTHER,g,a,NO,g,NO
74,"Orig: [2, 3, ['ये']], Cor: [3, 4, ['सब']], Type: 'R:DET'","Orig: [2, 3, 'ये'], Cor: [3, 4, 'सब'], Type: 'R:OTHER'","दुनिया में ये लोग आदर से बात नहीं करते।
","इस दुनिया में सब लोग आदर से बात नहीं करते।
",R:DET,R:DET,g,a,YES,g,NO
75,"Orig: [1, 2, ['वह']], Cor: [1, 2, ['इस']], Type: 'R:OTHER'","Orig: [1, 2, 'वह'], Cor: [1, 2, 'इस'], Type: 'R:OTHER'","मैं वह किताब की बात कर रहा था।
","मैं इस किताब की बात कर रहा था।
",R:DET,R:OTHER,g,a,NO,g,NO
