,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
42,"Orig: [4, 5, ['रहस्यमयी']], Cor: [4, 5, ['रहस्यमय']], Type: 'R:SPELL'","Orig: [4, 5, 'रहस्यमयी'], Cor: [4, 5, 'रहस्यमय'], Type: 'R:ADJ:INFL'","लोग आज भी उन रहस्यमयी खजानों को खोज रहे हैं।
","लोग आज भी उन रहस्यमय खजानों को खोज रहे हैं।
",a,R:SPELL,a,b,NO,a,NO
43,"Orig: [2, 3, ['नया']], Cor: [2, 3, ['नई']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'नया'], Cor: [2, 3, 'नई'], Type: 'R:ADJ:INFL'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
",g,R:ADJ-GEN,a,g,NO,a,NO
44,"Orig: [4, 5, ['पहना']], Cor: [4, 5, ['पहनी']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'पहना'], Cor: [4, 5, 'पहनी'], Type: 'R:VERB:INFL'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
",g,R:VERB-GEN,a,g,NO,a,NO
45,"Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:DET'","Orig: [2, 3, 'अनेकों'], Cor: [2, 3, 'अनेक'], Type: 'R:SPELL'","भारत में अनेकों राज्य हैं।
","भारत में अनेक राज्य हैं।
",g,R:DET,a,g,NO,a,NO
46,"Orig: [18, 19, ['है']], Cor: [18, 19, ['थी']], Type: 'R:VERB-TENSE'","Orig: [18, 19, 'है'], Cor: [18, 19, 'थी'], Type: 'R:VERB'","वो "" धूम 3 "" में संक्षिप्त भूमिका में दिखीं जिसने भारतीय फ़िल्मों में सबसे ज़्यादा कमाई की है।
","वो "" धूम 3 "" में संक्षिप्त भूमिका में दिखीं जिसने भारतीय फ़िल्मों में सबसे ज़्यादा कमाई की थी।
",g,R:VERB-TENSE,a,g,NO,a,NO
47,"Orig: [8, 9, ['पुराना']], Cor: [8, 9, ['पुराने']], Type: 'R:ADJ-NUM'","Orig: [8, 9, 'पुराना'], Cor: [8, 9, 'पुराने'], Type: 'R:ADJ:INFL'","1919 में स्थापित , यह भारत में सबसे पुराना इंजीनियरिंग संस्थानों में से एक है।
","1919 में स्थापित , यह भारत में सबसे पुराने इंजीनियरिंग संस्थानों में से एक है।
",g,R:ADJ-NUM,a,g,NO,a,NO
48,"Orig: [11, 12, ['छोटे']], Cor: [11, 12, ['छोटा']], Type: 'R:ADJ-NUM'","Orig: [11, 12, 'छोटे'], Cor: [11, 12, 'छोटा'], Type: 'R:ADJ:INFL'","बुध ग्रह सौरमंडल के बडे उपग्रहों गेनिमेड और टाइटन से भी छोटे है , हालांकि यह उनसे भारी जरुर है .
","बुध ग्रह सौरमंडल के बडे उपग्रहों गेनिमेड और टाइटन से भी छोटा है , हालांकि यह उनसे भारी जरुर है .
",g,R:ADJ-NUM,a,g,NO,a,NO
49,"Orig: [8, 9, ['पूरा']], Cor: [8, 9, ['पूरे']], Type: 'R:ADJ-NUM'","Orig: [8, 9, 'पूरा'], Cor: [8, 9, 'पूरे'], Type: 'R:ADJ:INFL'","कुछ मिशन केवल एक ही किरदार के साथ पूरा होते हैं और कुछ दो या तीन के साथ .
","कुछ मिशन केवल एक ही किरदार के साथ पूरे होते हैं और कुछ दो या तीन के साथ .
",g,R:ADJ-NUM,a,g,NO,a,NO
50,"Orig: [3, 4, ['पुराना']], Cor: [3, 4, ['पुराने']], Type: 'R:ADJ-NUM'","Orig: [3, 4, 'पुराना'], Cor: [3, 4, 'पुराने'], Type: 'R:ADJ:INFL'","जीवन के सबसे पुराना निर्विवादित सबूत ३ ५ अरब वर्ष पुराने हैं .
","जीवन के सबसे पुराने निर्विवादित सबूत ३ ५ अरब वर्ष पुराने हैं .
",g,R:ADJ-NUM,a,g,NO,a,NO
51,"Orig: [1, 2, ['अच्छा']], Cor: [1, 2, ['अच्छे']], Type: 'R:ADJ-NUM'","Orig: [1, 2, 'अच्छा'], Cor: [1, 2, 'अच्छे'], Type: 'R:ADJ:INFL'","आप अच्छा लेख बनाते है और साथ में संदर्भ भी जोड़ते है ये अच्छी बात है .
","आप अच्छे लेख बनाते है और साथ में संदर्भ भी जोड़ते है ये अच्छी बात है .
",g,R:ADJ-NUM,a,g,NO,a,NO
52,"Orig: [5, 6, ['काला']], Cor: [5, 6, ['काले']], Type: 'R:ADJ-NUM'","Orig: [5, 6, 'काला'], Cor: [5, 6, 'काले'], Type: 'R:ADJ:INFL'",इस पार्क में कभी कभार काला भालू भी देखे जाते हैं .,इस पार्क में कभी कभार काले भालू भी देखे जाते हैं .,g,R:ADJ-NUM,a,g,NO,a,NO
