,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
10,"Orig: [5, 6, ['व']], Cor: [5, 6, ['और']], Type: 'R:CONJ'","Orig: [5, 6, 'व'], Cor: [5, 6, 'और'], Type: 'R:CONJ'","श्री आणि सरस्वती मतलब विद्या व लक्ष्मी हे महादरवाजे को भव्य बुरूज है ।
","श्री आणि सरस्वती मतलब विद्या और लक्ष्मी हे महादरवाजे को भव्य बुरूज है ।
",R:CONJ,R:CONJ,g,a,YES,g,NO
11,"Orig: [10, 11, ['दिया']], Cor: [10, 11, ['या']], Type: 'R:SPELL'","Orig: [10, 11, 'दिया'], Cor: [10, 11, 'या'], Type: 'R:SPELL'","इसके बाद तत्कालीन मोर्चों को ही धीरे धीरे ठोस बना दिया गया , जिसे अब नियंत्रण रेखा कहा जाता है ।
","इसके बाद तत्कालीन मोर्चों को ही धीरे धीरे ठोस बना या गया , जिसे अब नियंत्रण रेखा कहा जाता है ।
",R:CONJ,R:SPELL,g,a,NO,g,NO
12,"Orig: [5, 6, ['व']], Cor: [5, 6, ['या']], Type: 'R:CONJ'","Orig: [5, 6, 'व'], Cor: [5, 6, 'या'], Type: 'R:CONJ'","सिर भारी हो जाता है व चक्कर भी आ सकता है ।
","सिर भारी हो जाता है या चक्कर भी आ सकता है ।
",R:CONJ,R:CONJ,g,a,YES,g,NO
13,"Orig: [10, 11, ['ही']], Cor: [10, 11, ['और']], Type: 'R:OTHER'","Orig: [10, 11, 'ही'], Cor: [10, 11, 'और'], Type: 'R:OTHER'","मेरे पीछे आप लोगों ने विकि को ५४ से ५३ ही ५३ से ५२वें स्थान पर पहुँचाया ।
","मेरे पीछे आप लोगों ने विकि को ५४ से ५३ और ५३ से ५२वें स्थान पर पहुँचाया ।
",R:CONJ,R:OTHER,g,a,NO,g,NO
14,"Orig: [2, 3, ['और']], Cor: [2, 3, ['तथा']], Type: 'R:CONJ'","Orig: [2, 3, 'और'], Cor: [2, 3, 'तथा'], Type: 'R:CONJ'","उसके बाद और एलिजाबेथ युग से पहले कोई बड़ा कवि नहीं हुआ ।
","उसके बाद तथा एलिजाबेथ युग से पहले कोई बड़ा कवि नहीं हुआ ।
",R:CONJ,R:CONJ,g,a,YES,g,NO
15,"Orig: [5, 6, ['और']], Cor: [5, 6, ['एवं']], Type: 'R:CONJ'","Orig: [5, 6, 'और'], Cor: [5, 6, 'एवं'], Type: 'R:CONJ'","उनके परिवार में तीन बेटे और दो बेटियाँ हैं ।
","उनके परिवार में तीन बेटे एवं दो बेटियाँ हैं ।
",R:CONJ,R:CONJ,g,a,YES,g,NO
16,"Orig: [0, 1, ['पर']], Cor: [0, 1, ['परन्तु']], Type: 'R:CONJ'","Orig: [0, 1, 'पर'], Cor: [0, 1, 'परन्तु'], Type: 'R:CONJ'","पर नेपोलियन १८१२ में रूस पर आक्रमण करने दुबारा आया ।
","परन्तु नेपोलियन १८१२ में रूस पर आक्रमण करने दुबारा आया ।
",R:CONJ,R:CONJ,g,a,YES,g,NO
17,"Orig: [9, 10, ['ओर']], Cor: [9, 10, ['और']], Type: 'R:SPELL'","Orig: [9, 10, 'ओर'], Cor: [9, 10, 'और'], Type: 'R:SPELL'","इनमें विश्व की 26 सभ्यताओं के विकास , ह्रास ओर पतन का गवेषणात्मक विवेचन किया गया है ।
","इनमें विश्व की 26 सभ्यताओं के विकास , ह्रास और पतन का गवेषणात्मक विवेचन किया गया है ।
",R:CONJ,R:SPELL,g,a,NO,g,NO
18,"Orig: [11, 12, ['के']], Cor: [11, 12, ['और']], Type: 'R:OTHER'","Orig: [11, 12, 'के'], Cor: [11, 12, 'और'], Type: 'R:OTHER'","आठवी सदी में 84 सिद्धों के साथ बौद्ध धर्म के महायान के वज्रयान की परम्परा का प्रचलन हुआ ।
","आठवी सदी में 84 सिद्धों के साथ बौद्ध धर्म के महायान और वज्रयान की परम्परा का प्रचलन हुआ ।
",R:CONJ,R:OTHER,g,a,NO,g,NO
19,"Orig: [1, 2, ['ओर']], Cor: [1, 2, ['और']], Type: 'R:SPELL'","Orig: [1, 2, 'ओर'], Cor: [1, 2, 'और'], Type: 'R:SPELL'","प्लेटो ओर अरस्तू के लेखों में उसे हम देखते हैं ।
",प्लेटो और अरस्तू के लेखों में उसे हम देखते हैं ।,R:CONJ,R:SPELL,g,a,NO,g,NO
