,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
14,"Orig: [0, 1, ['बेफ़जूल']], Cor: [0, 1, ['फ़जूल']], Type: 'R:SPELL'","Orig: [0, 1, 'बेफ़जूल'], Cor: [0, 1, 'फ़जूल'], Type: 'R:SPELL'","बेफ़जूल बात मत करो।
","फ़जूल बात मत करो।
",R:ADJ,R:SPELL,a,a,NO,a,NO
15,"Orig: [2, 3, ['शुद्धताई']], Cor: [2, 3, ['शुद्धता']], Type: 'R:SPELL'","Orig: [2, 3, 'शुद्धताई'], Cor: [2, 3, 'शुद्धता'], Type: 'R:SPELL'","लिखने में शुद्धताई बरतो।
","लिखने में शुद्धता बरतो।
",R:NOUN,R:SPELL,a,a,NO,a,NO
16,"Orig: [2, 3, ['की']], Cor: [2, 3, ['का']], Type: 'R:ADP-INFL'","Orig: [2, 3, 'की'], Cor: [2, 3, 'का'], Type: 'R:ADP:INFL'","बेकारी समस्या की दवा हमारे पास है।
","बेकारी समस्या का हल हमारे पास है।
",R:ADP,R:ADP-INFL,g,a,NO,g,YES
17,"Orig: [3, 4, ['दवा']], Cor: [3, 4, ['हल']], Type: 'R:NOUN'","Orig: [3, 4, 'दवा'], Cor: [3, 4, 'हल'], Type: 'R:NOUN'","बेकारी समस्या की दवा हमारे पास है।
","बेकारी समस्या का हल हमारे पास है।
",R:NOUN,R:NOUN,g,a,YES,g,NO
18,"Orig: [4, 5, ['अच्छाई']], Cor: [4, 5, ['विशेषता']], Type: 'R:NOUN'","Orig: [4, 5, 'अच्छाई'], Cor: [4, 5, 'विशेषता'], Type: 'R:NOUN'","इस पुस्तक की यही अच्छाई है।
","इस पुस्तक की यही विशेषता है।
",R:NOUN,R:NOUN,g,a,YES,g,NO
19,"Orig: [3, 4, ['घोर']], Cor: [3, 4, ['घनिष्ठ']], Type: 'R:OTHER'","Orig: [3, 4, 'घोर'], Cor: [3, 4, 'घनिष्ठ'], Type: 'R:ADJ'","राम और मोहन घोर मित्र हैं।
","राम और मोहन घनिष्ठ मित्र हैं।
",R:ADJ,R:OTHER,g,a,NO,g,NO
20,"Orig: [2, 4, ['करके', 'रोने']], Cor: [2, 3, ['करने']], Type: 'R:VERB-TENSE'","Orig: [2, 4, 'करके रोने'], Cor: [2, 3, 'करने'], Type: 'R:MULTI'","विधवा विलाप करके रोने लगी।
","विधवा विलाप करने लगी।
",R:VERB-TENSE,R:VERB-TENSE,g,a,YES,b,YES
21,"Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'उसके'], Cor: [0, 1, 'उसकी'], Type: 'R:PRON:INFL'","उसके चक्षुओं में दर्द है।
","उसकी आँखों में दर्द है।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
22,"Orig: [1, 2, ['चक्षुओं']], Cor: [1, 2, ['आँखों']], Type: 'R:NOUN'","Orig: [1, 2, 'चक्षुओं'], Cor: [1, 2, 'आँखों'], Type: 'R:OTHER'","उसके चक्षुओं में दर्द है।
","उसकी आँखों में दर्द है।
",R:NOUN,R:NOUN,g,a,YES,g,NO
23,"Orig: [2, 3, ['चीर']], Cor: [2, 3, ['वस्त्र']], Type: 'R:NOUN'","Orig: [2, 3, 'चीर'], Cor: [2, 3, 'वस्त्र'], Type: 'R:NOUN'",महिला अपने चीर धो रही है।,महिला अपने वस्त्र धो रही है।,R:NOUN,R:NOUN,g,a,YES,g,NO
