,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
12,"Orig: [4, 5, ['रहे']], Cor: [4, 5, ['रही']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'रहे'], Cor: [4, 5, 'रही'], Type: 'R:VERB:INFL'","कल माता जी आ रहे हैं।
","कल माता जी आ रही हैं।
",R:VERB-GEN,R:VERB-GEN,a,a,NO,a,NO
13,"Orig: [3, 4, ['खाया']], Cor: [3, 4, ['खाई']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'खाया।'], Cor: [3, 4, 'खाई।'], Type: 'R:SPELL'","बालक ने रोटी खाया।
","बालक ने रोटी खाई।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
14,"Orig: [1, 2, ['नया']], Cor: [1, 2, ['नई']], Type: 'R:ADJ-GEN'","Orig: [1, 2, 'नया'], Cor: [1, 2, 'नई'], Type: 'R:ADJ:INFL'","मैं नया पोशाक पहनूगा।
","मैं नई पोशाक पहनूँगा।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
15,"Orig: [3, 4, ['पहनूगा']], Cor: [3, 4, ['पहनूँगा']], Type: 'R:SPELL'","Orig: [3, 4, 'पहनूगा'], Cor: [3, 4, 'पहनूँगा'], Type: 'R:SPELL'","मैं नया पोशाक पहनूगा।
","मैं नई पोशाक पहनूँगा।
",R:SPELL,R:SPELL,g,a,YES,g,NO
16,"Orig: [4, 5, ['पढ़ा']], Cor: [4, 5, ['पढ़ी']], Type: 'R:SPELL'","Orig: [4, 5, 'पढ़ा।'], Cor: [4, 5, 'पढ़ी।'], Type: 'R:SPELL'","पिता जी ने पुस्तक पढ़ा।
","पिता जी ने पुस्तक पढ़ी।
",R:VERB-GEN,R:SPELL,g,a,NO,g,NO
17,"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'हमारे'], Cor: [0, 1, 'हमारी'], Type: 'R:PRON:INFL'","हमारे माता जी बाज़ार गए हैं।
","हमारी माता जी बाज़ार गई हैं।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
18,"Orig: [4, 5, ['गए']], Cor: [4, 5, ['गई']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'गए'], Cor: [4, 5, 'गई'], Type: 'R:VERB:INFL'","हमारे माता जी बाज़ार गए हैं।
","हमारी माता जी बाज़ार गई हैं।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
19,"Orig: [3, 4, ['जाएगी']], Cor: [3, 4, ['जाएगा']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'जाएगी'], Cor: [3, 4, 'जाएगा'], Type: 'R:VERB:INFL'","अब मानसून आ जाएगी।
","अब मानसून आ जाएगा।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
20,"Orig: [2, 3, ['सीखना']], Cor: [2, 3, ['सीखनी']], Type: 'R:VERB-GEN'","Orig: [2, 3, 'सीखना'], Cor: [2, 3, 'सीखनी'], Type: 'R:MORPH'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
21,"Orig: [3, 4, ['पड़ता']], Cor: [3, 4, ['पड़ती']], Type: 'R:SPELL'","Orig: [3, 4, 'पड़ता'], Cor: [3, 4, 'पड़ती'], Type: 'R:MORPH'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
",R:VERB-GEN,R:SPELL,a,a,NO,a,NO
22,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:SPELL'","Orig: [4, 5, 'है'], Cor: [4, 5, 'हैं'], Type: 'R:VERB:INFL'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
",R:VERB-GEN,R:SPELL,a,a,NO,a,NO
23,"Orig: [4, 5, ['लगनी']], Cor: [4, 5, ['लगना']], Type: 'R:VERB-FORM'","Orig: [4, 5, 'लगनी'], Cor: [4, 5, 'लगना'], Type: 'R:VERB:INFL'","इस कार्य में देर लगनी स्वाभाविक है।
","इस कार्य में देर लगना स्वाभाविक है।
",R:VERB-GEN,R:VERB-FORM,a,a,NO,a,NO
24,"Orig: [0, 1, ['तुम्हारी']], Cor: [0, 1, ['तुम्हारा']], Type: 'R:PRON'","Orig: [0, 1, 'तुम्हारी'], Cor: [0, 1, 'तुम्हारा'], Type: 'R:MORPH'","तुम्हारी सूट अच्छी है।
","तुम्हारा सूट अच्छा है।
",R:PRON-GEN,R:PRON,a,a,NO,a,NO
25,"Orig: [2, 3, ['अच्छी']], Cor: [2, 3, ['अच्छा']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'अच्छी'], Cor: [2, 3, 'अच्छा'], Type: 'R:ADJ:INFL'","तुम्हारी सूट अच्छी है।
","तुम्हारा सूट अच्छा है।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
26,"Orig: [4, 5, ['आती']], Cor: [4, 5, ['आता']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'आती'], Cor: [4, 5, 'आता'], Type: 'R:VERB:INFL'","बुढ़िया को बहुत क्रोध आती है।
","बुढ़िया को बहुत क्रोध आता है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
27,"Orig: [2, 3, ['विद्\u200cयार्जन']], Cor: [2, 3, ['विद्यार्जन']], Type: 'R:SPELL'","Orig: [2, 3, 'विद्\u200cयार्जन'], Cor: [2, 3, 'विद्यार्जन'], Type: 'R:SPELL'","मेरा लक्ष्य विद्‌यार्जन होगी।
","मेरा लक्ष्य विद्यार्जन होगा।
",,R:SPELL,,,NO,,NO
28,"Orig: [3, 4, ['होगी']], Cor: [3, 4, ['होगा']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'होगी'], Cor: [3, 4, 'होगा'], Type: 'R:VERB:INFL'","मेरा लक्ष्य विद्‌यार्जन होगी।
","मेरा लक्ष्य विद्यार्जन होगा।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
29,"Orig: [3, 4, ['विद्वान']], Cor: [3, 4, ['विदुषी']], Type: 'R:OTHER'","Orig: [3, 4, 'विद्वान'], Cor: [3, 4, 'विदुषी'], Type: 'R:OTHER'","यह महिला बहुत विद्वान है।
","यह महिला बहुत विदुषी है।
",R:ADJ-GEN,R:OTHER,a,a,NO,a,NO
30,"Orig: [4, 5, ['सुनाया']], Cor: [4, 5, ['सुनाई']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'सुनाया।'], Cor: [4, 5, 'सुनाई।'], Type: 'R:SPELL'","दादा जी ने कहानी सुनाया।
","दादा जी ने कहानी सुनाई।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
31,"Orig: [1, 2, ['अपना']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON-GEN'","Orig: [1, 2, 'अपना'], Cor: [1, 2, 'अपनी'], Type: 'R:MORPH'","मैंने अपना कलम राम को दिया है।
","मैंने अपनी कलम राम को दी है।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,g,NO
32,"Orig: [5, 6, ['दिया']], Cor: [5, 6, ['दी']], Type: 'R:VERB-GEN'","Orig: [5, 6, 'दिया'], Cor: [5, 6, 'दी'], Type: 'R:VERB:INFL'","मैंने अपना कलम राम को दिया है।
","मैंने अपनी कलम राम को दी है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
33,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'मेरा'], Cor: [0, 1, 'मेरी'], Type: 'R:PRON:INFL'","मेरा कमीज फट गया है।
","मेरी कमीज फट गई है।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
34,"Orig: [3, 4, ['गया']], Cor: [3, 4, ['गई']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'गया'], Cor: [3, 4, 'गई'], Type: 'R:VERB:INFL'","मेरा कमीज फट गया है।
","मेरी कमीज फट गई है।
",R:VERB-GEN,R:VERB-GEN,b,a,NO,b,NO
35,"Orig: [4, 5, ['पुस्तक']], Cor: [4, 5, ['पुस्तकें']], Type: 'R:NOUN-NUM'","Orig: [4, 5, 'पुस्तक'], Cor: [4, 5, 'पुस्तकें'], Type: 'R:NOUN:INFL'","एक व्यक्ति को दो पुस्तक नहीं मिलेगा।
","एक व्यक्ति को दो पुस्तकें नहीं मिलेंगी।
",R:NOUN-NUM,R:NOUN-NUM,g,a,YES,a,YES
36,"Orig: [6, 7, ['मिलेगा']], Cor: [6, 7, ['मिलेंगी']], Type: 'R:VERB-GEN'","Orig: [6, 7, 'मिलेगा'], Cor: [6, 7, 'मिलेंगी'], Type: 'R:VERB:INFL'","एक व्यक्ति को दो पुस्तक नहीं मिलेगा।
","एक व्यक्ति को दो पुस्तकें नहीं मिलेंगी।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
37,"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रही']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'रहा'], Cor: [3, 4, 'रही'], Type: 'R:VERB:INFL'","राधा खाना बना रहा है।
","राधा खाना बना रही है।
",R:VERB-GEN,R:VERB-GEN,a,a,NO,a,NO
38,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'उसका'], Cor: [0, 1, 'उसकी'], Type: 'R:PRON:INFL'","उसका पतंग कट गया।
","उसकी पतंग कट गई है।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
39,"Orig: [3, 4, ['गया']], Cor: [3, 5, ['गई', 'है']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'गया'], Cor: [3, 5, 'गई है'], Type: 'R:MULTI'","उसका पतंग कट गया।
","उसकी पतंग कट गई है।
",R:VERB-GEN,R:VERB-GEN,a,a,NO,b,YES
40,"Orig: [4, 5, ['कवि']], Cor: [4, 5, ['कवयित्री']], Type: 'R:NOUN'","Orig: [4, 5, 'कवि'], Cor: [4, 5, 'कवयित्री'], Type: 'R:NOUN'","महादेवी वर्मा वेदना की कवि थीं।
","महादेवी वर्मा वेदना की कवयित्री थीं।
",R:NOUN-GEN,R:NOUN,a,a,NO,a,NO
41,"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'हमारे'], Cor: [0, 1, 'हमारी'], Type: 'R:PRON:INFL'","हमारे वस्तुओं का ध्यान रखना।
","हमारी वस्तुओं का ध्यान रखना।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
42,"Orig: [3, 4, ['गया']], Cor: [3, 4, ['गई']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'गया'], Cor: [3, 4, 'गई'], Type: 'R:VERB:INFL'",उमा अपने ससुराल गया है।,उमा अपने ससुराल गई है।,R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
