,Proposed Edit InHerrant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct
10,"Orig: [3, 4, ['शायद']], Cor: [3, 3, []], Type: 'U:ADV'","मेरे विचार से शायद काम हो जाएगा।
","मेरे विचार से काम हो जाएगा।
",g,U:ADV,a,g,NO
11,"Orig: [0, 1, ['निम्न']], Cor: [0, 1, ['निम्नांकित']], Type: 'R:ADJ'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
",g,R:ADJ,a,g,NO
12,"Orig: [5, 6, ['।']], Cor: [5, 6, [':']], Type: 'R:SPELL'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
",g,R:SPELL,a,g,NO
13,"Orig: [10, 11, ['है']], Cor: [11, 11, []], Type: 'U:VERB-TENSE'","वक्ता ने देश की दयनीय दशा पर प्रकाश डाला गया है।
","वक्ता के द्वारा देश की दयनीय दशा पर प्रकाश डाला गया।
",g,U:VERB-TENSE,a,g,NO
14,"Orig: [7, 8, ['सबसे']], Cor: [7, 7, []], Type: 'U:ADV'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",g,U:ADV,a,g,NO
15,"Orig: [9, 9, []], Cor: [8, 9, ['कृति']], Type: 'M:NOUN'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",g,M:NOUN,a,g,NO
16,"Orig: [2, 4, ['हर', 'एक']], Cor: [2, 3, ['प्रत्येक']], Type: 'R:DET'","मतदान में हर एक सदस्यों को दुविधा थी।
","मतदान में प्रत्येक सदस्य को दुविधा थी।
",g,R:DET,a,g,NO
17,"Orig: [4, 5, ['सदस्यों']], Cor: [3, 4, ['सदस्य']], Type: 'R:NOUN-NUM'","मतदान में हर एक सदस्यों को दुविधा थी।
","मतदान में प्रत्येक सदस्य को दुविधा थी।
",g,R:NOUN-NUM,a,g,NO
18,"Orig: [4, 5, ['सोने']], Cor: [4, 5, ['सोना']], Type: 'R:NOUN'","उसके पास पचास ग्राम सोने है।
","उसके पास पचास ग्राम सोना है।
",g,R:NOUN,a,g,NO
19,"Orig: [0, 1, ['संस्कृतियों']], Cor: [0, 1, ['संस्कृति']], Type: 'R:NOUN-NUM'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",g,R:NOUN-NUM,a,g,NO
20,"Orig: [3, 4, ['मर']], Cor: [3, 4, ['पर']], Type: 'R:ADP-INFL'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",,R:ADP-INFL,,,NO
21,"Orig: [4, 5, ['मिटे।']], Cor: [4, 6, ['मिटे', '।']], Type: 'R:ORTH'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",,R:ORTH,,,NO
22,"Orig: [0, 1, ['बुढ़ापे']], Cor: [0, 1, ['बुढ़ापा']], Type: 'R:SPELL'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",g,R:SPELL,a,g,NO
23,"Orig: [1, 2, ['बुरे']], Cor: [1, 2, ['बुरा']], Type: 'R:ADJ-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",g,R:ADJ-NUM,a,g,NO
24,"Orig: [2, 3, ['होते']], Cor: [2, 3, ['होता']], Type: 'R:VERB-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",g,R:VERB-NUM,a,g,NO
25,"Orig: [0, 0, []], Cor: [0, 1, ['ये']], Type: 'M:DET'","कापियाँ किसकी हैं?
","ये कापियाँ किसकी हैं?
",g,M:DET,a,g,NO
26,"Orig: [2, 3, ['भाभी']], Cor: [2, 3, ['‘भाभी’']], Type: 'R:SPELL'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
",b,R:SPELL,a,b,NO
27,"Orig: [5, 5, []], Cor: [5, 6, ['गयी']], Type: 'M:VERB-TENSE'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
",g,M:VERB-TENSE,a,g,NO
28,"Orig: [4, 5, ['मात्र']], Cor: [4, 4, []], Type: 'U:OTHER'","मुझे केवल सौ रुपये मात्र मिले।
","मुझे केवल सौ रुपये मिले।
",b,U:OTHER,a,b,NO
29,"Orig: [2, 2, []], Cor: [2, 3, ['!']], Type: 'M:PUNCT'","हे प्रभु अब यह कष्ट दूर करो।
","हे प्रभु! अब यह कष्ट दूर करो।
",g,M:PUNCT,a,g,NO
30,"Orig: [3, 4, ['हितकर']], Cor: [3, 3, []], Type: 'U:ADJ'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",b,U:ADJ,a,b,NO
31,"Orig: [8, 9, ['कर।']], Cor: [7, 10, ['कर', 'रहे', 'हैं']], Type: 'R:VERB-TENSE'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",b,R:VERB-TENSE,a,b,NO
32,"Orig: [9, 9, []], Cor: [10, 11, ['।']], Type: 'M:PUNCT'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",,M:PUNCT,,,NO
33,"Orig: [1, 4, ['अपनी', 'ताकत', 'के']], Cor: [1, 2, ['अपने']], Type: 'R:PRON-GEN'","राजा अपनी ताकत के बल पर जीत गया।
","राजा अपने बल पर जीत गया।
",g,R:PRON-GEN,a,g,NO
34,"Orig: [1, 2, ['सबसे']], Cor: [1, 1, []], Type: 'U:ADV'","यह सबसे सुन्दरतम साड़ी है।
","यह सुन्दरतम साड़ी है।
",g,U:ADV,a,g,NO
