,Proposed Edit InHerrant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct
10,"Orig: [3, 3, []], Cor: [1, 2, ['सचमुच']], Type: 'M:ADV'","सच में क्या तुम्हें प्रथम स्थान मिला है।
","क्‍या सचमुच तुम्हें प्रथम स्थान मिला है ?
",M:ADV,M:ADV,g,a,YES
11,"Orig: [8, 9, ['।']], Cor: [7, 8, ['?']], Type: 'R:SPELL'","सच में क्या तुम्हें प्रथम स्थान मिला है।
","क्‍या सचमुच तुम्हें प्रथम स्थान मिला है ?
",R:PUNCT,R:SPELL,g,a,NO
12,"Orig: [0, 2, ['जहाज़', 'के']], Cor: [0, 1, ['कप्तान']], Type: 'R:NOUN'","जहाज़ के डूबते ही कप्तान नीचे कूद पड़ा।
","कप्तान डूबते हुए जहाज से नीचे कूद पड़ा।
",R:NOUN,R:NOUN,g,b,YES
13,"Orig: [3, 4, ['ही']], Cor: [2, 3, ['हुए']], Type: 'R:OTHER'","जहाज़ के डूबते ही कप्तान नीचे कूद पड़ा।
","कप्तान डूबते हुए जहाज से नीचे कूद पड़ा।
",R:VERB,R:OTHER,b,b,NO
14,"Orig: [4, 5, ['कप्तान']], Cor: [3, 5, ['जहाज', 'से']], Type: 'R:NOUN'","जहाज़ के डूबते ही कप्तान नीचे कूद पड़ा।
","कप्तान डूबते हुए जहाज से नीचे कूद पड़ा।
",R:NOUN,R:NOUN,g,b,YES
15,"Orig: [1, 2, ['में']], Cor: [1, 1, []], Type: 'U:ADP'","दरअसल में वह उससे प्रेम करता है।
","दरअसल वह उससे प्रेम करता है।
",U:ADP,U:ADP,g,a,YES
16,"Orig: [2, 3, ['जो']], Cor: [2, 2, []], Type: 'U:DET'","पंचों ने जो निर्णय लिया वह सभी को मान्य था।
","पंचों का निर्णय सभी को मान्य था।
",U:DET,U:DET,g,a,YES
17,"Orig: [4, 6, ['लिया', 'वह']], Cor: [3, 3, []], Type: 'U:OTHER'","पंचों ने जो निर्णय लिया वह सभी को मान्य था।
","पंचों का निर्णय सभी को मान्य था।
",U:OTHER,U:OTHER,g,b,YES
18,"Orig: [3, 3, []], Cor: [3, 4, ['जब']], Type: 'M:PRON'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",M:PRON,M:PRON,g,a,YES
19,"Orig: [4, 5, ['तो']], Cor: [5, 5, []], Type: 'U:OTHER'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",U:OTHER,U:OTHER,g,a,YES
20,"Orig: [7, 8, ['ही']], Cor: [7, 7, []], Type: 'U:OTHER'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",U:OTHER,U:OTHER,g,a,YES
21,"Orig: [9, 10, ['करता']], Cor: [8, 8, []], Type: 'U:VERB'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",U:VERB,U:VERB,g,a,YES
22,"Orig: [0, 2, ['एक', 'गिलास']], Cor: [0, 0, []], Type: 'U:OTHER'","एक गिलास पानी से भरा लाओ।
","पानी से भरा एक गिलास लाओ।
",R:WO,U:OTHER,b,b,NO
23,"Orig: [5, 5, []], Cor: [3, 5, ['एक', 'गिलास']], Type: 'M:OTHER'","एक गिलास पानी से भरा लाओ।
","पानी से भरा एक गिलास लाओ।
",R:WO,M:OTHER,b,b,NO
24,"Orig: [0, 1, ['जंगली']], Cor: [0, 0, []], Type: 'U:ADJ'","जंगली किसान के खेत में जानवर आ गए।
","किसान के खेत में जंगली जानवर आ गए।
",R:WO,U:ADJ,b,b,NO
25,"Orig: [5, 5, []], Cor: [4, 5, ['जंगली']], Type: 'M:ADJ'","जंगली किसान के खेत में जानवर आ गए।
","किसान के खेत में जंगली जानवर आ गए।
",R:WO,M:ADJ,b,b,NO
26,"Orig: [0, 1, ['सफलता']], Cor: [0, 0, []], Type: 'U:NOUN'","सफलता तुम्हें परिश्रम से मिलेगी।
","तुम्हें परिश्रम से सफलता मिलेगी।
",U:NOUN,U:NOUN,g,b,YES
27,"Orig: [4, 4, []], Cor: [3, 4, ['सफलता']], Type: 'M:NOUN'","सफलता तुम्हें परिश्रम से मिलेगी।
","तुम्हें परिश्रम से सफलता मिलेगी।
",M:NOUN,M:NOUN,g,b,YES
28,"Orig: [0, 0, []], Cor: [0, 1, [""'""]], Type: 'M:PUNCT'","बच्चे को काटकर फल खिलाओ।
","'फल काटकर बच्चे को खिलाओ।
",,M:PUNCT,,,NO
29,"Orig: [0, 0, []], Cor: [0, 1, ['देश']], Type: 'M:NOUN'",सरदार पटेल का देश सदा आभारी रहेगा।,देश सरदार पटेल का सदा आभारी रहेगा।,M:NOUN,M:NOUN,g,b,YES
30,"Orig: [3, 4, ['देश']], Cor: [4, 4, []], Type: 'U:NOUN'",सरदार पटेल का देश सदा आभारी रहेगा।,देश सरदार पटेल का सदा आभारी रहेगा।,U:NOUN,U:NOUN,g,b,YES
