,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
10,"Orig: [6, 6, []], Cor: [8, 9, ['गयी']], Type: 'M:VERB-TENSE'","Orig: [6, 6, []], Cor: [8, 9, ['गयी']], Type: 'M:VERB-TENSE'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",M:VERB-TENSE,a,g,g,NO,a,NO
11,"Orig: [12, 12, []], Cor: [12, 13, ['गया']], Type: 'M:VERB-TENSE'","Orig: [12, 12, []], Cor: [12, 13, ['गया']], Type: 'M:VERB-TENSE'","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया है।
","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया गया है।
",M:VERB-TENSE,a,g,g,NO,a,NO
12,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
",R:ADP,a,g,g,NO,a,NO
13,"Orig: [6, 6, []], Cor: [6, 7, ['गया']], Type: 'M:VERB-TENSE'","Orig: [6, 6, []], Cor: [6, 7, ['गया']], Type: 'M:VERB-TENSE'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
",M:VERB-TENSE,a,g,g,NO,a,NO
14,"Orig: [4, 5, ['लिखाया']], Cor: [4, 5, ['लिखवाया']], Type: 'R:VERB'","Orig: [4, 5, ['लिखाया']], Cor: [4, 5, ['लिखवाया']], Type: 'R:VERB'","अध्यापक ने हमसे लेख लिखाया।
","अध्यापक ने हमसे लेख लिखवाया।
",R:VERB,a,g,a,NO,a,NO
15,"Orig: [8, 9, ['है']], Cor: [8, 9, ['गया']], Type: 'R:VERB-TENSE'","Orig: [8, 9, ['है']], Cor: [8, 9, ['गया']], Type: 'R:VERB-TENSE'","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया है।
","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया गया।
",R:VERB-TENSE,a,g,g,NO,a,NO
16,"Orig: [4, 5, ['वाकयों']], Cor: [4, 5, ['वाक्यों']], Type: 'R:SPELL'","Orig: [4, 5, ['वाकयों']], Cor: [4, 5, ['वाक्यों']], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",R:SPELL,a,b,b,NO,a,NO
17,"Orig: [9, 10, ['विभकक्\u200dत']], Cor: [9, 10, ['विभक्त']], Type: 'R:SPELL'","Orig: [9, 10, ['विभकक्\u200dत']], Cor: [9, 10, ['विभक्त']], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",R:SPELL,a,g,g,NO,a,NO
18,"Orig: [11, 11, []], Cor: [11, 12, ['गया']], Type: 'M:VERB-TENSE'","Orig: [11, 11, []], Cor: [11, 12, ['गया']], Type: 'M:VERB-TENSE'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",M:VERB-TENSE,a,g,g,NO,a,NO
19,"Orig: [7, 8, ['अवश्य']], Cor: [7, 7, []], Type: 'U:ADV'","Orig: [7, 8, ['अवश्य']], Cor: [7, 7, []], Type: 'U:ADV'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
",U:ADV,a,g,g,NO,a,NO
20,"Orig: [10, 11, ['सकेगा']], Cor: [9, 10, ['पाएगा']], Type: 'R:VERB'","Orig: [10, 11, ['सकेगा']], Cor: [9, 10, ['पाएगा']], Type: 'R:VERB'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
",R:VERB,a,b,b,NO,a,NO
21,"Orig: [2, 3, ['सकुशलतापूर्वक']], Cor: [2, 3, ['सकुशल']], Type: 'R:SPELL'","Orig: [2, 3, ['सकुशलतापूर्वक']], Cor: [2, 3, ['सकुशल']], Type: 'R:SPELL'","सब यहाँ सकुशलतापूर्वक हैं।
","सब यहाँ सकुशल हैं।
",R:SPELL,a,g,g,NO,a,NO
22,"Orig: [1, 2, ['केवल']], Cor: [1, 1, []], Type: 'U:OTHER'","Orig: [1, 2, ['केवल']], Cor: [1, 1, []], Type: 'U:OTHER'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
",U:OTHER,a,b,b,NO,a,NO
23,"Orig: [2, 3, ['नाम्मात्र']], Cor: [1, 2, ['नाममात्र']], Type: 'R:SPELL'","Orig: [2, 3, ['नाम्मात्र']], Cor: [1, 2, ['नाममात्र']], Type: 'R:SPELL'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
",R:SPELL,a,g,g,NO,a,NO
24,"Orig: [3, 4, ['शायद']], Cor: [3, 3, []], Type: 'U:ADV'","Orig: [3, 4, ['शायद']], Cor: [3, 3, []], Type: 'U:ADV'","मेरे विचार से शायद काम हो जाएगा।
","मेरे विचार से काम हो जाएगा।
",U:ADV,a,g,g,NO,a,NO
25,"Orig: [0, 1, ['निम्न']], Cor: [0, 1, ['निम्नांकित']], Type: 'R:ADJ'","Orig: [0, 1, ['निम्न']], Cor: [0, 1, ['निम्नांकित']], Type: 'R:ADJ'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
",R:ADJ,a,g,g,NO,a,NO
26,"Orig: [5, 6, ['।']], Cor: [5, 6, [':']], Type: 'R:SPELL'","Orig: [5, 6, ['।']], Cor: [5, 6, [':']], Type: 'R:SPELL'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
",R:SPELL,a,g,g,NO,a,NO
27,"Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:DET'","Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:DET'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
",R:DET,a,g,g,NO,a,NO
28,"Orig: [1, 2, ['सतन्तरे']], Cor: [1, 2, ['सन्तरे']], Type: 'R:SPELL'","Orig: [1, 2, ['सतन्तरे']], Cor: [1, 2, ['सन्तरे']], Type: 'R:SPELL'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
",R:SPELL,a,g,g,NO,a,NO
29,"Orig: [0, 1, ['अनेको']], Cor: [0, 1, ['अनेक']], Type: 'R:SPELL'","Orig: [0, 1, ['अनेको']], Cor: [0, 1, ['अनेक']], Type: 'R:SPELL'","अनेको लोगों ने उसकी प्रशंसा की।
","अनेक लोगों ने उसकी प्रशंसा की।
",R:SPELL,a,g,g,NO,a,NO
30,"Orig: [0, 1, ['प्रथवी']], Cor: [0, 1, ['पृथ्वी']], Type: 'R:SPELL'","Orig: [0, 1, ['प्रथवी']], Cor: [0, 1, ['पृथ्वी']], Type: 'R:SPELL'","प्रथवी गोल है।
","पृथ्वी गोल है।
",R:SPELL,a,g,g,NO,a,NO
31,"Orig: [1, 2, ['ने']], Cor: [1, 3, ['के', 'द्वारा']], Type: 'R:ADP'","Orig: [1, 2, ['ने']], Cor: [1, 3, ['के', 'द्वारा']], Type: 'R:ADP'","वक्ता ने देश की दयनीय दशा पर प्रकाश डाला गया है।
","वक्ता के द्वारा देश की दयनीय दशा पर प्रकाश डाला गया।
",R:ADP,a,g,g,NO,a,NO
32,"Orig: [10, 11, ['है']], Cor: [11, 11, []], Type: 'U:VERB-TENSE'","Orig: [10, 11, ['है']], Cor: [11, 11, []], Type: 'U:VERB-TENSE'","वक्ता ने देश की दयनीय दशा पर प्रकाश डाला गया है।
","वक्ता के द्वारा देश की दयनीय दशा पर प्रकाश डाला गया।
",U:VERB-TENSE,a,g,g,NO,a,NO
33,"Orig: [7, 8, ['सबसे']], Cor: [7, 7, []], Type: 'U:ADV'","Orig: [7, 8, ['सबसे']], Cor: [7, 7, []], Type: 'U:ADV'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",U:ADV,a,g,g,NO,a,NO
34,"Orig: [8, 9, ['सुन्दर']], Cor: [7, 8, ['सुन्दरतम']], Type: 'R:ADJ'","Orig: [8, 9, ['सुन्दर']], Cor: [7, 8, ['सुन्दरतम']], Type: 'R:ADJ'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",R:ADJ,a,g,g,NO,a,NO
35,"Orig: [9, 9, []], Cor: [8, 9, ['कृति']], Type: 'M:NOUN'","Orig: [9, 9, []], Cor: [8, 9, ['कृति']], Type: 'M:NOUN'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",M:NOUN,a,g,g,NO,a,NO
36,"Orig: [2, 4, ['हर', 'एक']], Cor: [2, 3, ['प्रत्येक']], Type: 'R:DET'","Orig: [2, 4, ['हर', 'एक']], Cor: [2, 3, ['प्रत्येक']], Type: 'R:DET'","मतदान में हर एक सदस्यों को दुविधा थी।
","मतदान में प्रत्येक सदस्य को दुविधा थी।
",R:DET,a,g,g,NO,a,NO
37,"Orig: [4, 5, ['सदस्यों']], Cor: [3, 4, ['सदस्य']], Type: 'R:NOUN-NUM'","Orig: [4, 5, ['सदस्यों']], Cor: [3, 4, ['सदस्य']], Type: 'R:NOUN-NUM'","मतदान में हर एक सदस्यों को दुविधा थी।
","मतदान में प्रत्येक सदस्य को दुविधा थी।
",R:NOUN-NUM,a,g,g,NO,a,NO
38,"Orig: [4, 5, ['सोने']], Cor: [4, 5, ['सोना']], Type: 'R:NOUN'","Orig: [4, 5, ['सोने']], Cor: [4, 5, ['सोना']], Type: 'R:NOUN'","उसके पास पचास ग्राम सोने है।
","उसके पास पचास ग्राम सोना है।
",R:NOUN,a,g,g,NO,a,NO
39,"Orig: [0, 1, ['अपना']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","Orig: [0, 1, ['अपना']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","अपना हस्ताक्षर कर दो।
","अपने हस्ताक्षर कर दो।
",R:PRON,a,g,g,NO,a,NO
40,"Orig: [6, 7, ['सीढ़ी']], Cor: [6, 7, ['सीढ़ियाँ']], Type: 'R:SPELL'","Orig: [6, 7, ['सीढ़ी']], Cor: [6, 7, ['सीढ़ियाँ']], Type: 'R:SPELL'","मन्दिर में जाने के लिए पचास सीढ़ी हैं।
","मन्दिर में जाने के लिए पचास सीढ़ियाँ हैं।
",R:SPELL,a,b,a,NO,a,NO
41,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",R:PRON,a,b,a,NO,a,NO
42,"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रहे']], Type: 'R:VERB-NUM'","Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रहे']], Type: 'R:VERB-NUM'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",R:VERB-NUM,,,,NO,,NO
43,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",R:VERB-NUM,,,,NO,,NO
44,"Orig: [0, 1, ['संस्कृतियों']], Cor: [0, 1, ['संस्कृति']], Type: 'R:NOUN-NUM'","Orig: [0, 1, ['संस्कृतियों']], Cor: [0, 1, ['संस्कृति']], Type: 'R:NOUN-NUM'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",R:NOUN-NUM,a,g,g,NO,a,NO
45,"Orig: [3, 4, ['मर']], Cor: [3, 4, ['पर']], Type: 'R:MORPH'","Orig: [3, 4, ['मर']], Cor: [3, 4, ['पर']], Type: 'R:MORPH'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",R:MORPH,g,,,YES,,NO
46,"Orig: [4, 5, ['मिटे।']], Cor: [4, 6, ['मिटे', '।']], Type: 'R:ORTH'","Orig: [4, 5, ['मिटे।']], Cor: [4, 6, ['मिटे', '।']], Type: 'R:ORTH'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",R:ORTH,,,,NO,,NO
47,"Orig: [0, 1, ['बुढ़ापे']], Cor: [0, 1, ['बुढ़ापा']], Type: 'R:SPELL'","Orig: [0, 1, ['बुढ़ापे']], Cor: [0, 1, ['बुढ़ापा']], Type: 'R:SPELL'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",R:SPELL,a,g,g,NO,a,NO
48,"Orig: [1, 2, ['बुरे']], Cor: [1, 2, ['बुरा']], Type: 'R:ADJ-NUM'","Orig: [1, 2, ['बुरे']], Cor: [1, 2, ['बुरा']], Type: 'R:ADJ-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",R:ADJ-NUM,a,g,g,NO,a,NO
49,"Orig: [2, 3, ['होते']], Cor: [2, 3, ['होता']], Type: 'R:VERB-NUM'","Orig: [2, 3, ['होते']], Cor: [2, 3, ['होता']], Type: 'R:VERB-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",R:VERB-NUM,a,g,g,NO,a,NO
50,"Orig: [0, 1, ['बेरोजगारियाँ']], Cor: [0, 1, ['बेरोजगारी']], Type: 'R:SPELL'","Orig: [0, 1, ['बेरोजगारियाँ']], Cor: [0, 1, ['बेरोजगारी']], Type: 'R:SPELL'","बेरोजगारियाँ दूर होनी चाहिए।
","बेरोजगारी दूर होनी चाहिए।
",R:SPELL,a,b,b,NO,a,NO
51,"Orig: [0, 1, ['अपने']], Cor: [0, 1, ['अपनी']], Type: 'R:PRON-GEN'","Orig: [0, 1, ['अपने']], Cor: [0, 1, ['अपनी']], Type: 'R:PRON-GEN'","अपने सोचों पर काबू पा लो।
","अपनी सोच पर काबू पा लो।
",R:PRON-GEN,a,g,g,NO,a,NO
52,"Orig: [1, 2, ['सोचों']], Cor: [1, 2, ['सोच']], Type: 'R:NOUN-NUM'","Orig: [1, 2, ['सोचों']], Cor: [1, 2, ['सोच']], Type: 'R:NOUN-NUM'","अपने सोचों पर काबू पा लो।
","अपनी सोच पर काबू पा लो।
",R:NOUN-NUM,a,b,g,NO,a,NO
53,"Orig: [3, 4, ['गाड़ी']], Cor: [3, 4, ['गाड़ियाँ']], Type: 'R:SPELL'","Orig: [3, 4, ['गाड़ी']], Cor: [3, 4, ['गाड़ियाँ']], Type: 'R:SPELL'","यहाँ से अनेक गाड़ी गुजरती हैं।
","यहाँ से अनेक गाड़ियाँ गुजरती हैं।
",R:SPELL,a,g,g,NO,a,NO
54,"Orig: [3, 4, ['चिड़िया']], Cor: [3, 4, ['चिड़ियाँ']], Type: 'R:SPELL'","Orig: [3, 4, ['चिड़िया']], Cor: [3, 4, ['चिड़ियाँ']], Type: 'R:SPELL'","आकाश में अनेक चिड़िया उड़ रही हैं।
","आकाश में अनेक चिड़ियाँ उड़ रही हैं।
",R:SPELL,a,g,a,NO,a,NO
55,"Orig: [0, 1, ['इस']], Cor: [0, 1, ['इन']], Type: 'R:DET'","Orig: [0, 1, ['इस']], Cor: [0, 1, ['इन']], Type: 'R:DET'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",R:DET,a,g,g,NO,a,NO
56,"Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP-INFL'","Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",R:ADP-INFL,a,g,g,NO,a,NO
57,"Orig: [5, 6, ['शब्द']], Cor: [5, 6, ['शब्दों']], Type: 'R:NOUN-NUM'","Orig: [5, 6, ['शब्द']], Cor: [5, 6, ['शब्दों']], Type: 'R:NOUN-NUM'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",R:NOUN-NUM,a,g,g,NO,a,NO
58,"Orig: [1, 2, ['यह']], Cor: [1, 2, ['ये']], Type: 'R:DET'","Orig: [1, 2, ['यह']], Cor: [1, 2, ['ये']], Type: 'R:DET'","क्या यह सारी पुस्तक मुझे पढ़नी हैं?
","क्या ये सारी पुस्तकें मुझे पढ़नी हैं?
",R:DET,a,g,g,NO,a,NO
59,"Orig: [3, 4, ['पुस्तक']], Cor: [3, 4, ['पुस्तकें']], Type: 'R:NOUN-NUM'","Orig: [3, 4, ['पुस्तक']], Cor: [3, 4, ['पुस्तकें']], Type: 'R:NOUN-NUM'","क्या यह सारी पुस्तक मुझे पढ़नी हैं?
","क्या ये सारी पुस्तकें मुझे पढ़नी हैं?
",R:NOUN-NUM,a,g,g,NO,a,NO
60,"Orig: [0, 1, ['हमारा']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","Orig: [0, 1, ['हमारा']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","हमारा वस्तुओं का ध्यान रखा जाए।
","हमारी वस्तुओं का ध्यान रखा जाए।
",R:PRON-GEN,a,g,g,NO,a,NO
61,"Orig: [0, 1, ['सारा']], Cor: [0, 1, ['सारी']], Type: 'R:DET'","Orig: [0, 1, ['सारा']], Cor: [0, 1, ['सारी']], Type: 'R:DET'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
",R:DET,a,g,g,NO,a,NO
62,"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गयी']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['गया']], Cor: [4, 5, ['गयी']], Type: 'R:VERB-GEN'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
",R:VERB-GEN,a,g,g,NO,a,NO
63,"Orig: [1, 2, ['खारी']], Cor: [1, 2, ['खारा']], Type: 'R:ADJ'","Orig: [1, 2, ['खारी']], Cor: [1, 2, ['खारा']], Type: 'R:ADJ'","तुम खारी पानी लाते हो।
","तुम खारा पानी लाते हो।
",R:ADJ,a,b,a,NO,a,NO
64,"Orig: [2, 3, ['खट्टी']], Cor: [2, 3, ['खट्टा']], Type: 'R:ADJ'","Orig: [2, 3, ['खट्टी']], Cor: [2, 3, ['खट्टा']], Type: 'R:ADJ'","दही बहुत खट्टी है।
","दही बहुत खट्टा है।
",R:ADJ,a,b,a,NO,a,NO
65,"Orig: [3, 4, ['रहस्यमयी']], Cor: [3, 4, ['रहस्यमय']], Type: 'R:ADJ'","Orig: [3, 4, ['रहस्यमयी']], Cor: [3, 4, ['रहस्यमय']], Type: 'R:ADJ'","उसका अंत बड़ा रहस्यमयी हुआ।
","उसका अंत बड़ा रहस्यमय हुआ।
",R:ADJ,a,b,a,NO,a,NO
66,"Orig: [0, 0, []], Cor: [0, 1, ['ये']], Type: 'M:DET'","Orig: [0, 0, []], Cor: [0, 1, ['ये']], Type: 'M:DET'","कापियाँ किसकी हैं?
","ये कापियाँ किसकी हैं?
",M:DET,a,g,g,NO,a,NO
67,"Orig: [2, 3, ['भाभी']], Cor: [2, 3, ['‘भाभी’']], Type: 'R:OTHER'","Orig: [2, 3, ['भाभी']], Cor: [2, 3, ['‘भाभी’']], Type: 'R:OTHER'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
",R:OTHER,a,b,b,NO,a,NO
68,"Orig: [5, 5, []], Cor: [5, 6, ['गयी']], Type: 'M:VERB-TENSE'","Orig: [5, 5, []], Cor: [5, 6, ['गयी']], Type: 'M:VERB-TENSE'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
",M:VERB-TENSE,a,g,g,NO,a,NO
69,"Orig: [4, 5, ['मात्र']], Cor: [4, 4, []], Type: 'U:OTHER'","Orig: [4, 5, ['मात्र']], Cor: [4, 4, []], Type: 'U:OTHER'","मुझे केवल सौ रुपये मात्र मिले।
","मुझे केवल सौ रुपये मिले।
",U:OTHER,a,b,b,NO,a,NO
70,"Orig: [0, 1, ['हमारी']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON-GEN'","Orig: [0, 1, ['हमारी']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON-GEN'","हमारी समाज प्रगतिशील बने।
","हमारा समाज प्रगतिशील बने।
",R:PRON-GEN,a,g,g,NO,a,NO
71,"Orig: [4, 5, ['रहस्यमयी']], Cor: [4, 5, ['रहस्यमय']], Type: 'R:ADJ'","Orig: [4, 5, ['रहस्यमयी']], Cor: [4, 5, ['रहस्यमय']], Type: 'R:ADJ'","लोग आज भी उन रहस्यमयी खजानों को खोज रहे हैं।
","लोग आज भी उन रहस्यमय खजानों को खोज रहे हैं।
",R:ADJ,a,b,a,NO,a,NO
72,"Orig: [2, 2, []], Cor: [2, 3, ['!']], Type: 'M:PUNCT'","Orig: [2, 2, []], Cor: [2, 3, ['!']], Type: 'M:PUNCT'","हे प्रभु अब यह कष्ट दूर करो।
","हे प्रभु! अब यह कष्ट दूर करो।
",M:PUNCT,a,g,g,NO,a,NO
73,"Orig: [2, 3, ['नया']], Cor: [2, 3, ['नई']], Type: 'R:ADJ-GEN'","Orig: [2, 3, ['नया']], Cor: [2, 3, ['नई']], Type: 'R:ADJ-GEN'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
",R:ADJ-GEN,a,g,g,NO,a,NO
74,"Orig: [4, 5, ['पहना']], Cor: [4, 5, ['पहनी']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['पहना']], Cor: [4, 5, ['पहनी']], Type: 'R:VERB-GEN'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
",R:VERB-GEN,a,g,g,NO,a,NO
75,"Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:DET'","Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:DET'","भारत में अनेकों राज्य हैं।
","भारत में अनेक राज्य हैं।
",R:DET,a,g,g,NO,a,NO
76,"Orig: [3, 4, ['हितकर']], Cor: [3, 3, []], Type: 'U:ADJ'","Orig: [3, 4, ['हितकर']], Cor: [3, 3, []], Type: 'U:ADJ'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",U:ADJ,a,b,b,NO,a,NO
