,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
11,"Orig: [0, 2, ['सच', 'में']], Cor: [0, 0, []], Type: 'U:OTHER'","Orig: [0, 2, ['सच', 'में']], Cor: [0, 0, []], Type: 'U:OTHER'","सच में क्या तुम्हें प्रथम स्थान मिला है।
","क्‍या सचमुच तुम्हें प्रथम स्थान मिला है ?
",U:OTHER,a,a,U:OTHER,NO,a,NO
12,"Orig: [2, 3, ['क्या']], Cor: [0, 1, ['क्\u200dया']], Type: 'R:PRON'","Orig: [2, 3, ['क्या']], Cor: [0, 1, ['क्\u200dया']], Type: 'R:PRON'","सच में क्या तुम्हें प्रथम स्थान मिला है।
","क्‍या सचमुच तुम्हें प्रथम स्थान मिला है ?
",R:PRON,g,a,R:PRON,YES,g,NO
13,"Orig: [3, 3, []], Cor: [1, 2, ['सचमुच']], Type: 'M:ADV'","Orig: [3, 3, []], Cor: [1, 2, ['सचमुच']], Type: 'M:RB'","सच में क्या तुम्हें प्रथम स्थान मिला है।
","क्‍या सचमुच तुम्हें प्रथम स्थान मिला है ?
",M:ADV,g,a,M:ADV,YES,g,NO
14,"Orig: [8, 9, ['।']], Cor: [7, 8, ['?']], Type: 'R:SPELL'","Orig: [8, 9, ['।']], Cor: [7, 8, ['?']], Type: 'R:SPELL'","सच में क्या तुम्हें प्रथम स्थान मिला है।
","क्‍या सचमुच तुम्हें प्रथम स्थान मिला है ?
",R:SPELL,g,a,R:PUNCT,NO,g,NO
15,"Orig: [0, 2, ['जहाज़', 'के']], Cor: [0, 1, ['कप्तान']], Type: 'R:NOUN'","Orig: [0, 2, ['जहाज़', 'के']], Cor: [0, 1, ['कप्तान']], Type: 'R:MULTI'","जहाज़ के डूबते ही कप्तान नीचे कूद पड़ा।
","कप्तान डूबते हुए जहाज से नीचे कूद पड़ा।
",R:NOUN,g,b,R:NOUN,YES,b,YES
16,"Orig: [3, 4, ['ही']], Cor: [2, 3, ['हुए']], Type: 'R:OTHER'","Orig: [3, 4, ['ही']], Cor: [2, 3, ['हुए']], Type: 'R:OTHER'","जहाज़ के डूबते ही कप्तान नीचे कूद पड़ा।
","कप्तान डूबते हुए जहाज से नीचे कूद पड़ा।
",R:OTHER,b,b,R:VERB,NO,b,NO
17,"Orig: [4, 5, ['कप्तान']], Cor: [3, 5, ['जहाज', 'से']], Type: 'R:NOUN'","Orig: [4, 5, ['कप्तान']], Cor: [3, 5, ['जहाज', 'से']], Type: 'R:MULTI'","जहाज़ के डूबते ही कप्तान नीचे कूद पड़ा।
","कप्तान डूबते हुए जहाज से नीचे कूद पड़ा।
",R:NOUN,g,b,R:NOUN,YES,b,YES
18,"Orig: [1, 2, ['में']], Cor: [1, 1, []], Type: 'U:ADP'","Orig: [1, 2, ['में']], Cor: [1, 1, []], Type: 'U:PSP'","दरअसल में वह उससे प्रेम करता है।
","दरअसल वह उससे प्रेम करता है।
",U:ADP,g,a,U:ADP,YES,g,NO
19,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['का']], Type: 'R:ADP'","Orig: [1, 2, ['ने']], Cor: [1, 2, ['का']], Type: 'R:ADP'","पंचों ने जो निर्णय लिया वह सभी को मान्य था।
","पंचों का निर्णय सभी को मान्य था।
",R:ADP,g,a,R:ADP,YES,g,NO
20,"Orig: [2, 3, ['जो']], Cor: [2, 2, []], Type: 'U:DET'","Orig: [2, 3, ['जो']], Cor: [2, 2, []], Type: 'U:DEM'","पंचों ने जो निर्णय लिया वह सभी को मान्य था।
","पंचों का निर्णय सभी को मान्य था।
",U:DET,g,a,U:DET,YES,g,NO
21,"Orig: [4, 6, ['लिया', 'वह']], Cor: [3, 3, []], Type: 'U:OTHER'","Orig: [4, 6, ['लिया', 'वह']], Cor: [3, 3, []], Type: 'U:OTHER'","पंचों ने जो निर्णय लिया वह सभी को मान्य था।
","पंचों का निर्णय सभी को मान्य था।
",U:OTHER,g,b,U:OTHER,YES,g,NO
22,"Orig: [0, 2, ['जाऊँ', 'कहाँ']], Cor: [0, 2, ['कहाँ', 'जाऊँ']], Type: 'R:WO'","Orig: [0, 2, ['जाऊँ', 'कहाँ']], Cor: [0, 2, ['कहाँ', 'जाऊँ']], Type: 'R:WO'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",R:WO,g,a,R:WO,YES,g,NO
23,"Orig: [3, 3, []], Cor: [3, 4, ['जब']], Type: 'M:PRON'","Orig: [3, 3, []], Cor: [3, 4, ['जब']], Type: 'M:PRP'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",M:PRON,g,a,M:PRON,YES,g,NO
24,"Orig: [4, 5, ['तो']], Cor: [5, 5, []], Type: 'U:OTHER'","Orig: [4, 5, ['तो']], Cor: [5, 5, []], Type: 'U:RP'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",U:OTHER,g,a,U:OTHER,YES,g,NO
25,"Orig: [7, 8, ['ही']], Cor: [7, 7, []], Type: 'U:OTHER'","Orig: [7, 8, ['ही']], Cor: [7, 7, []], Type: 'U:RP'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",U:OTHER,g,a,U:OTHER,YES,g,NO
26,"Orig: [9, 10, ['करता']], Cor: [8, 8, []], Type: 'U:VERB'","Orig: [9, 10, ['करता']], Cor: [8, 8, []], Type: 'U:VM'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",U:VERB,g,a,U:VERB,YES,g,NO
27,"Orig: [1, 3, ['पुस्तक', 'सुंदर']], Cor: [1, 3, ['सुंदर', 'पुस्तक']], Type: 'R:WO'","Orig: [1, 3, ['पुस्तक', 'सुंदर']], Cor: [1, 3, ['सुंदर', 'पुस्तक']], Type: 'R:WO'","ऐसी पुस्तक सुंदर नहीं देखी।
","ऐसी सुंदर पुस्तक नहीं देखी।
",R:WO,g,a,R:WO,YES,g,NO
28,"Orig: [0, 3, ['बिना', 'पुस्तकों', 'के']], Cor: [0, 3, ['पुस्तकों', 'के', 'बिना']], Type: 'R:WO'","Orig: [0, 3, ['बिना', 'पुस्तकों', 'के']], Cor: [0, 3, ['पुस्तकों', 'के', 'बिना']], Type: 'R:WO'","बिना पुस्तकों के कैसे पढ़ोगे?
","पुस्तकों के बिना कैसे पढ़ोगे?
",R:WO,g,a,R:WO,YES,g,NO
29,"Orig: [0, 3, ['गहरी', 'आगे', 'एक']], Cor: [0, 3, ['आगे', 'एक', 'गहरी']], Type: 'R:WO'","Orig: [0, 3, ['गहरी', 'आगे', 'एक']], Cor: [0, 3, ['आगे', 'एक', 'गहरी']], Type: 'R:WO'","गहरी आगे एक झील मिलेगी।
","आगे एक गहरी झील मिलेगी।
",R:WO,g,a,R:WO,YES,g,NO
30,"Orig: [0, 2, ['एक', 'गिलास']], Cor: [0, 0, []], Type: 'U:OTHER'","Orig: [0, 2, ['एक', 'गिलास']], Cor: [0, 0, []], Type: 'U:OTHER'","एक गिलास पानी से भरा लाओ।
","पानी से भरा एक गिलास लाओ।
",U:OTHER,b,b,R:WO,NO,b,NO
31,"Orig: [5, 5, []], Cor: [3, 5, ['एक', 'गिलास']], Type: 'M:OTHER'","Orig: [5, 5, []], Cor: [3, 5, ['एक', 'गिलास']], Type: 'M:OTHER'","एक गिलास पानी से भरा लाओ।
","पानी से भरा एक गिलास लाओ।
",M:OTHER,b,b,R:WO,NO,b,NO
32,"Orig: [1, 4, ['पक्का', 'ईश्वर', 'का']], Cor: [1, 4, ['ईश्वर', 'का', 'पक्का']], Type: 'R:WO'","Orig: [1, 4, ['पक्का', 'ईश्वर', 'का']], Cor: [1, 4, ['ईश्वर', 'का', 'पक्का']], Type: 'R:WO'","वह पक्का ईश्वर का पुजारी है।
","वह ईश्वर का पक्का पुजारी है।
",R:WO,g,a,R:WO,YES,g,NO
33,"Orig: [0, 1, ['जंगली']], Cor: [0, 0, []], Type: 'U:ADJ'","Orig: [0, 1, ['जंगली']], Cor: [0, 0, []], Type: 'U:JJ'","जंगली किसान के खेत में जानवर आ गए।
","किसान के खेत में जंगली जानवर आ गए।
",U:ADJ,b,b,R:WO,NO,b,NO
34,"Orig: [5, 5, []], Cor: [4, 5, ['जंगली']], Type: 'M:ADJ'","Orig: [5, 5, []], Cor: [4, 5, ['जंगली']], Type: 'M:JJ'","जंगली किसान के खेत में जानवर आ गए।
","किसान के खेत में जंगली जानवर आ गए।
",M:ADJ,b,b,R:WO,NO,b,NO
35,"Orig: [1, 4, ['ताजा', 'गाय', 'का']], Cor: [1, 4, ['गाय', 'का', 'ताजा']], Type: 'R:WO'","Orig: [1, 4, ['ताजा', 'गाय', 'का']], Cor: [1, 4, ['गाय', 'का', 'ताजा']], Type: 'R:WO'","यहाँ ताजा गाय का दूध मिलता है।
","यहाँ गाय का ताजा दूध मिलता है।
",R:WO,g,a,R:WO,YES,g,NO
36,"Orig: [1, 3, ['पागल', 'हाथी']], Cor: [1, 3, ['हाथी', 'पागल']], Type: 'R:WO'","Orig: [1, 3, ['पागल', 'हाथी']], Cor: [1, 3, ['हाथी', 'पागल']], Type: 'R:WO'","वह पागल हाथी हो गया है।
","वह हाथी पागल हो गया है।
",R:WO,g,a,R:WO,YES,g,NO
37,"Orig: [0, 4, ['खरगोश', 'को', 'काटकर', 'गाजर']], Cor: [0, 4, ['गाजर', 'काटकर', 'खरगोश', 'को']], Type: 'R:WO'","Orig: [0, 4, ['खरगोश', 'को', 'काटकर', 'गाजर']], Cor: [0, 4, ['गाजर', 'काटकर', 'खरगोश', 'को']], Type: 'R:WO'","खरगोश को काटकर गाजर खिलाओ।
","गाजर काटकर खरगोश को खिलाओ।
",R:WO,g,a,R:WO,YES,g,NO
38,"Orig: [2, 4, ['गरमागरम', 'कप']], Cor: [2, 4, ['कप', 'गरमागरम']], Type: 'R:WO'","Orig: [2, 4, ['गरमागरम', 'कप']], Cor: [2, 4, ['कप', 'गरमागरम']], Type: 'R:WO'","मुझे एक गरमागरम कप चाय देना।
","मुझे एक कप गरमागरम चाय देना।
",R:WO,g,a,R:WO,YES,g,NO
39,"Orig: [0, 3, ['गरम', 'गाय', 'का']], Cor: [0, 3, ['गाय', 'का', 'गरम']], Type: 'R:WO'","Orig: [0, 3, ['गरम', 'गाय', 'का']], Cor: [0, 3, ['गाय', 'का', 'गरम']], Type: 'R:WO'","गरम गाय का दूध स्वास्थ्यवर्धक होता है।
","गाय का गरम दूध स्वास्थ्यवर्धक होता है।
",R:WO,g,a,R:WO,YES,g,NO
40,"Orig: [1, 4, ['मुफ़्त', 'गरीबों', 'का']], Cor: [1, 4, ['गरीबों', 'का', 'मुफ़्त']], Type: 'R:WO'","Orig: [1, 4, ['मुफ़्त', 'गरीबों', 'का']], Cor: [1, 4, ['गरीबों', 'का', 'मुफ़्त']], Type: 'R:WO'","यहाँ मुफ़्त गरीबों का इलाज होता है।
","यहाँ गरीबों का मुफ़्त इलाज होता है।
",R:WO,g,a,R:WO,YES,g,NO
41,"Orig: [0, 1, ['सफलता']], Cor: [0, 0, []], Type: 'U:NOUN'","Orig: [0, 1, ['सफलता']], Cor: [0, 0, []], Type: 'U:NN'","सफलता तुम्हें परिश्रम से मिलेगी।
","तुम्हें परिश्रम से सफलता मिलेगी।
",U:NOUN,g,b,U:NOUN,YES,g,NO
42,"Orig: [4, 4, []], Cor: [3, 4, ['सफलता']], Type: 'M:NOUN'","Orig: [4, 4, []], Cor: [3, 4, ['सफलता']], Type: 'M:NN'","सफलता तुम्हें परिश्रम से मिलेगी।
","तुम्हें परिश्रम से सफलता मिलेगी।
",M:NOUN,g,b,M:NOUN,YES,g,NO
43,"Orig: [1, 4, ['एक', 'फूलों', 'का']], Cor: [1, 4, ['फूलों', 'का', 'एक']], Type: 'R:WO'","Orig: [1, 4, ['एक', 'फूलों', 'का']], Cor: [1, 4, ['फूलों', 'का', 'एक']], Type: 'R:WO'","मुझे एक फूलों का हार देना।
","मुझे फूलों का एक हार देना।
",R:WO,g,a,R:WO,YES,g,NO
44,"Orig: [0, 0, []], Cor: [0, 1, [""'""]], Type: 'M:PUNCT'","Orig: [0, 0, []], Cor: [0, 1, [""'""]], Type: 'M:PUNCT'","बच्चे को काटकर फल खिलाओ।
","फल काटकर बच्चे को खिलाओ।
",M:PUNCT,,,,NO,,NO
45,"Orig: [0, 4, ['बच्चे', 'को', 'काटकर', 'फल']], Cor: [1, 5, ['फल', 'काटकर', 'बच्चे', 'को']], Type: 'R:WO'","Orig: [0, 4, ['बच्चे', 'को', 'काटकर', 'फल']], Cor: [1, 5, ['फल', 'काटकर', 'बच्चे', 'को']], Type: 'R:WO'","बच्चे को काटकर फल खिलाओ।
","फल काटकर बच्चे को खिलाओ।
",R:WO,g,a,R:WO,YES,g,NO
46,"Orig: [0, 0, []], Cor: [0, 1, ['देश']], Type: 'M:NOUN'","Orig: [0, 0, []], Cor: [0, 1, ['देश']], Type: 'M:NN'",सरदार पटेल का देश सदा आभारी रहेगा।,देश सरदार पटेल का सदा आभारी रहेगा।,M:NOUN,g,b,M:NOUN,YES,g,NO
47,"Orig: [3, 4, ['देश']], Cor: [4, 4, []], Type: 'U:NOUN'","Orig: [3, 4, ['देश']], Cor: [4, 4, []], Type: 'U:NN'",सरदार पटेल का देश सदा आभारी रहेगा।,देश सरदार पटेल का सदा आभारी रहेगा।,U:NOUN,g,b,U:NOUN,YES,g,NO
