,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
10,"Orig: [3, 4, ['मुझको']], Cor: [3, 4, ['मेरी']], Type: 'R:PRON'","Orig: [3, 4, ['मुझको']], Cor: [3, 4, ['मेरी']], Type: 'R:PRON:INFL'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
",R:PRON,a,a,R:PRON-GEN,NO,a,NO
11,"Orig: [5, 5, []], Cor: [5, 6, ['उन्होंने']], Type: 'M:PRON'","Orig: [5, 5, []], Cor: [5, 6, ['उन्होंने']], Type: 'M:PRP'","पिता जी घर आए और खाना खाया।
","पिता जी घर आए और उन्होंने खाना खाया।
",M:PRON,g,a,M:PRON,YES,g,NO
12,"Orig: [0, 1, ['वे']], Cor: [0, 1, ['उन्होंने']], Type: 'R:PRON-NUM'","Orig: [0, 1, ['वे']], Cor: [0, 1, ['उन्होंने']], Type: 'R:PRON'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",R:PRON-NUM,g,a,R:PRON,NO,g,NO
13,"Orig: [3, 4, ['खाए']], Cor: [3, 4, ['खाया']], Type: 'R:VERB-NUM'","Orig: [3, 4, ['खाए']], Cor: [3, 4, ['खाया']], Type: 'R:VERB:INFL'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",R:VERB-NUM,g,b,R:VERB-NUM,YES,a,YES
14,"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB:INFL'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",R:VERB-NUM,g,a,R:VERB-NUM,YES,a,YES
15,"Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मैंने']], Type: 'R:PRON'","Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मैंने']], Type: 'R:PRON:INFL'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
",R:PRON,g,a,R:PRON,YES,g,NO
16,"Orig: [4, 5, ['हूँ']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","Orig: [4, 5, ['हूँ']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
",R:OTHER,g,a,R:VERB-TENSE,NO,g,NO
17,"Orig: [0, 1, ['आपने']], Cor: [0, 1, ['आप']], Type: 'R:PRON'","Orig: [0, 1, ['आपने']], Cor: [0, 1, ['आप']], Type: 'R:PRON:INFL'","आपने मुसकरा दिया।
","आप मुसकरा दिए।
",R:PRON,g,a,R:PRON,YES,g,NO
18,"Orig: [2, 3, ['दिया']], Cor: [2, 3, ['दिए']], Type: 'R:VERB-FORM'","Orig: [2, 3, ['दिया']], Cor: [2, 3, ['दिए']], Type: 'R:VERB:INFL'","आपने मुसकरा दिया।
","आप मुसकरा दिए।
",R:VERB-FORM,g,a,R:VERB,NO,g,NO
19,"Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:ADP'","Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:PSP'","मैं बाज़ार को जा रहा हूँ।
","मैं बाज़ार जा रहा हूँ।
",U:ADP,g,a,U:ADP,YES,g,NO
20,"Orig: [2, 3, ['को']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 3, ['को']], Cor: [2, 3, ['में']], Type: 'R:ADP'","दस बजने को पंद्रह मिनट हैं।
","दस बजने में पंद्रह मिनट हैं।
",R:ADP,g,a,R:ADP,YES,g,NO
21,"Orig: [2, 3, ['में']], Cor: [2, 3, ['से']], Type: 'R:ADP'","Orig: [2, 3, ['में']], Cor: [2, 3, ['से']], Type: 'R:ADP'","वह देर में खाना खाता है।
","वह देर से खाना खाता है।
",R:ADP,g,a,R:ADP,YES,g,NO
22,"Orig: [3, 3, []], Cor: [3, 4, ['का']], Type: 'M:ADP'","Orig: [3, 3, []], Cor: [3, 4, ['का']], Type: 'M:PSP'","उन्होंने एक मित्र परिचय दिया।
","उन्होंने एक मित्र का परिचय दिया।
",M:ADP,g,a,M:ADP,YES,g,NO
23,"Orig: [3, 4, ['पर']], Cor: [3, 4, ['में']], Type: 'R:ADP'","Orig: [3, 4, ['पर']], Cor: [3, 4, ['में']], Type: 'R:ADP'","यह बात कहने पर कठिनाई है।
","यह बात कहने में कठिनाई है।
",R:ADP,g,a,R:ADP,YES,g,NO
24,"Orig: [2, 3, ['पर']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 3, ['पर']], Cor: [2, 3, ['में']], Type: 'R:ADP'","वह ऑफिस पर बैठा मेरी प्रतीक्षा कर रहा है।
","वह ऑफिस में बैठा मेरी प्रतीक्षा कर रहा है।
",R:ADP,g,a,R:ADP,YES,g,NO
25,"Orig: [2, 3, ['द्वारा']], Cor: [2, 3, ['कारण']], Type: 'R:ADP'","Orig: [2, 3, ['द्वारा']], Cor: [2, 3, ['कारण']], Type: 'R:ADP'","शिक्षा के द्वारा वह आगे बढ़ा।
","शिक्षा के कारण वह आगे बढ़ा।
",R:ADP,g,a,R:ADP,YES,g,NO
26,"Orig: [2, 4, ['के', 'बीच']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 4, ['के', 'बीच']], Cor: [2, 3, ['में']], Type: 'R:MULTI'","कल सभा के बीच इस पर विचार होगा।
","कल सभा में इस पर विचार होगा।
",R:ADP,g,a,R:ADP,YES,b,YES
27,"Orig: [2, 3, ['से']], Cor: [2, 3, ['पर']], Type: 'R:ADP'","Orig: [2, 3, ['से']], Cor: [2, 3, ['पर']], Type: 'R:ADP'",खिड़की खुलने से प्रकाश आएगा।,खिड़की खुलने पर प्रकाश आएगा।,R:ADP,g,a,R:ADP,YES,g,NO
