,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
17,"Orig: [9, 9, []], Cor: [10, 11, ['।']], Type: 'M:PUNCT'","Orig: [9, 9, []], Cor: [10, 11, ['।']], Type: 'M:PUNCT'","राकेश आपनी सारी सम्पति भूमि और मन-मर्यादा खो गया
","राकेश आपनी सारी सम्पति, भूमि और मन-मर्यादा खो गया।
",M:PUNCT,g,a,M:PUNCT,YES,g,NO
18,"Orig: [2, 2, []], Cor: [2, 3, [',']], Type: 'M:PUNCT'","Orig: [2, 2, []], Cor: [2, 3, [',']], Type: 'M:PUNCT'","वो बच्चा जो कल रो रहा था आज हस रहा है
","वो बच्चा, जो कल रो रहा था, आज हस रहा है।
",M:PUNCT,g,a,M:PUNCT,YES,g,NO
19,"Orig: [7, 7, []], Cor: [8, 9, [',']], Type: 'M:PUNCT'","Orig: [7, 7, []], Cor: [8, 9, [',']], Type: 'M:PUNCT'","वो बच्चा जो कल रो रहा था आज हस रहा है
","वो बच्चा, जो कल रो रहा था, आज हस रहा है।
",M:PUNCT,g,a,M:PUNCT,YES,g,NO
20,"Orig: [11, 11, []], Cor: [13, 14, ['।']], Type: 'M:PUNCT'","Orig: [11, 11, []], Cor: [13, 14, ['।']], Type: 'M:PUNCT'","वो बच्चा जो कल रो रहा था आज हस रहा है
","वो बच्चा, जो कल रो रहा था, आज हस रहा है।
",M:PUNCT,g,a,M:PUNCT,YES,g,NO
21,"Orig: [5, 6, ['।']], Cor: [5, 6, ['?']], Type: 'R:SPELL'","Orig: [5, 6, ['।']], Cor: [5, 6, ['?']], Type: 'R:SPELL'","क्या आप मेरे साथ चलेंगे।
","क्या आप मेरे साथ चलेंगे?
",R:SPELL,g,a,R:PUNCT,NO,g,NO
22,"Orig: [1, 1, []], Cor: [1, 2, ['!']], Type: 'M:PUNCT'","Orig: [1, 1, []], Cor: [1, 2, ['!']], Type: 'M:PUNCT'","अरे तुम कब आये।
","अरे! तुम कब आये?
",M:PUNCT,g,a,M:PUNCT,YES,g,NO
23,"Orig: [4, 5, ['।']], Cor: [5, 6, ['?']], Type: 'R:SPELL'","Orig: [4, 5, ['।']], Cor: [5, 6, ['?']], Type: 'R:SPELL'","अरे तुम कब आये।
","अरे! तुम कब आये?
",R:SPELL,g,a,R:PUNCT,NO,g,NO
24,"Orig: [4, 5, ['सत्य']], Cor: [4, 5, ['”सत्य']], Type: 'R:OTHER'","Orig: [4, 5, ['सत्य']], Cor: [4, 5, ['”सत्य']], Type: 'R:SPELL'","महात्मा गाँधी ने कहा सत्य ही ईश्वर है।
","महात्मा गाँधी ने कहा ”सत्य ही ईश्वर है|”
",R:OTHER,b,a,M:PUNCT,NO,b,NO
25,"Orig: [7, 9, ['है', '।']], Cor: [7, 8, ['है|”']], Type: 'R:OTHER'","Orig: [7, 9, ['है', '।']], Cor: [7, 8, ['है|”']], Type: 'R:MULTI'","महात्मा गाँधी ने कहा सत्य ही ईश्वर है।
","महात्मा गाँधी ने कहा ”सत्य ही ईश्वर है|”
",R:OTHER,b,a,M:PUNCT,NO,b,YES
26,"Orig: [1, 3, ['कभी', 'कभी']], Cor: [1, 2, ['कभी-कभी']], Type: 'R:OTHER'","Orig: [1, 3, ['कभी', 'कभी']], Cor: [1, 2, ['कभी-कभी']], Type: 'R:MULTI'",वह कभी कभी आता है,वह कभी-कभी आता है।,R:OTHER,b,a,M:PUNCT,NO,b,YES
27,"Orig: [5, 5, []], Cor: [4, 5, ['।']], Type: 'M:PUNCT'","Orig: [5, 5, []], Cor: [4, 5, ['।']], Type: 'M:PUNCT'",वह कभी कभी आता है,वह कभी-कभी आता है।,M:PUNCT,g,a,M:PUNCT,YES,g,NO
