,Proposed Edit,Incorrect Sentence,Correct Sentence
16,"Orig: [0, 1, ['तुम्हें']], Cor: [0, 1, ['आपको']], Type: 'R:PRON'","तुम्हें मेरा ख़त मिला होगा?
","आपको मेरा ख़त मिला होगा?
"
17,"Orig: [0, 1, ['इसे']], Cor: [0, 1, ['इन्हें']], Type: 'R:PRON-NUM'","इसे पुरस्कार मिलना चाहिए।
","इन्हें पुरस्कार मिलना चाहिए।
"
18,"Orig: [0, 1, ['इसका']], Cor: [0, 1, ['इनका']], Type: 'R:PRON-NUM'","इसका दिमाग़ तो बहुत तेज़ है।
","इनका दिमाग़ तो बहुत तेज़ है।
"
19,"Orig: [0, 1, ['इसका']], Cor: [0, 1, ['इनका']], Type: 'R:PRON-NUM'","इसका कुत्ता भाग गया।
","इनका कुत्ता भाग गया।
"
20,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON'","मेरा तुमसे भरोसा उठ गया।
","हमारा तुमसे भरोसा उठ गया।
"
21,"Orig: [0, 1, ['तुम्हारा']], Cor: [0, 1, ['आपका']], Type: 'R:PRON'","तुम्हारा पेन नीचे गिर गया है।
","आपका पेन नीचे गिर गया है।
"
22,"Orig: [3, 4, ['कवि']], Cor: [3, 4, ['कवयित्रियाँ']], Type: 'R:NOUN'","देश में अनेक कवि हैं।
","देश में अनेक कवयित्रियाँ हैं ।
"
23,"Orig: [3, 4, ['कुंवारे']], Cor: [3, 4, ['कुंवारी']], Type: 'R:ADJ-GEN'","शहर में अनेक कुंवारे लड़के हैं। 
","शहर में अनेक कुंवारी लड़कियाँ हैं । 
"
24,"Orig: [4, 5, ['लड़के']], Cor: [4, 5, ['लड़कियाँ']], Type: 'R:SPELL'","शहर में अनेक कुंवारे लड़के हैं। 
","शहर में अनेक कुंवारी लड़कियाँ हैं । 
"
25,"Orig: [3, 4, ['गायक']], Cor: [3, 4, ['गायिका']], Type: 'R:NOUN-GEN'","वह एक प्रसिद्ध गायक है।
","वह एक प्रसिद्ध गायिका है ।
"
26,"Orig: [1, 2, ['औरत']], Cor: [1, 2, ['आदमी']], Type: 'R:NOUN'","एक औरत पेड़ के नीचे बैठी है ।
","एक आदमी पेड़ के नीचे बैठा है ।
"
27,"Orig: [5, 6, ['बैठी']], Cor: [5, 6, ['बैठा']], Type: 'R:VERB-GEN'","एक औरत पेड़ के नीचे बैठी है ।
","एक आदमी पेड़ के नीचे बैठा है ।
"
28,"Orig: [0, 1, ['मुर्गी']], Cor: [0, 1, ['मुर्गा']], Type: 'R:NOUN-GEN'","मुर्गी बांग दे रही है ।
","मुर्गा बांग दे रहा है ।
"
29,"Orig: [3, 4, ['रही']], Cor: [3, 4, ['रहा']], Type: 'R:VERB-GEN'","मुर्गी बांग दे रही है ।
","मुर्गा बांग दे रहा है ।
"
30,"Orig: [1, 2, ['बकरी']], Cor: [1, 2, ['बकरा']], Type: 'R:NOUN'","यह बकरी बूढ़ा हो गया है।
","यह बकरा बूढ़ा हो गया है।
"
31,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:PRON-GEN'","मेरा पोता दिल्ली में रहता है।
","मेरी पोती दिल्ली में रहती है।
"
32,"Orig: [1, 2, ['पोता']], Cor: [1, 2, ['पोती']], Type: 'R:NOUN-GEN'","मेरा पोता दिल्ली में रहता है।
","मेरी पोती दिल्ली में रहती है।
"
33,"Orig: [4, 5, ['रहता']], Cor: [4, 5, ['रहती']], Type: 'R:VERB-GEN'","मेरा पोता दिल्ली में रहता है।
","मेरी पोती दिल्ली में रहती है।
"
34,"Orig: [1, 2, ['की']], Cor: [1, 2, ['का']], Type: 'R:ADP-INFL'","सीमा की पुत्री 6 साल की है।
","सीमा का पुत्र 6 साल का है।
"
35,"Orig: [2, 3, ['पुत्री']], Cor: [2, 3, ['पुत्र']], Type: 'R:SPELL'","सीमा की पुत्री 6 साल की है।
","सीमा का पुत्र 6 साल का है।
"
36,"Orig: [5, 6, ['की']], Cor: [5, 6, ['का']], Type: 'R:ADP-INFL'","सीमा की पुत्री 6 साल की है।
","सीमा का पुत्र 6 साल का है।
"
37,"Orig: [1, 2, ['के']], Cor: [1, 2, ['की']], Type: 'R:ADP-INFL'","सूरज के चाचा बाज़ार गए हैं। 
","सूरज की चाची बाज़ार गयी हैं। 
"
38,"Orig: [2, 3, ['चाचा']], Cor: [2, 3, ['चाची']], Type: 'R:NOUN-NUM'","सूरज के चाचा बाज़ार गए हैं। 
","सूरज की चाची बाज़ार गयी हैं। 
"
39,"Orig: [4, 5, ['गए']], Cor: [4, 5, ['गयी']], Type: 'R:VERB-GEN'","सूरज के चाचा बाज़ार गए हैं। 
","सूरज की चाची बाज़ार गयी हैं। 
"
40,"Orig: [0, 1, ['प्रधानाचार्य']], Cor: [0, 1, ['प्रधानाचार्या']], Type: 'R:NOUN-GEN'","प्रधानाचार्य बच्चों को समझा रहे थे।
","प्रधानाचार्या बच्चों को समझा रही थी ।
"
41,"Orig: [4, 5, ['रहे']], Cor: [4, 5, ['रही']], Type: 'R:VERB-GEN'","प्रधानाचार्य बच्चों को समझा रहे थे।
","प्रधानाचार्या बच्चों को समझा रही थी ।
"
42,"Orig: [5, 6, ['थे']], Cor: [5, 6, ['थी']], Type: 'R:VERB-GEN'","प्रधानाचार्य बच्चों को समझा रहे थे।
","प्रधानाचार्या बच्चों को समझा रही थी ।
"
43,"Orig: [2, 3, ['मेरे']], Cor: [2, 3, ['मेरी']], Type: 'R:PRON-GEN'","ये सभी मेरे शिष्य हैं।
","ये सभी मेरी शिष्याएँ हैं।
"
44,"Orig: [3, 4, ['शिष्य']], Cor: [3, 4, ['शिष्याएँ']], Type: 'R:NOUN-GEN'","ये सभी मेरे शिष्य हैं।
","ये सभी मेरी शिष्याएँ हैं।
"
45,"Orig: [0, 1, ['महोदया']], Cor: [0, 1, ['महोदय']], Type: 'R:SPELL'","महोदया सबकी मदद कर रही हैं।
","महोदय सबकी मदद कर रहे हैं।
"
46,"Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:VERB-GEN'","महोदया सबकी मदद कर रही हैं।
","महोदय सबकी मदद कर रहे हैं।
"
47,"Orig: [1, 2, ['छात्र']], Cor: [1, 2, ['छात्रायें']], Type: 'R:NOUN-GEN'","दो छात्र आज कक्षा में नहीं आएँ हैं।
","दो छात्रायें आज कक्षा में नहीं आई हैं।
"
48,"Orig: [6, 7, ['आएँ']], Cor: [6, 7, ['आई']], Type: 'R:VERB-GEN'","दो छात्र आज कक्षा में नहीं आएँ हैं।
","दो छात्रायें आज कक्षा में नहीं आई हैं।
"
49,"Orig: [0, 1, ['मोरनी']], Cor: [0, 1, ['मोर']], Type: 'R:MORPH'","मोरनी नाच रही है।
","मोर नाच रहा है।
"
50,"Orig: [2, 3, ['रही']], Cor: [2, 3, ['रहा']], Type: 'R:VERB-GEN'","मोरनी नाच रही है।
","मोर नाच रहा है।
"
51,"Orig: [0, 1, ['शेर']], Cor: [0, 1, ['शेरनी']], Type: 'R:SPELL'","शेर अब शिकार पर जाएगा ।
","शेरनी अब शिकार पर जाएगी।
"
52,"Orig: [4, 5, ['जाएगा']], Cor: [4, 5, ['जाएगी']], Type: 'R:VERB-GEN'","शेर अब शिकार पर जाएगा ।
","शेरनी अब शिकार पर जाएगी।
"
53,"Orig: [0, 1, ['माली']], Cor: [0, 1, ['मालिन']], Type: 'R:SPELL'","माली बग़ीचे में पौधे लगा रहा है। 
","मालिन बग़ीचे में पौधे लगा रही है।
"
54,"Orig: [5, 6, ['रहा']], Cor: [5, 6, ['रही']], Type: 'R:VERB-GEN'","माली बग़ीचे में पौधे लगा रहा है। 
","मालिन बग़ीचे में पौधे लगा रही है।
"
55,"Orig: [1, 2, ['नाती']], Cor: [1, 2, ['नातिन']], Type: 'R:NOUN'","मेरी नाती जापान में रहती है।
","मेरी नातिन जापान में रहती है।
"
56,"Orig: [1, 2, ['देवरानी']], Cor: [1, 2, ['देवर']], Type: 'R:NOUN-GEN'","मेरा देवरानी मुझसे दो साल छोटा है।
","मेरा देवर मुझसे दो साल छोटा है।
"
57,"Orig: [1, 2, ['नौकरानी']], Cor: [1, 2, ['नौकर']], Type: 'R:NOUN-GEN'","आपका नौकरानी कितने बजे आता है?
","आपका नौकर कितने बजे आता है?
"
58,"Orig: [2, 3, ['पीला']], Cor: [2, 3, ['पीले']], Type: 'R:ADJ'","उसके दांत पीला हो रहे हैं।
","उसके दांत पीले हो रहे हैं।
"
59,"Orig: [2, 3, ['ढीला']], Cor: [2, 3, ['ढीली']], Type: 'R:ADJ-GEN'","उसकी क़मीज़ें ढीला हो रही हैं।
","उसकी क़मीज़ें ढीली हो रही हैं।
"
60,"Orig: [2, 3, ['बड़ा']], Cor: [2, 3, ['बड़े']], Type: 'R:SPELL'","उसके लड़के बड़ा हो गए हैं।
","उसके लड़के बड़े हो गए हैं।
"
61,"Orig: [5, 6, ['अच्छा']], Cor: [5, 6, ['अच्छे']], Type: 'R:ADJ-NUM'","उस विद्यालय में क्रिकेट के अच्छा खिलाड़ी हैं।
","उस विद्यालय में क्रिकेट के अच्छे खिलाड़ी हैं।
"
62,"Orig: [4, 5, ['पुराना']], Cor: [4, 5, ['पुरानी']], Type: 'R:ADJ-GEN'","उस घर की दीवारें पुराना हो गयी हैं।
","उस घर की दीवारें पुरानी हो गयी हैं।
"
63,"Orig: [2, 3, ['महंगा']], Cor: [2, 3, ['महंगी']], Type: 'R:ADJ-GEN'","नई किताबें महंगा हैं |
","नई किताबें महंगी हैं |
"
64,"Orig: [3, 4, ['छोटा']], Cor: [3, 4, ['छोटे']], Type: 'R:ADJ-NUM'","उसके पास तीन छोटा कुत्ते हैं|
","उसके पास तीन छोटे कुत्ते हैं|
"
65,"Orig: [2, 3, ['लम्बा']], Cor: [2, 3, ['लम्बे']], Type: 'R:ADJ-NUM'","उसके बाल लम्बा हैं।
","उसके बाल लम्बे हैं।
"
66,"Orig: [4, 5, ['छोटा']], Cor: [4, 5, ['छोटे']], Type: 'R:ADJ'","इस इलाक़े के मकान छोटा हैं।
","इस इलाक़े के मकान छोटे हैं।
"
67,"Orig: [3, 4, ['ताज़ा']], Cor: [3, 4, ['ताज़ी']], Type: 'R:SPELL'","इस दुकान में ताज़ा मिठाइयाँ मिल रही हैं।
","इस दुकान में ताज़ी मिठाइयाँ मिल रही हैं।
"
68,"Orig: [1, 2, ['सुनहरा']], Cor: [1, 2, ['सुनहरी']], Type: 'R:ADJ-GEN'","ये सुनहरा अँगूठियाँ तुम्हारी हैं?
","ये सुनहरी अँगूठियाँ तुम्हारी हैं?
"
69,"Orig: [2, 3, ['काला']], Cor: [2, 3, ['काले']], Type: 'R:ADJ'","ये जामुन काला हैं।
","ये जामुन काले हैं।
"
70,"Orig: [3, 4, ['नीला']], Cor: [3, 4, ['नीली']], Type: 'R:ADJ-GEN'","वे सारी गाड़ियाँ नीला हैं।
","वे सारी गाड़ियाँ नीली हैं।
"
71,"Orig: [2, 3, ['पीला']], Cor: [2, 3, ['पीले']], Type: 'R:ADJ'","वे पत्ते पीला पड़ गए हैं।
","वे पत्ते पीले पड़ गए हैं।
"
72,"Orig: [2, 3, ['खुले']], Cor: [2, 3, ['खुला']], Type: 'R:VERB-FORM'","वह दरवाज़ा खुले है। 
","वह दरवाज़ा खुला है। 
"
73,"Orig: [2, 3, ['नया']], Cor: [2, 3, ['नये']], Type: 'R:ADJ-NUM'","ये मकान नया बने हैं।
","ये मकान नये बने हैं।
"
74,"Orig: [2, 5, ['पी', 'चुकी', 'है']], Cor: [2, 3, ['पिया']], Type: 'R:VERB-GEN'","उसने पानी पी चुकी है।
","उसने पानी पिया।
"
75,"Orig: [5, 6, ['होगी']], Cor: [5, 6, ['थी']], Type: 'R:VERB-TENSE'","मैंने उसकी आवाज़ पहचान ली होगी।
","मैंने उसकी आवाज़ पहचान ली थी।
"
76,"Orig: [3, 6, ['मिल', 'चुकी', 'है']], Cor: [3, 4, ['मिली']], Type: 'R:VERB-TENSE'","मुझे यह घड़ी मिल चुकी है।
","मुझे यह घड़ी मिली।
"
77,"Orig: [5, 7, ['हुआ', 'था']], Cor: [5, 6, ['हूँ']], Type: 'R:VERB'","मैं वहाँ एक बार गया हुआ था।
","मैं वहाँ एक बार गया हूँ।
"
78,"Orig: [3, 5, ['भाग', 'गया']], Cor: [3, 4, ['भागता']], Type: 'R:VERB-TENSE'","मैं तुमसे तेज़ भाग गया हूँ।
","मैं तुमसे तेज़ भागता हूँ।
"
79,"Orig: [7, 9, ['होते', 'थे']], Cor: [7, 8, ['हैं']], Type: 'R:VERB'","यह लोग हमें खेलने नहीं दे रहे होते थे।
","यह लोग हमें खेलने नहीं दे रहे हैं।
"
80,"Orig: [5, 7, ['कर', 'रही']], Cor: [5, 6, ['करती']], Type: 'R:VERB-TENSE'","वह हमेशा अपना काम पूरा कर रही है।
","वह हमेशा अपना काम पूरा करती है।
"
81,"Orig: [1, 1, []], Cor: [1, 2, ['हमेशा']], Type: 'M:ADV'","वह अपना काम स्वयं करती है।
","वह हमेशा अपना काम स्वयं करती है।
"
82,"Orig: [1, 1, []], Cor: [1, 2, ['रोज़']], Type: 'M:NOUN'","मैं काम पर जाता हूँ।
","मैं रोज़ काम पर जाता हूँ।
"
83,"Orig: [2, 2, []], Cor: [2, 3, ['तेज़']], Type: 'M:ADJ'","वह बहुत भागता है।
","वह बहुत तेज़ भागता है।
"
84,"Orig: [1, 2, ['ज़्यादा']], Cor: [1, 2, ['कम']], Type: 'R:DET'","तुम ज़्यादा बोलते हो।
","तुम कम बोलते हो।
"
85,"Orig: [2, 2, []], Cor: [2, 3, ['रोज']], Type: 'M:NOUN'","मैं यहाँ आता हूँ।
","मैं यहाँ रोज आता हूँ।
"
86,"Orig: [2, 2, []], Cor: [2, 4, ['दो', 'बार']], Type: 'M:OTHER'","वह वहाँ गयी।
","वह वहाँ दो बार गयी।
"
87,"Orig: [2, 2, []], Cor: [2, 3, ['अक्सर']], Type: 'M:ADV'","मैं यहाँ आता हूँ।
","मैं यहाँ अक्सर आता हूँ।
"
88,"Orig: [1, 2, ['बहुत']], Cor: [1, 2, ['कितना']], Type: 'R:OTHER'","मैं बहुत खुश हूँ।
","मैं कितना खुश हूँ।
"
89,"Orig: [0, 0, []], Cor: [0, 1, ['वह']], Type: 'M:DET'","पुस्तक मेरी है।
","वह पुस्तक मेरी है।
"
90,"Orig: [0, 0, []], Cor: [0, 1, ['इस']], Type: 'M:DET'","दुनिया में ये लोग आदर से बात नहीं करते।
","इस दुनिया में सब लोग आदर से बात नहीं करते।
"
91,"Orig: [2, 3, ['ये']], Cor: [3, 4, ['सब']], Type: 'R:DET'","दुनिया में ये लोग आदर से बात नहीं करते।
","इस दुनिया में सब लोग आदर से बात नहीं करते।
"
92,"Orig: [1, 2, ['वह']], Cor: [1, 2, ['इस']], Type: 'R:OTHER'","मैं वह किताब की बात कर रहा था।
","मैं इस किताब की बात कर रहा था।
"
93,"Orig: [0, 1, ['वहाँ']], Cor: [0, 0, []], Type: 'U:PRON'","वहाँ के पौधे में पानी नहीं है।
","उस पौधे में पानी नहीं है।
"
94,"Orig: [1, 2, ['के']], Cor: [0, 1, ['उस']], Type: 'R:OTHER'","वहाँ के पौधे में पानी नहीं है।
","उस पौधे में पानी नहीं है।
"
95,"Orig: [1, 2, ['दो']], Cor: [1, 2, ['यह']], Type: 'R:OTHER'","मुझे दो कलम चाहिए।
","मुझे यह कलम चाहिए।
"
96,"Orig: [1, 1, []], Cor: [1, 2, ['उस']], Type: 'M:DET'","तुम जगह बैठो।
","तुम उस जगह बैठो।
"
97,"Orig: [0, 1, ['यह']], Cor: [0, 1, ['वह']], Type: 'R:SPELL'",यह बात मत करो।,वह बात मत करो।
