Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","मेरे को आगरा जाना है।
","मुझे आगरा जाना है।
",R:PRON,b,a
"Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:OTHER'","यह अच्छे फल नहीं है।
","ये अच्छे फल नहीं हैं।
",R:PRON,a,a
"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:OTHER'","यह अच्छे फल नहीं है।
","ये अच्छे फल नहीं हैं।
",R:VERB-NUM,a,a
"Orig: [1, 2, ['तुम्हारी']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON'","तुम तुम्हारी पुस्तक ले आओ।
","तुम अपनी पुस्तक ले आओ।
",R:PRON,g,a
"Orig: [1, 2, ['तुम्हारा']], Cor: [1, 2, ['तुम्हारे']], Type: 'R:PRON'","कल तुम्हारा पापा जी मिले थे।
","कल तुम्हारे पापा जी मिले थे।
",R:PRON,g,a
"Orig: [0, 1, ['मैंने']], Cor: [0, 1, ['मुझे']], Type: 'R:PRON'","मैंने निबंध लिखना है।
","मुझे निबंध लिखना है।
",R:PRON,g,a
"Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझे']], Type: 'R:PRON'","वह तेरे को पैसे नहीं देगा।
","वह तुझे पैसे नहीं देगा।
",R:PRON,g,a
"Orig: [1, 2, ['उन्हें']], Cor: [1, 2, ['उनकी']], Type: 'R:PRON-GEN'","यह उन्हें समझ में नहीं आएगा।
","यह उनकी समझ में नहीं आएगा।
",R:PRON-GEN,g,a
"Orig: [0, 1, ['वो']], Cor: [0, 1, ['वह']], Type: 'R:PRON'","वो तो कल आएगा।
","वह तो कल आएगा।
",R:PRON,g,a
"Orig: [2, 4, ['राम', 'का']], Cor: [2, 3, ['उसका']], Type: 'R:OTHER'","राम और राम का पुत्र बाज़ार गया।
","राम और उसका पुत्र बाज़ार गये।
",R:PRON,b,a
"Orig: [6, 7, ['गया']], Cor: [5, 6, ['गये']], Type: 'R:OTHER'","राम और राम का पुत्र बाज़ार गया।
","राम और उसका पुत्र बाज़ार गये।
",R:VERB,a,a
"Orig: [1, 2, ['आप-आप']], Cor: [1, 3, ['अपने', 'आप']], Type: 'R:PRON'","वह आप-आप चलता जा रहा था।
","वह अपने आप चलता जा रहा था।
",R:PRON,g,a
"Orig: [1, 2, ['जो']], Cor: [1, 1, []], Type: 'U:OTHER'","वह जो पुस्तक है वह गोपाल की है।
","वह पुस्तक गोपाल की है।
",U:OTHER,g,a
"Orig: [3, 5, ['है', 'वह']], Cor: [2, 2, []], Type: 'U:PRON'","वह जो पुस्तक है वह गोपाल की है।
","वह पुस्तक गोपाल की है।
",U:PRON,g,a
"Orig: [1, 2, ['हमारा']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","हमें हमारा काम स्वयं करना चाहिए।
","हमें अपना काम स्वयं करना चाहिए।
",R:PRON,g,a
"Orig: [1, 2, ['तुम्हारा']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON'","तुमने तुम्हारा कलम खो दिया।
","तुमने अपनी कलम खो दी।
",R:PRON-GEN,a,a
"Orig: [4, 5, ['दिया']], Cor: [4, 5, ['दी']], Type: 'R:OTHER'","तुमने तुम्हारा कलम खो दिया।
","तुमने अपनी कलम खो दी।
",R:VERB,a,a
"Orig: [4, 5, ['आपका']], Cor: [4, 5, ['तुम्हारा']], Type: 'R:PRON'","तुम्हारा पत्र मिला, आपका धन्यवाद।
","तुम्हारा पत्र मिला, तुम्हारा धन्‍्यवाद।
",R:PRON,g,a
"Orig: [5, 6, ['धन्यवाद।']], Cor: [5, 6, ['धन्\u200d्यवाद।']], Type: 'R:SPELL'","तुम्हारा पत्र मिला, आपका धन्यवाद।
","तुम्हारा पत्र मिला, तुम्हारा धन्‍्यवाद।
",,,
"Orig: [1, 2, ['हमारे']], Cor: [1, 2, ['अपने']], Type: 'R:PRON'","हम हमारे पिता जी की आज्ञा का पालन करते हैं।
","हम अपने पिता जी की आज्ञा का पालन करते हैं।
",R:PRON,g,a
"Orig: [0, 2, ['तेरे', 'को']], Cor: [0, 1, ['तुम्हें']], Type: 'R:PRON'","तेरे को ऐसी बात नहीं करनी चाहिए।
","तुम्हें ऐसी बात नहीं करनी चाहिए।
",R:PRON,g,a
"Orig: [1, 2, ['मेरा']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","मैंने मेरा काम कर लिया है।
","मैंने अपना काम कर लिया है।
",R:PRON,g,a
"Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'",उसके आँख से आँसू निकल पड़ा।,उसकी आँख से आँसू निकल पड़ा।,R:PRON-GEN,g,a
