Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [4, 5, ['पढ़ा']], Cor: [4, 5, ['पढ़ी']], Type: 'R:VERB-GEN'","पिता जी ने पुस्तक पढ़ा।
","पिता जी ने पुस्तक पढ़ी।
",R:VERB-GEN,g,a
"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","हमारे माता जी बाज़ार गए हैं।
","हमारी माता जी बाज़ार गई हैं।
",R:PRON-GEN,g,a
"Orig: [4, 5, ['गए']], Cor: [4, 5, ['गई']], Type: 'R:VERB-GEN'","हमारे माता जी बाज़ार गए हैं।
","हमारी माता जी बाज़ार गई हैं।
",R:VERB-GEN,g,a
"Orig: [3, 4, ['जाएगी']], Cor: [3, 4, ['जाएगा']], Type: 'R:OTHER'","अब मानसून आ जाएगी।
","अब मानसून आ जाएगा।
",R:VERB-GEN,g,a
"Orig: [2, 3, ['सीखना']], Cor: [2, 3, ['सीखनी']], Type: 'R:VERB-GEN'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
",R:VERB-GEN,g,a
"Orig: [3, 4, ['पड़ता']], Cor: [3, 4, ['पड़ती']], Type: 'R:OTHER'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
",R:VERB-GEN,a,a
"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:OTHER'","बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
",R:VERB-GEN,a,a
"Orig: [4, 5, ['लगनी']], Cor: [4, 5, ['लगना']], Type: 'R:OTHER'","इस कार्य में देर लगनी स्वाभाविक है।
","इस कार्य में देर लगना स्वाभाविक है।
",R:VERB-GEN,a,a
"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गई']], Type: 'R:OTHER'","जून और जुलाई आ गया।
","जून और जुलाई आ गई।
",R:VERB-GEN,b,a
"Orig: [0, 1, ['तुम्हारी']], Cor: [0, 1, ['तुम्हारा']], Type: 'R:PRON-GEN'","तुम्हारी सूट अच्छी है।
","तुम्हारा सूट अच्छा है।
",R:PRON-GEN,g,a
"Orig: [2, 3, ['अच्छी']], Cor: [2, 3, ['अच्छा']], Type: 'R:ADJ-GEN'","तुम्हारी सूट अच्छी है।
","तुम्हारा सूट अच्छा है।
",R:ADJ-GEN,g,a
"Orig: [4, 5, ['आती']], Cor: [4, 5, ['आता']], Type: 'R:VERB-GEN'","बुढ़िया को बहुत क्रोध आती है।
","बुढ़िया को बहुत क्रोध आता है।
",R:VERB-GEN,g,a
"Orig: [2, 3, ['विद्\u200cयार्जन']], Cor: [2, 3, ['विद्यार्जन']], Type: 'R:SPELL'","मेरा लक्ष्य विद्‌यार्जन होगी।
","मेरा लक्ष्य विद्यार्जन होगा।
",,,
"Orig: [3, 4, ['होगी']], Cor: [3, 4, ['होगा']], Type: 'R:VERB-GEN'","मेरा लक्ष्य विद्‌यार्जन होगी।
","मेरा लक्ष्य विद्यार्जन होगा।
",R:VERB-GEN,g,a
"Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:VERB-GEN'","अध्यापक ने प्रधानाचार्य से भेंट किया।
","अध्यापक ने प्रधानाचार्य से भेंट की।
",R:VERB-GEN,g,a
"Orig: [3, 4, ['विद्वान']], Cor: [3, 4, ['विदुषी']], Type: 'R:ADJ'","यह महिला बहुत विद्वान है।
","यह महिला बहुत विदुषी है।
",R:ADJ-GEN,a,a
"Orig: [4, 5, ['सुनाया']], Cor: [4, 5, ['सुनाई']], Type: 'R:VERB-GEN'","दादा जी ने कहानी सुनाया।
","दादा जी ने कहानी सुनाई।
",R:VERB-GEN,g,a
"Orig: [1, 2, ['अपना']], Cor: [1, 2, ['अपनी']], Type: 'R:PRON-GEN'","मैंने अपना कलम राम को दिया है।
","मैंने अपनी कलम राम को दी है।
",R:PRON-GEN,g,a
"Orig: [5, 6, ['दिया']], Cor: [5, 6, ['दी']], Type: 'R:VERB-GEN'","मैंने अपना कलम राम को दिया है।
","मैंने अपनी कलम राम को दी है।
",R:VERB-GEN,g,a
"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:PRON-GEN'","मेरा कमीज फट गया है।
","मेरी कमीज फट गई है।
",R:PRON-GEN,g,a
"Orig: [3, 4, ['गया']], Cor: [3, 4, ['गई']], Type: 'R:OTHER'","मेरा कमीज फट गया है।
","मेरी कमीज फट गई है।
",R:VERB-GEN,b,a
"Orig: [4, 5, ['पुस्तक']], Cor: [4, 5, ['पुस्तकें']], Type: 'R:NOUN-NUM'","एक व्यक्ति को दो पुस्तक नहीं मिलेगा।
","एक व्यक्ति को दो पुस्तकें नहीं मिलेंगी।
",R:NOUN-NUM,g,a
"Orig: [6, 7, ['मिलेगा']], Cor: [6, 7, ['मिलेंगी']], Type: 'R:VERB-GEN'","एक व्यक्ति को दो पुस्तक नहीं मिलेगा।
","एक व्यक्ति को दो पुस्तकें नहीं मिलेंगी।
",R:VERB-GEN,g,a
"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रही']], Type: 'R:OTHER'","राधा खाना बना रहा है।
","राधा खाना बना रही है।
",R:VERB-GEN,a,a
"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसका पतंग कट गया।
","उसकी पतंग कट गई है।
",R:PRON-GEN,g,a
"Orig: [3, 4, ['गया']], Cor: [3, 5, ['गई', 'है']], Type: 'R:OTHER'","उसका पतंग कट गया।
","उसकी पतंग कट गई है।
",R:VERB-GEN,a,a
"Orig: [4, 5, ['कवि']], Cor: [4, 5, ['कवयित्री']], Type: 'R:NOUN'","महादेवी वर्मा वेदना की कवि थीं।
","महादेवी वर्मा वेदना की कवयित्री थीं।
",R:NOUN-GEN,a,a
"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","हमारे वस्तुओं का ध्यान रखना।
","हमारी वस्तुओं का ध्यान रखना।
",R:PRON-GEN,g,a
"Orig: [3, 4, ['गया']], Cor: [3, 4, ['गई']], Type: 'R:VERB-GEN'",उमा अपने ससुराल गया है।,उमा अपने ससुराल गई है।,R:VERB-GEN,g,a
